; Candidate 1286
; ADRP+ADD at VM 0xfffffff008341168 (fileoff 0x133d168): page=0x1fed62000 add_imm=0xd29

0xfffffff0083410e8: 281440b9  ldr	w8, [x1, #0x14]
0xfffffff0083410ec: 1ff10071  cmp	w8, #0x3c
0xfffffff0083410f0: 03030054  b.lo	#0xfffffff008341150
0xfffffff0083410f4: 08008052  mov	w8, #0
0xfffffff0083410f8: 13008052  mov	w19, #0
0xfffffff0083410fc: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff008341100: 29010191  add	x9, x9, #0x40
0xfffffff008341104: 2a008052  mov	w10, #1
0xfffffff008341108: 2a7da808  casb	w8, w10, [x9]
0xfffffff00834110c: 1f010071  cmp	w8, #0
0xfffffff008341110: 01020054  b.ne	#0xfffffff008341150
0xfffffff008341114: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff008341118: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff00834111c: 200200b4  cbz	x0, #0xfffffff008341160
0xfffffff008341120: e80300aa  mov	x8, x0
0xfffffff008341124: 090d41f8  ldr	x9, [x8, #0x10]!
0xfffffff008341128: 28093fd7  blraa	x9, x8
0xfffffff00834112c: 13008052  mov	w19, #0
0xfffffff008341130: 08000014  b	#0xfffffff008341150
0xfffffff008341134: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff008341138: 73220011  add	w19, w19, #8
0xfffffff00834113c: 1f01096b  cmp	w8, w9
0xfffffff008341140: 80000054  b.eq	#0xfffffff008341150
0xfffffff008341144: 006bffd0  adrp	x0, #0xfffffff0070a3000
0xfffffff008341148: 00a43491  add	x0, x0, #0xd29
0xfffffff00834114c: f188fe97  bl	#0xfffffff0082e3510
0xfffffff008341150: e00313aa  mov	x0, x19
0xfffffff008341154: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008341158: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00834115c: ff0f5fd6  retab	
0xfffffff008341160: 13008052  mov	w19, #0
0xfffffff008341164: fbffff17  b	#0xfffffff008341150
0xfffffff008341168: 006bffd0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834116c: 00a43491  add	x0, x0, #0xd29
0xfffffff008341170: e888fe97  bl	#0xfffffff0082e3510
0xfffffff008341174: 200020d4  brk	#1
0xfffffff008341178: 5f2403d5  bti	c
0xfffffff00834117c: a0f600f0  adrp	x0, #0xfffffff00a218000
0xfffffff008341180: 00001b91  add	x0, x0, #0x6c0
0xfffffff008341184: c0035fd6  ret	
0xfffffff008341188: 5f2403d5  bti	c
0xfffffff00834118c: e10300aa  mov	x1, x0
0xfffffff008341190: 08008092  mov	x8, #-1
0xfffffff008341194: 080000f9  str	x8, [x0]
0xfffffff008341198: e0b1ffb0  adrp	x0, #0xfffffff00797e000
0xfffffff00834119c: 00c00e91  add	x0, x0, #0x3b0
0xfffffff0083411a0: 02038052  mov	w2, #0x18
0xfffffff0083411a4: 3e99fe17  b	#0xfffffff0082e769c
0xfffffff0083411a8: 5f2403d5  bti	c
0xfffffff0083411ac: 08008092  mov	x8, #-1
0xfffffff0083411b0: 080000f9  str	x8, [x0]
0xfffffff0083411b4: c0035fd6  ret	
0xfffffff0083411b8: 7f2303d5  pacibsp	
0xfffffff0083411bc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083411c0: fd030091  mov	x29, sp
0xfffffff0083411c4: e8b1ffb0  adrp	x8, #0xfffffff00797e000
0xfffffff0083411c8: 08dd43b9  ldr	w8, [x8, #0x3dc]
0xfffffff0083411cc: 08511d12  and	w8, w8, #0xfffff8
0xfffffff0083411d0: 1f610071  cmp	w8, #0x18
0xfffffff0083411d4: 22010054  b.hs	#0xfffffff0083411f8
0xfffffff0083411d8: 60afff90  adrp	x0, #0xfffffff00792d000
0xfffffff0083411dc: 00c01c91  add	x0, x0, #0x730
0xfffffff0083411e0: 01038052  mov	w1, #0x18
0xfffffff0083411e4: 82008252  mov	w2, #0x1004
