; Candidate 73
; ADRP+ADD at VM 0xfffffff007ddd434 (fileoff 0xdd9434): page=0x23ee000 add_imm=0xd48

0xfffffff007ddd3b4: f70700f9  str	x23, [sp, #8]
0xfffffff007ddd3b8: c00640ad  ldp	q0, q1, [x22]
0xfffffff007ddd3bc: e08700ad  stp	q0, q1, [sp, #0x10]
0xfffffff007ddd3c0: e3230091  add	x3, sp, #8
0xfffffff007ddd3c4: a0008052  mov	w0, #5
0xfffffff007ddd3c8: 02088052  mov	w2, #0x40
0xfffffff007ddd3cc: 04058052  mov	w4, #0x28
0xfffffff007ddd3d0: 4cb40094  bl	#0xfffffff007e0a500
0xfffffff007ddd3d4: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007ddd3d8: 69220091  add	x9, x19, #8
0xfffffff007ddd3dc: e20308aa  mov	x2, x8
0xfffffff007ddd3e0: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007ddd3e4: 5f00086b  cmp	w2, w8
0xfffffff007ddd3e8: e1010054  b.ne	#0xfffffff007ddd424
0xfffffff007ddd3ec: 540200b4  cbz	x20, #0xfffffff007ddd434
0xfffffff007ddd3f0: e3030091  mov	x3, sp
0xfffffff007ddd3f4: e00314aa  mov	x0, x20
0xfffffff007ddd3f8: 42008052  mov	w2, #2
0xfffffff007ddd3fc: 12000014  b	#0xfffffff007ddd444
0xfffffff007ddd400: 80008052  mov	w0, #4
0xfffffff007ddd404: 15000014  b	#0xfffffff007ddd458
0xfffffff007ddd408: e00313aa  mov	x0, x19
0xfffffff007ddd40c: e10315aa  mov	x1, x21
0xfffffff007ddd410: 02008052  mov	w2, #0
0xfffffff007ddd414: b939ff97  bl	#0xfffffff007dabaf8
0xfffffff007ddd418: ccffff17  b	#0xfffffff007ddd348
0xfffffff007ddd41c: e00313aa  mov	x0, x19
0xfffffff007ddd420: 96eb1a94  bl	#0xfffffff008498278
0xfffffff007ddd424: e00313aa  mov	x0, x19
0xfffffff007ddd428: e10315aa  mov	x1, x21
0xfffffff007ddd42c: ce3cff97  bl	#0xfffffff007dac764
0xfffffff007ddd430: 14feffb5  cbnz	x20, #0xfffffff007ddd3f0
0xfffffff007ddd434: 601f01d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007ddd438: 00203591  add	x0, x0, #0xd48
0xfffffff007ddd43c: e3030091  mov	x3, sp
0xfffffff007ddd440: 22008052  mov	w2, #1
0xfffffff007ddd444: 3aeefe97  bl	#0xfffffff007d98d2c
0xfffffff007ddd448: e20340f9  ldr	x2, [sp]
0xfffffff007ddd44c: e00313aa  mov	x0, x19
0xfffffff007ddd450: 41008052  mov	w1, #2
0xfffffff007ddd454: c210ff97  bl	#0xfffffff007da175c
0xfffffff007ddd458: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007ddd45c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007ddd460: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007ddd464: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007ddd468: ffc30191  add	sp, sp, #0x70
0xfffffff007ddd46c: ff0f5fd6  retab	
0xfffffff007ddd470: a0008052  mov	w0, #5
0xfffffff007ddd474: b8f31a94  bl	#0xfffffff00849a354
0xfffffff007ddd478: 7f2303d5  pacibsp	
0xfffffff007ddd47c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff007ddd480: e923046d  stp	d9, d8, [sp, #0x40]
0xfffffff007ddd484: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff007ddd488: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff007ddd48c: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff007ddd490: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff007ddd494: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff007ddd498: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff007ddd49c: fd830291  add	x29, sp, #0xa0
0xfffffff007ddd4a0: 600500b4  cbz	x0, #0xfffffff007ddd54c
0xfffffff007ddd4a4: fb0303aa  mov	x27, x3
0xfffffff007ddd4a8: f60302aa  mov	x22, x2
0xfffffff007ddd4ac: f80301aa  mov	x24, x1
0xfffffff007ddd4b0: f40300aa  mov	x20, x0
