; Candidate 3157
; ADRP+ADD at VM 0xfffffff00871844c (fileoff 0x171444c): page=0x1fea19000 add_imm=0xd90

0xfffffff0087183cc: 3f0d0071  cmp	w9, #3
0xfffffff0087183d0: a1000054  b.ne	#0xfffffff0087183e4
0xfffffff0087183d4: e00314aa  mov	x0, x20
0xfffffff0087183d8: 76f5ff97  bl	#0xfffffff0087159b0
0xfffffff0087183dc: 400300b9  str	w0, [x26]
0xfffffff0087183e0: c8125238  ldurb	w8, [x22, #-0xdf]
0xfffffff0087183e4: 1f090071  cmp	w8, #2
0xfffffff0087183e8: a1000054  b.ne	#0xfffffff0087183fc
0xfffffff0087183ec: e00314aa  mov	x0, x20
0xfffffff0087183f0: 70f5ff97  bl	#0xfffffff0087159b0
0xfffffff0087183f4: 404700b9  str	w0, [x26, #0x44]
0xfffffff0087183f8: c8125238  ldurb	w8, [x22, #-0xdf]
0xfffffff0087183fc: 1f190071  cmp	w8, #6
0xfffffff008718400: 0419437a  ccmp	w8, #3, #4, ne
0xfffffff008718404: a1000054  b.ne	#0xfffffff008718418
0xfffffff008718408: e00314aa  mov	x0, x20
0xfffffff00871840c: 69f5ff97  bl	#0xfffffff0087159b0
0xfffffff008718410: 408b00b9  str	w0, [x26, #0x88]
0xfffffff008718414: c8125238  ldurb	w8, [x22, #-0xdf]
0xfffffff008718418: 1f110071  cmp	w8, #4
0xfffffff00871841c: a1000054  b.ne	#0xfffffff008718430
0xfffffff008718420: e00314aa  mov	x0, x20
0xfffffff008718424: 63f5ff97  bl	#0xfffffff0087159b0
0xfffffff008718428: 40cf00b9  str	w0, [x26, #0xcc]
0xfffffff00871842c: c8125238  ldurb	w8, [x22, #-0xdf]
0xfffffff008718430: f7060091  add	x23, x23, #1
0xfffffff008718434: 5a130091  add	x26, x26, #4
0xfffffff008718438: 88f9ff35  cbnz	w8, #0xfffffff008718368
0xfffffff00871843c: 84feff17  b	#0xfffffff008717e4c
0xfffffff008718440: e851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff008718444: 08291f91  add	x8, x8, #0x7ca
0xfffffff008718448: e80300f9  str	x8, [sp]
0xfffffff00871844c: c050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008718450: 00403691  add	x0, x0, #0xd90
0xfffffff008718454: 2197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008718458: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871845c: 0351ff90  adrp	x3, #0xfffffff007138000
0xfffffff008718460: 637c1a91  add	x3, x3, #0x69f
0xfffffff008718464: 02008052  mov	w2, #0
0xfffffff008718468: 326bf097  bl	#0xfffffff008333130
0xfffffff00871846c: e5faff17  b	#0xfffffff008717000
0xfffffff008718470: e851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff008718474: 08812091  add	x8, x8, #0x820
0xfffffff008718478: e80300f9  str	x8, [sp]
0xfffffff00871847c: c050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008718480: 00403691  add	x0, x0, #0xd90
0xfffffff008718484: 2197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008718488: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871848c: 0351ff90  adrp	x3, #0xfffffff007138000
0xfffffff008718490: 632c1b91  add	x3, x3, #0x6cb
0xfffffff008718494: 02008052  mov	w2, #0
0xfffffff008718498: 266bf097  bl	#0xfffffff008333130
0xfffffff00871849c: d9faff17  b	#0xfffffff008717000
0xfffffff0087184a0: e851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff0087184a4: 08fd2091  add	x8, x8, #0x83f
0xfffffff0087184a8: e80300f9  str	x8, [sp]
0xfffffff0087184ac: c050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087184b0: 00403691  add	x0, x0, #0xd90
0xfffffff0087184b4: 2197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087184b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087184bc: 0351ff90  adrp	x3, #0xfffffff007138000
0xfffffff0087184c0: 63841b91  add	x3, x3, #0x6e1
0xfffffff0087184c4: 02008052  mov	w2, #0
0xfffffff0087184c8: 1a6bf097  bl	#0xfffffff008333130
