; Candidate 3523
; ADRP+ADD at VM 0xfffffff008744938 (fileoff 0x1740938): page=0x1fe9ed000 add_imm=0xd90

0xfffffff0087448b8: ff830091  add	sp, sp, #0x20
0xfffffff0087448bc: ff0f5fd6  retab	
0xfffffff0087448c0: 5f2403d5  bti	c
0xfffffff0087448c4: 08c0218b  add	x8, x0, w1, sxtw
0xfffffff0087448c8: 08a15239  ldrb	w8, [x8, #0x4a8]
0xfffffff0087448cc: 1f190071  cmp	w8, #6
0xfffffff0087448d0: 80010054  b.eq	#0xfffffff008744900
0xfffffff0087448d4: 297c4093  sxtw	x9, w1
0xfffffff0087448d8: 090c098b  add	x9, x0, x9, lsl #3
0xfffffff0087448dc: 2a211391  add	x10, x9, #0x4c8
0xfffffff0087448e0: 29a10e91  add	x9, x9, #0x3a8
0xfffffff0087448e4: 1f010071  cmp	w8, #0
0xfffffff0087448e8: 4811899a  csel	x8, x10, x9, ne
0xfffffff0087448ec: 080140f9  ldr	x8, [x8]
0xfffffff0087448f0: 080500d1  sub	x8, x8, #1
0xfffffff0087448f4: 1f0900b1  cmn	x8, #2
0xfffffff0087448f8: e0279f1a  cset	w0, lo
0xfffffff0087448fc: c0035fd6  ret	
0xfffffff008744900: 00008052  mov	w0, #0
0xfffffff008744904: c0035fd6  ret	
0xfffffff008744908: 7f2303d5  pacibsp	
0xfffffff00874490c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008744910: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008744914: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008744918: fd830091  add	x29, sp, #0x20
0xfffffff00874491c: 9f800071  cmp	w4, #0x20
0xfffffff008744920: eb010054  b.lt	#0xfffffff00874495c
0xfffffff008744924: 93578052  mov	w19, #0x2bc
0xfffffff008744928: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00874492c: 8850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008744930: 08cd3291  add	x8, x8, #0xcb3
0xfffffff008744934: e81300a9  stp	x8, x4, [sp]
0xfffffff008744938: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00874493c: 00403691  add	x0, x0, #0xd90
0xfffffff008744940: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008744944: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008744948: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff00874494c: 63442891  add	x3, x3, #0xa11
0xfffffff008744950: 02008052  mov	w2, #0
0xfffffff008744954: f7b9ef97  bl	#0xfffffff008333130
0xfffffff008744958: 2f000014  b	#0xfffffff008744a14
0xfffffff00874495c: e90300aa  mov	x9, x0
0xfffffff008744960: 005041f9  ldr	x0, [x0, #0x2a0]
0xfffffff008744964: 800200b4  cbz	x0, #0xfffffff0087449b4
0xfffffff008744968: e80303aa  mov	x8, x3
0xfffffff00874496c: e30302aa  mov	x3, x2
0xfffffff008744970: e20301aa  mov	x2, x1
0xfffffff008744974: 29cd248b  add	x9, x9, w4, sxtw #3
0xfffffff008744978: 21d541f9  ldr	x1, [x9, #0x3a8]
0xfffffff00874497c: 29040091  add	x9, x1, #1
0xfffffff008744980: 3f0900f1  cmp	x9, #2
0xfffffff008744984: e2020054  b.hs	#0xfffffff0087449e0
0xfffffff008744988: 93578052  mov	w19, #0x2bc
0xfffffff00874498c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008744990: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744994: 00403691  add	x0, x0, #0xd90
0xfffffff008744998: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874499c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087449a0: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff0087449a4: 63bc2991  add	x3, x3, #0xa6f
0xfffffff0087449a8: 02008052  mov	w2, #0
0xfffffff0087449ac: e1b9ef97  bl	#0xfffffff008333130
0xfffffff0087449b0: 19000014  b	#0xfffffff008744a14
0xfffffff0087449b4: 93578052  mov	w19, #0x2bc
