; Candidate 5864
; ADRP+ADD at VM 0xfffffff0088098e8 (fileoff 0x18058e8): page=0x1fea11000 add_imm=0xcee

0xfffffff008809868: dac70194  bl	#0xfffffff00887b7d0
0xfffffff00880986c: 00e7ff34  cbz	w0, #0xfffffff00880954c
0xfffffff008809870: 800e8052  mov	w0, #0x74
0xfffffff008809874: e9c70194  bl	#0xfffffff00887b818
0xfffffff008809878: f50300aa  mov	x21, x0
0xfffffff00880987c: 4caa0294  bl	#0xfffffff0088b41ac
0xfffffff008809880: f40300aa  mov	x20, x0
0xfffffff008809884: 00018052  mov	w0, #8
0xfffffff008809888: f2c70194  bl	#0xfffffff00887b850
0xfffffff00880988c: 550a0034  cbz	w21, #0xfffffff0088099d4
0xfffffff008809890: 68c640b9  ldr	w8, [x19, #0xc4]
0xfffffff008809894: e9de46b9  ldr	w9, [x23, #0x6dc]
0xfffffff008809898: 6a2a41b9  ldr	w10, [x19, #0x128]
0xfffffff00880989c: eb8342b9  ldr	w11, [sp, #0x280]
0xfffffff0088098a0: ec9342b9  ldr	w12, [sp, #0x290]
0xfffffff0088098a4: ed9742b9  ldr	w13, [sp, #0x294]
0xfffffff0088098a8: ee9b42b9  ldr	w14, [sp, #0x298]
0xfffffff0088098ac: ef0b43b9  ldr	w15, [sp, #0x308]
0xfffffff0088098b0: f01b43b9  ldr	w16, [sp, #0x318]
0xfffffff0088098b4: f11f43b9  ldr	w17, [sp, #0x31c]
0xfffffff0088098b8: e12343b9  ldr	w1, [sp, #0x320]
0xfffffff0088098bc: f10707a9  stp	x17, x1, [sp, #0x70]
0xfffffff0088098c0: ef4306a9  stp	x15, x16, [sp, #0x60]
0xfffffff0088098c4: ed3b05a9  stp	x13, x14, [sp, #0x50]
0xfffffff0088098c8: eb3304a9  stp	x11, x12, [sp, #0x40]
0xfffffff0088098cc: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088098d0: 89908052  mov	w9, #0x484
0xfffffff0088098d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088098d8: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088098dc: 085d2e91  add	x8, x8, #0xb97
0xfffffff0088098e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088098e4: 880e8052  mov	w8, #0x74
0xfffffff0088098e8: 8050ffb0  adrp	x0, #0xfffffff00721a000
0xfffffff0088098ec: 00b83391  add	x0, x0, #0xcee
0xfffffff0088098f0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088098f4: dbb6d697  bl	#0xfffffff007db7460
0xfffffff0088098f8: 15ffff17  b	#0xfffffff00880954c
0xfffffff0088098fc: 2caa0294  bl	#0xfffffff0088b41ac
0xfffffff008809900: f30300aa  mov	x19, x0
0xfffffff008809904: 80008052  mov	w0, #4
0xfffffff008809908: d2c70194  bl	#0xfffffff00887b850
0xfffffff00880990c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809910: 08e12f91  add	x8, x8, #0xbf8
0xfffffff008809914: 298c8052  mov	w9, #0x461
0xfffffff008809918: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880991c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809920: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809924: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809928: 880e8052  mov	w8, #0x74
0xfffffff00880992c: f32300a9  stp	x19, x8, [sp]
0xfffffff008809930: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809934: 00003a91  add	x0, x0, #0xe80
0xfffffff008809938: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880993c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809940: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809944: 63603091  add	x3, x3, #0xc18
0xfffffff008809948: 02008052  mov	w2, #0
0xfffffff00880994c: f9a5ec97  bl	#0xfffffff008333130
0xfffffff008809950: 18000014  b	#0xfffffff0088099b0
0xfffffff008809954: 16aa0294  bl	#0xfffffff0088b41ac
0xfffffff008809958: f40300aa  mov	x20, x0
0xfffffff00880995c: 80008052  mov	w0, #4
0xfffffff008809960: bcc70194  bl	#0xfffffff00887b850
0xfffffff008809964: 6ac640b9  ldr	w10, [x19, #0xc4]
