; Candidate 13565
; ADRP+ADD at VM 0xfffffff00938abec (fileoff 0x2386bec): page=0x1fe839000 add_imm=0xe60

0xfffffff00938ab6c: 10c21e91  add	x16, x16, #0x7b0
0xfffffff00938ab70: 10420091  add	x16, x16, #0x10
0xfffffff00938ab74: f10300aa  mov	x17, x0
0xfffffff00938ab78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00938ab7c: 300ac1da  pacda	x16, x17
0xfffffff00938ab80: 100000f9  str	x16, [x0]
0xfffffff00938ab84: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00938ab88: ff0f5fd6  retab	
0xfffffff00938ab8c: 5f2403d5  bti	c
0xfffffff00938ab90: ece4bf17  b	#0xfffffff008383f40
0xfffffff00938ab94: 5f2403d5  bti	c
0xfffffff00938ab98: eae4bf17  b	#0xfffffff008383f40
0xfffffff00938ab9c: 7f2303d5  pacibsp	
0xfffffff00938aba0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00938aba4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00938aba8: fd430091  add	x29, sp, #0x10
0xfffffff00938abac: f30300aa  mov	x19, x0
0xfffffff00938abb0: e4e4bf97  bl	#0xfffffff008383f40
0xfffffff00938abb4: c041ffb0  adrp	x0, #0xfffffff007bc3000
0xfffffff00938abb8: 00803991  add	x0, x0, #0xe60
0xfffffff00938abbc: e10313aa  mov	x1, x19
0xfffffff00938abc0: 02228052  mov	w2, #0x110
0xfffffff00938abc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00938abc8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00938abcc: ff2303d5  autibsp	
0xfffffff00938abd0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00938abd4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00938abdc
0xfffffff00938abd8: 208e38d4  brk	#0xc471
0xfffffff00938abdc: b072bd17  b	#0xfffffff0082e769c
0xfffffff00938abe0: 5f2403d5  bti	c
0xfffffff00938abe4: e20301aa  mov	x2, x1
0xfffffff00938abe8: e10300aa  mov	x1, x0
0xfffffff00938abec: c041ffb0  adrp	x0, #0xfffffff007bc3000
0xfffffff00938abf0: 00803991  add	x0, x0, #0xe60
0xfffffff00938abf4: aa72bd17  b	#0xfffffff0082e769c
0xfffffff00938abf8: 5f2403d5  bti	c
0xfffffff00938abfc: a07f00d0  adrp	x0, #0xfffffff00a380000
0xfffffff00938ac00: 00a00491  add	x0, x0, #0x128
0xfffffff00938ac04: c0035fd6  ret	
0xfffffff00938ac08: 7f2303d5  pacibsp	
0xfffffff00938ac0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00938ac10: fd030091  mov	x29, sp
0xfffffff00938ac14: 810bfff0  adrp	x1, #0xfffffff0074fd000
0xfffffff00938ac18: 21103a91  add	x1, x1, #0xe84
0xfffffff00938ac1c: c241ff90  adrp	x2, #0xfffffff007bc2000
0xfffffff00938ac20: 426443f9  ldr	x2, [x2, #0x6c8]
0xfffffff00938ac24: 03228052  mov	w3, #0x110
0xfffffff00938ac28: c463bd97  bl	#0xfffffff0082e3b38
0xfffffff00938ac2c: d041ffb0  adrp	x16, #0xfffffff007bc3000
0xfffffff00938ac30: 10e23491  add	x16, x16, #0xd38
0xfffffff00938ac34: 10420091  add	x16, x16, #0x10
0xfffffff00938ac38: f10300aa  mov	x17, x0
0xfffffff00938ac3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00938ac40: 300ac1da  pacda	x16, x17
0xfffffff00938ac44: 100000f9  str	x16, [x0]
0xfffffff00938ac48: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00938ac4c: ff0f5fd6  retab	
0xfffffff00938ac50: 7f2303d5  pacibsp	
0xfffffff00938ac54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00938ac58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00938ac5c: fd430091  add	x29, sp, #0x10
0xfffffff00938ac60: c041ffb0  adrp	x0, #0xfffffff007bc3000
0xfffffff00938ac64: 00803991  add	x0, x0, #0xe60
0xfffffff00938ac68: 01228052  mov	w1, #0x110
