; Candidate 6073
; ADRP+ADD at VM 0xfffffff008812ef0 (fileoff 0x180eef0): page=0x1fe9d7000 add_imm=0xe80

0xfffffff008812e70: 087f40b9  ldr	w8, [x24, #0x7c]
0xfffffff008812e74: 48010034  cbz	w8, #0xfffffff008812e9c
0xfffffff008812e78: 160080d2  mov	x22, #0
0xfffffff008812e7c: 57130091  add	x23, x26, #4
0xfffffff008812e80: 89de8352  mov	w9, #0x1ef4
0xfffffff008812e84: ea0240b9  ldr	w10, [x23]
0xfffffff008812e88: ea0a0035  cbnz	w10, #0xfffffff008812fe4
0xfffffff008812e8c: d6060091  add	x22, x22, #1
0xfffffff008812e90: f702098b  add	x23, x23, x9
0xfffffff008812e94: 1f0116eb  cmp	x8, x22
0xfffffff008812e98: 61ffff54  b.ne	#0xfffffff008812e84
0xfffffff008812e9c: 08034079  ldrh	w8, [x24]
0xfffffff008812ea0: 1f210071  cmp	w8, #8
0xfffffff008812ea4: a2060054  b.hs	#0xfffffff008812f78
0xfffffff008812ea8: 14008052  mov	w20, #0
0xfffffff008812eac: c4ffff17  b	#0xfffffff008812dbc
0xfffffff008812eb0: bf840294  bl	#0xfffffff0088b41ac
0xfffffff008812eb4: f50300aa  mov	x21, x0
0xfffffff008812eb8: 80008052  mov	w0, #4
0xfffffff008812ebc: 65a20194  bl	#0xfffffff00887b850
0xfffffff008812ec0: 680340b9  ldr	w8, [x27]
0xfffffff008812ec4: f9a303a9  stp	x25, x8, [sp, #0x38]
0xfffffff008812ec8: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008812ecc: 08b92791  add	x8, x8, #0x9ee
0xfffffff008812ed0: e9728052  mov	w9, #0x397
0xfffffff008812ed4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008812ed8: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812edc: 08992491  add	x8, x8, #0x926
0xfffffff008812ee0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008812ee4: 880e8052  mov	w8, #0x74
0xfffffff008812ee8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008812eec: f50300f9  str	x21, [sp]
0xfffffff008812ef0: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812ef4: 00003a91  add	x0, x0, #0xe80
0xfffffff008812ef8: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812efc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008812f00: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812f04: 63ac3591  add	x3, x3, #0xd6b
0xfffffff008812f08: 02008052  mov	w2, #0
0xfffffff008812f0c: 8980ec97  bl	#0xfffffff008333130
0xfffffff008812f10: abffff17  b	#0xfffffff008812dbc
0xfffffff008812f14: a6840294  bl	#0xfffffff0088b41ac
0xfffffff008812f18: f80300aa  mov	x24, x0
0xfffffff008812f1c: 80008052  mov	w0, #4
0xfffffff008812f20: 4ca20194  bl	#0xfffffff00887b850
0xfffffff008812f24: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff008812f28: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff008812f2c: f35b03a9  stp	x19, x22, [sp, #0x30]
0xfffffff008812f30: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008812f34: 08b92791  add	x8, x8, #0x9ee
0xfffffff008812f38: 09748052  mov	w9, #0x3a0
0xfffffff008812f3c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812f40: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812f44: 08992491  add	x8, x8, #0x926
0xfffffff008812f48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812f4c: 880e8052  mov	w8, #0x74
0xfffffff008812f50: f82300a9  stp	x24, x8, [sp]
0xfffffff008812f54: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812f58: 00003a91  add	x0, x0, #0xe80
0xfffffff008812f5c: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812f60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008812f64: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812f68: 63a83691  add	x3, x3, #0xdaa
0xfffffff008812f6c: 02008052  mov	w2, #0
