; Candidate 3381
; ADRP+ADD at VM 0xfffffff008739088 (fileoff 0x1735088): page=0x1fe9f8000 add_imm=0xd90

0xfffffff008739008: 9f970171  cmp	w28, #0x65
0xfffffff00873900c: 80050054  b.eq	#0xfffffff0087390bc
0xfffffff008739010: f8031baa  mov	x24, x27
0xfffffff008739014: 1a008052  mov	w26, #0
0xfffffff008739018: 9c070011  add	w28, w28, #1
0xfffffff00873901c: fb0319aa  mov	x27, x25
0xfffffff008739020: f50313aa  mov	x21, x19
0xfffffff008739024: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff008739028: c0d642f9  ldr	x0, [x22, #0x5a8]
0xfffffff00873902c: a10645b8  ldr	w1, [x21], #0x50
0xfffffff008739030: 100040f9  ldr	x16, [x0]
0xfffffff008739034: f10300aa  mov	x17, x0
0xfffffff008739038: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00873903c: 301ac1da  autda	x16, x17
0xfffffff008739040: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008739044: e90310aa  mov	x9, x16
0xfffffff008739048: f10309aa  mov	x17, x9
0xfffffff00873904c: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008739050: 11093fd7  blraa	x8, x17
0xfffffff008739054: e02b00b9  str	w0, [sp, #0x28]
0xfffffff008739058: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff00873905c: e803282a  mvn	w8, w8
0xfffffff008739060: 5a7f480b  add	w26, w26, w8, lsr #31
0xfffffff008739064: 7b0700f1  subs	x27, x27, #1
0xfffffff008739068: e1fdff54  b.ne	#0xfffffff008739024
0xfffffff00873906c: 5f03146b  cmp	w26, w20
0xfffffff008739070: e0010054  b.eq	#0xfffffff0087390ac
0xfffffff008739074: fb0318aa  mov	x27, x24
0xfffffff008739078: fad300a9  stp	x26, x20, [sp, #8]
0xfffffff00873907c: e850ffb0  adrp	x8, #0xfffffff007156000
0xfffffff008739080: 08c13f91  add	x8, x8, #0xff0
0xfffffff008739084: e80300f9  str	x8, [sp]
0xfffffff008739088: c04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873908c: 00403691  add	x0, x0, #0xd90
0xfffffff008739090: 2196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008739094: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008739098: 02008052  mov	w2, #0
0xfffffff00873909c: e30317aa  mov	x3, x23
0xfffffff0087390a0: 24e8ef97  bl	#0xfffffff008333130
0xfffffff0087390a4: 5f03146b  cmp	w26, w20
0xfffffff0087390a8: 8bfaff54  b.lt	#0xfffffff008738ff8
0xfffffff0087390ac: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff0087390b0: 10000014  b	#0xfffffff0087390f0
0xfffffff0087390b4: 28008052  mov	w8, #1
0xfffffff0087390b8: 0e000014  b	#0xfffffff0087390f0
0xfffffff0087390bc: 29788052  mov	w9, #0x3c1
0xfffffff0087390c0: e850ffb0  adrp	x8, #0xfffffff007156000
0xfffffff0087390c4: 08c13f91  add	x8, x8, #0xff0
0xfffffff0087390c8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087390cc: c04fff90  adrp	x0, #0xfffffff007131000
0xfffffff0087390d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087390d4: 2196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087390d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087390dc: 0350ffd0  adrp	x3, #0xfffffff00713b000
0xfffffff0087390e0: 63c82691  add	x3, x3, #0x9b2
0xfffffff0087390e4: 02008052  mov	w2, #0
0xfffffff0087390e8: 12e8ef97  bl	#0xfffffff008333130
0xfffffff0087390ec: 08008052  mov	w8, #0
0xfffffff0087390f0: 00010012  and	w0, w8, #1
0xfffffff0087390f4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0087390f8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0087390fc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008739100: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008739104: fa6744a9  ldp	x26, x25, [sp, #0x40]
