; Candidate 3423
; ADRP+ADD at VM 0xfffffff00873db14 (fileoff 0x1739b14): page=0x1fe9f4000 add_imm=0xd90

0xfffffff00873da94: e20240f9  ldr	x2, [x23]
0xfffffff00873da98: 100040f9  ldr	x16, [x0]
0xfffffff00873da9c: f10300aa  mov	x17, x0
0xfffffff00873daa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873daa4: 301ac1da  autda	x16, x17
0xfffffff00873daa8: f10310aa  mov	x17, x16
0xfffffff00873daac: f147c1da  xpacd	x17
0xfffffff00873dab0: 1f0211eb  cmp	x16, x17
0xfffffff00873dab4: 40000054  b.eq	#0xfffffff00873dabc
0xfffffff00873dab8: 408e38d4  brk	#0xc472
0xfffffff00873dabc: 08c20491  add	x8, x16, #0x130
0xfffffff00873dac0: 099a40f9  ldr	x9, [x16, #0x130]
0xfffffff00873dac4: c150ffd0  adrp	x1, #0xfffffff007157000
0xfffffff00873dac8: 21e42491  add	x1, x1, #0x939
0xfffffff00873dacc: e01300f9  str	x0, [sp, #0x20]
0xfffffff00873dad0: 23008052  mov	w3, #1
0xfffffff00873dad4: f10308aa  mov	x17, x8
0xfffffff00873dad8: f141f4f2  movk	x17, #0xa20f, lsl #48
0xfffffff00873dadc: 31093fd7  blraa	x9, x17
0xfffffff00873dae0: e12340f9  ldr	x1, [sp, #0x40]
0xfffffff00873dae4: 8498ee97  bl	#0xfffffff0082e3cf4
0xfffffff00873dae8: 100040f9  ldr	x16, [x0]
0xfffffff00873daec: f10300aa  mov	x17, x0
0xfffffff00873daf0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873daf4: 301ac1da  autda	x16, x17
0xfffffff00873daf8: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00873dafc: e90310aa  mov	x9, x16
0xfffffff00873db00: f10309aa  mov	x17, x9
0xfffffff00873db04: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00873db08: 11093fd7  blraa	x8, x17
0xfffffff00873db0c: f70300aa  mov	x23, x0
0xfffffff00873db10: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873db14: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873db18: 00403691  add	x0, x0, #0xd90
0xfffffff00873db1c: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873db20: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873db24: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873db28: 63f00d91  add	x3, x3, #0x37c
0xfffffff00873db2c: 02008052  mov	w2, #0
0xfffffff00873db30: 80d5ef97  bl	#0xfffffff008333130
0xfffffff00873db34: e80a4039  ldrb	w8, [x23, #2]
0xfffffff00873db38: 10cd0051  sub	w16, w8, #0x33
0xfffffff00873db3c: 1f120071  cmp	w16, #4
0xfffffff00873db40: 68110054  b.hi	#0xfffffff00873dd6c
0xfffffff00873db44: 1f1200f1  cmp	x16, #4
0xfffffff00873db48: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00873db4c: 110000d0  adrp	x17, #0xfffffff00873f000
0xfffffff00873db50: 31021591  add	x17, x17, #0x540
0xfffffff00873db54: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00873db58: 11000010  adr	x17, #0xfffffff00873db58
0xfffffff00873db5c: 3002108b  add	x16, x17, x16
0xfffffff00873db60: 00021fd6  br	x16
0xfffffff00873db64: 9f2403d5  bti	j
0xfffffff00873db68: 88258052  mov	w8, #0x12c
0xfffffff00873db6c: 7f000014  b	#0xfffffff00873dd68
0xfffffff00873db70: 88028052  mov	w8, #0x14
0xfffffff00873db74: 68b201b9  str	w8, [x19, #0x1b0]
0xfffffff00873db78: f00240f9  ldr	x16, [x23]
0xfffffff00873db7c: f10317aa  mov	x17, x23
0xfffffff00873db80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873db84: 301ac1da  autda	x16, x17
0xfffffff00873db88: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00873db8c: e90310aa  mov	x9, x16
0xfffffff00873db90: e00317aa  mov	x0, x23
