; Candidate 2879
; ADRP+ADD at VM 0xfffffff0086f2f60 (fileoff 0x16eef60): page=0x1fea3f000 add_imm=0xd90

0xfffffff0086f2ee0: e85700a9  stp	x8, x21, [sp]
0xfffffff0086f2ee4: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f2ee8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2eec: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2ef0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2ef4: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f2ef8: 63182291  add	x3, x3, #0x886
0xfffffff0086f2efc: 02008052  mov	w2, #0
0xfffffff0086f2f00: 8c00f197  bl	#0xfffffff008333130
0xfffffff0086f2f04: 800240f9  ldr	x0, [x20]
0xfffffff0086f2f08: e1730091  add	x1, sp, #0x1c
0xfffffff0086f2f0c: e20315aa  mov	x2, x21
0xfffffff0086f2f10: c20eff97  bl	#0xfffffff0086b6a18
0xfffffff0086f2f14: 80030034  cbz	w0, #0xfffffff0086f2f84
0xfffffff0086f2f18: e852ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086f2f1c: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086f2f20: e80300f9  str	x8, [sp]
0xfffffff0086f2f24: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f2f28: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2f2c: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2f30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2f34: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f2f38: 63302391  add	x3, x3, #0x8cc
0xfffffff0086f2f3c: 02008052  mov	w2, #0
0xfffffff0086f2f40: 7c00f197  bl	#0xfffffff008333130
0xfffffff0086f2f44: 14008052  mov	w20, #0
0xfffffff0086f2f48: 87ffff17  b	#0xfffffff0086f2d64
0xfffffff0086f2f4c: 94578052  mov	w20, #0x2bc
0xfffffff0086f2f50: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086f2f54: e852ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086f2f58: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086f2f5c: e80300f9  str	x8, [sp]
0xfffffff0086f2f60: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f2f64: 00403691  add	x0, x0, #0xd90
0xfffffff0086f2f68: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f2f6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f2f70: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f2f74: 636c2191  add	x3, x3, #0x85b
0xfffffff0086f2f78: 02008052  mov	w2, #0
0xfffffff0086f2f7c: 6d00f197  bl	#0xfffffff008333130
0xfffffff0086f2f80: c7ffff17  b	#0xfffffff0086f2e9c
0xfffffff0086f2f84: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0086f2f88: 684a00b9  str	w8, [x19, #0x48]
0xfffffff0086f2f8c: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086f2f90: 3d0eff97  bl	#0xfffffff0086b6884
0xfffffff0086f2f94: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086f2f98: 760eff97  bl	#0xfffffff0086b6970
0xfffffff0086f2f9c: f40300aa  mov	x20, x0
0xfffffff0086f2fa0: bfffff17  b	#0xfffffff0086f2e9c
0xfffffff0086f2fa4: 7f2303d5  pacibsp	
0xfffffff0086f2fa8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086f2fac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f2fb0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f2fb4: fd830091  add	x29, sp, #0x20
0xfffffff0086f2fb8: 93578052  mov	w19, #0x2bc
0xfffffff0086f2fbc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0086f2fc0: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff0086f2fc4: e80400b4  cbz	x8, #0xfffffff0086f3060
0xfffffff0086f2fc8: f40300aa  mov	x20, x0
0xfffffff0086f2fcc: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff0086f2fd0: 800400b4  cbz	x0, #0xfffffff0086f3060
0xfffffff0086f2fd4: 88324139  ldrb	w8, [x20, #0x4c]
0xfffffff0086f2fd8: 48040034  cbz	w8, #0xfffffff0086f3060
0xfffffff0086f2fdc: 21008052  mov	w1, #1
