; Candidate 3937
; ADRP+ADD at VM 0xfffffff008775064 (fileoff 0x1771064): page=0x1fe9bc000 add_imm=0xd90

0xfffffff008774fe4: 60060054  b.eq	#0xfffffff0087750b0
0xfffffff008774fe8: e90219ab  adds	x9, x23, x25
0xfffffff008774fec: eb379f1a  cset	w11, hs
0xfffffff008774ff0: 6a014093  sbfx	x10, x11, #0, #1
0xfffffff008774ff4: 4b010bca  eor	x11, x10, x11
0xfffffff008774ff8: 2b0600b5  cbnz	x11, #0xfffffff0087750bc
0xfffffff008774ffc: 0a06f8b7  tbnz	x10, #0x3f, #0xfffffff0087750bc
0xfffffff008775000: 29014039  ldrb	w9, [x9]
0xfffffff008775004: 69020034  cbz	w9, #0xfffffff008775050
0xfffffff008775008: 100040f9  ldr	x16, [x0]
0xfffffff00877500c: f10300aa  mov	x17, x0
0xfffffff008775010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008775014: 301ac1da  autda	x16, x17
0xfffffff008775018: 117680d2  mov	x17, #0x3b0
0xfffffff00877501c: 1002118b  add	x16, x16, x17
0xfffffff008775020: 080240f9  ldr	x8, [x16]
0xfffffff008775024: e90310aa  mov	x9, x16
0xfffffff008775028: e10314aa  mov	x1, x20
0xfffffff00877502c: 02008052  mov	w2, #0
0xfffffff008775030: 030080d2  mov	x3, #0
0xfffffff008775034: 040080d2  mov	x4, #0
0xfffffff008775038: 050080d2  mov	x5, #0
0xfffffff00877503c: 060080d2  mov	x6, #0
0xfffffff008775040: f10309aa  mov	x17, x9
0xfffffff008775044: 7172eaf2  movk	x17, #0x5393, lsl #48
0xfffffff008775048: 11093fd7  blraa	x8, x17
0xfffffff00877504c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008775050: 39070091  add	x25, x25, #1
0xfffffff008775054: 18230091  add	x24, x24, #8
0xfffffff008775058: 3f0308eb  cmp	x25, x8
0xfffffff00877505c: 83faff54  b.lo	#0xfffffff008774fac
0xfffffff008775060: 09000014  b	#0xfffffff008775084
0xfffffff008775064: e04dff90  adrp	x0, #0xfffffff007131000
0xfffffff008775068: 00403691  add	x0, x0, #0xd90
0xfffffff00877506c: 4194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008775070: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008775074: 634efff0  adrp	x3, #0xfffffff007144000
0xfffffff008775078: 63081591  add	x3, x3, #0x542
0xfffffff00877507c: 02008052  mov	w2, #0
0xfffffff008775080: 2cf8ee97  bl	#0xfffffff008333130
0xfffffff008775084: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008775088: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00877508c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008775090: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008775094: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008775098: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff00877509c: ff2303d5  autibsp	
0xfffffff0087750a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087750a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087750ac
0xfffffff0087750a8: 208e38d4  brk	#0xc471
0xfffffff0087750ac: 5fe5d817  b	#0xfffffff007dae628
0xfffffff0087750b0: 004ffff0  adrp	x0, #0xfffffff007158000
0xfffffff0087750b4: 00d82d91  add	x0, x0, #0xb76
0xfffffff0087750b8: de020094  bl	#0xfffffff008775c30
0xfffffff0087750bc: c04effd0  adrp	x0, #0xfffffff00714f000
0xfffffff0087750c0: 00041891  add	x0, x0, #0x601
0xfffffff0087750c4: db020094  bl	#0xfffffff008775c30
0xfffffff0087750c8: c04effd0  adrp	x0, #0xfffffff00714f000
0xfffffff0087750cc: 00981191  add	x0, x0, #0x466
0xfffffff0087750d0: d8020094  bl	#0xfffffff008775c30
0xfffffff0087750d4: 7f2303d5  pacibsp	
0xfffffff0087750d8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087750dc: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff0087750e0: fa6702a9  stp	x26, x25, [sp, #0x20]
