; Candidate 9863
; ADRP+ADD at VM 0xfffffff008b65c00 (fileoff 0x1b61c00): page=0x1fef2e000 add_imm=0xcf0

0xfffffff008b65b80: 08310011  add	w8, w8, #0xc
0xfffffff008b65b84: a85a00b9  str	w8, [x21, #0x58]
0xfffffff008b65b88: 810640f9  ldr	x1, [x20, #8]
0xfffffff008b65b8c: 223effd0  adrp	x2, #0xfffffff00732b000
0xfffffff008b65b90: 42ec2a91  add	x2, x2, #0xabb
0xfffffff008b65b94: 433efff0  adrp	x3, #0xfffffff007330000
0xfffffff008b65b98: 63d00e91  add	x3, x3, #0x3b4
0xfffffff008b65b9c: e00313aa  mov	x0, x19
0xfffffff008b65ba0: c2c6e297  bl	#0xfffffff0084176a8
0xfffffff008b65ba4: 600c0034  cbz	w0, #0xfffffff008b65d30
0xfffffff008b65ba8: a80240b9  ldr	w8, [x21]
0xfffffff008b65bac: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65bb0: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65bb4: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65bb8: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65bbc: 00400c91  add	x0, x0, #0x310
0xfffffff008b65bc0: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65bc4: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65bc8: 033eff90  adrp	x3, #0xfffffff007325000
0xfffffff008b65bcc: 63700191  add	x3, x3, #0x5c
0xfffffff008b65bd0: 02008052  mov	w2, #0
0xfffffff008b65bd4: 5735df97  bl	#0xfffffff008333130
0xfffffff008b65bd8: 800640f9  ldr	x0, [x20, #8]
0xfffffff008b65bdc: 100040f9  ldr	x16, [x0]
0xfffffff008b65be0: f10300aa  mov	x17, x0
0xfffffff008b65be4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65be8: 301ac1da  autda	x16, x17
0xfffffff008b65bec: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65bf0: e90310aa  mov	x9, x16
0xfffffff008b65bf4: f10309aa  mov	x17, x9
0xfffffff008b65bf8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65bfc: 11093fd7  blraa	x8, x17
0xfffffff008b65c00: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65c04: 00c03391  add	x0, x0, #0xcf0
0xfffffff008b65c08: e10314aa  mov	x1, x20
0xfffffff008b65c0c: c0c2df97  bl	#0xfffffff00835670c
0xfffffff008b65c10: a8578052  mov	w8, #0x2bd
0xfffffff008b65c14: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008b65c18: 13050051  sub	w19, w8, #1
0xfffffff008b65c1c: 3f000014  b	#0xfffffff008b65d18
0xfffffff008b65c20: b3578052  mov	w19, #0x2bd
0xfffffff008b65c24: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65c28: a80240b9  ldr	w8, [x21]
0xfffffff008b65c2c: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65c30: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65c34: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65c38: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65c3c: 00400c91  add	x0, x0, #0x310
0xfffffff008b65c40: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65c44: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65c48: e33dfff0  adrp	x3, #0xfffffff007324000
0xfffffff008b65c4c: 63343e91  add	x3, x3, #0xf8d
0xfffffff008b65c50: 02008052  mov	w2, #0
0xfffffff008b65c54: 3735df97  bl	#0xfffffff008333130
0xfffffff008b65c58: 30000014  b	#0xfffffff008b65d18
0xfffffff008b65c5c: b3578052  mov	w19, #0x2bd
0xfffffff008b65c60: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65c64: a80240b9  ldr	w8, [x21]
0xfffffff008b65c68: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65c6c: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65c70: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65c74: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65c78: 00400c91  add	x0, x0, #0x310
0xfffffff008b65c7c: 4179ff90  adrp	x1, #0xfffffff007a8d000
