; Candidate 3799
; ADRP+ADD at VM 0xfffffff00875e42c (fileoff 0x175a42c): page=0x1fe9d3000 add_imm=0xd90

0xfffffff00875e3ac: 2b0d02b9  str	w11, [x9, #0x20c]
0xfffffff00875e3b0: 690340f9  ldr	x9, [x27]
0xfffffff00875e3b4: 2b1142b9  ldr	w11, [x9, #0x210]
0xfffffff00875e3b8: 081d0853  lsl	w8, w8, #0x18
0xfffffff00875e3bc: 68750033  bfxil	w8, w11, #0, #0x1e
0xfffffff00875e3c0: 281102b9  str	w8, [x9, #0x210]
0xfffffff00875e3c4: 680340f9  ldr	x8, [x27]
0xfffffff00875e3c8: 091542b9  ldr	w9, [x8, #0x214]
0xfffffff00875e3cc: 4a1d0853  lsl	w10, w10, #0x18
0xfffffff00875e3d0: 2a750033  bfxil	w10, w9, #0, #0x1e
0xfffffff00875e3d4: 0a1502b9  str	w10, [x8, #0x214]
0xfffffff00875e3d8: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00875e3dc: 88060034  cbz	w8, #0xfffffff00875e4ac
0xfffffff00875e3e0: 00008052  mov	w0, #0
0xfffffff00875e3e4: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff00875e3e8: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff00875e3ec: 084540b9  ldr	w8, [x8, #0x44]
0xfffffff00875e3f0: 2a1142b9  ldr	w10, [x9, #0x210]
0xfffffff00875e3f4: 087d0653  lsr	w8, w8, #6
0xfffffff00875e3f8: 0a2d1e33  bfi	w10, w8, #2, #0xc
0xfffffff00875e3fc: 2a1102b9  str	w10, [x9, #0x210]
0xfffffff00875e400: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff00875e404: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff00875e408: 084940b9  ldr	w8, [x8, #0x48]
0xfffffff00875e40c: 2a1542b9  ldr	w10, [x9, #0x214]
0xfffffff00875e410: 087d0653  lsr	w8, w8, #6
0xfffffff00875e414: 0a311e33  bfi	w10, w8, #2, #0xd
0xfffffff00875e418: 2a1502b9  str	w10, [x9, #0x214]
0xfffffff00875e41c: 0d000014  b	#0xfffffff00875e450
0xfffffff00875e420: 884fffb0  adrp	x8, #0xfffffff00714f000
0xfffffff00875e424: 08bd1991  add	x8, x8, #0x66f
0xfffffff00875e428: e82700a9  stp	x8, x9, [sp]
0xfffffff00875e42c: 804efff0  adrp	x0, #0xfffffff007131000
0xfffffff00875e430: 00403691  add	x0, x0, #0xd90
0xfffffff00875e434: e194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875e438: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875e43c: 234fff90  adrp	x3, #0xfffffff007142000
0xfffffff00875e440: 63640691  add	x3, x3, #0x199
0xfffffff00875e444: 02008052  mov	w2, #0
0xfffffff00875e448: 3a53ef97  bl	#0xfffffff008333130
0xfffffff00875e44c: 00008012  mov	w0, #-1
0xfffffff00875e450: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff00875e454: e994fff0  adrp	x9, #0xfffffff0079fd000
0xfffffff00875e458: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00875e45c: 290140f9  ldr	x9, [x9]
0xfffffff00875e460: 3f0108eb  cmp	x9, x8
0xfffffff00875e464: e1040054  b.ne	#0xfffffff00875e500
0xfffffff00875e468: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff00875e46c: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff00875e470: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff00875e474: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff00875e478: fa6753a9  ldp	x26, x25, [sp, #0x130]
0xfffffff00875e47c: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff00875e480: ff030691  add	sp, sp, #0x180
0xfffffff00875e484: ff0f5fd6  retab	
0xfffffff00875e488: 804efff0  adrp	x0, #0xfffffff007131000
0xfffffff00875e48c: 00403691  add	x0, x0, #0xd90
0xfffffff00875e490: e194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875e494: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875e498: 234fff90  adrp	x3, #0xfffffff007142000
0xfffffff00875e49c: 63980591  add	x3, x3, #0x166
0xfffffff00875e4a0: 02008052  mov	w2, #0
0xfffffff00875e4a4: 2353ef97  bl	#0xfffffff008333130
0xfffffff00875e4a8: e9ffff17  b	#0xfffffff00875e44c
