; Candidate 15746
; ADRP+ADD at VM 0xfffffff009cf6304 (fileoff 0x2cf2304): page=0x1fd96a000 add_imm=0xce2

0xfffffff009cf6284: 81040054  b.ne	#0xfffffff009cf6314
0xfffffff009cf6288: 700240f9  ldr	x16, [x19]
0xfffffff009cf628c: f10313aa  mov	x17, x19
0xfffffff009cf6290: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf6294: 301ac1da  autda	x16, x17
0xfffffff009cf6298: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf629c: 1002118b  add	x16, x16, x17
0xfffffff009cf62a0: 080240f9  ldr	x8, [x16]
0xfffffff009cf62a4: e90310aa  mov	x9, x16
0xfffffff009cf62a8: e00313aa  mov	x0, x19
0xfffffff009cf62ac: 010080d2  mov	x1, #0
0xfffffff009cf62b0: f10309aa  mov	x17, x9
0xfffffff009cf62b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf62b8: 11093fd7  blraa	x8, x17
0xfffffff009cf62bc: f40300aa  mov	x20, x0
0xfffffff009cf62c0: 700240f9  ldr	x16, [x19]
0xfffffff009cf62c4: f10313aa  mov	x17, x19
0xfffffff009cf62c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf62cc: 301ac1da  autda	x16, x17
0xfffffff009cf62d0: 114380d2  mov	x17, #0x218
0xfffffff009cf62d4: 1002118b  add	x16, x16, x17
0xfffffff009cf62d8: 080240f9  ldr	x8, [x16]
0xfffffff009cf62dc: e90310aa  mov	x9, x16
0xfffffff009cf62e0: e00313aa  mov	x0, x19
0xfffffff009cf62e4: 010080d2  mov	x1, #0
0xfffffff009cf62e8: f10309aa  mov	x17, x9
0xfffffff009cf62ec: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009cf62f0: 11093fd7  blraa	x8, x17
0xfffffff009cf62f4: 68cbfeb0  adrp	x8, #0xfffffff007663000
0xfffffff009cf62f8: 087d3491  add	x8, x8, #0xd1f
0xfffffff009cf62fc: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009cf6300: f40300a9  stp	x20, x0, [sp]
0xfffffff009cf6304: 40cbfed0  adrp	x0, #0xfffffff007660000
0xfffffff009cf6308: 00883391  add	x0, x0, #0xce2
0xfffffff009cf630c: 45839997  bl	#0xfffffff008357020
0xfffffff009cf6310: 4b000014  b	#0xfffffff009cf643c
0xfffffff009cf6314: 88027c92  and	x8, x20, #0x10
0xfffffff009cf6318: 08fd43d3  lsr	x8, x8, #3
0xfffffff009cf631c: 14011f52  eor	w20, w8, #2
0xfffffff009cf6320: 700240f9  ldr	x16, [x19]
0xfffffff009cf6324: f10313aa  mov	x17, x19
0xfffffff009cf6328: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf632c: 301ac1da  autda	x16, x17
0xfffffff009cf6330: 113d80d2  mov	x17, #0x1e8
0xfffffff009cf6334: 1002118b  add	x16, x16, x17
0xfffffff009cf6338: 080240f9  ldr	x8, [x16]
0xfffffff009cf633c: e90310aa  mov	x9, x16
0xfffffff009cf6340: e00313aa  mov	x0, x19
0xfffffff009cf6344: 010080d2  mov	x1, #0
0xfffffff009cf6348: f10309aa  mov	x17, x9
0xfffffff009cf634c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009cf6350: 11093fd7  blraa	x8, x17
0xfffffff009cf6354: 700240f9  ldr	x16, [x19]
0xfffffff009cf6358: f10313aa  mov	x17, x19
0xfffffff009cf635c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf6360: 301ac1da  autda	x16, x17
0xfffffff009cf6364: 114380d2  mov	x17, #0x218
0xfffffff009cf6368: 1002118b  add	x16, x16, x17
0xfffffff009cf636c: 080240f9  ldr	x8, [x16]
0xfffffff009cf6370: e90310aa  mov	x9, x16
0xfffffff009cf6374: e00313aa  mov	x0, x19
0xfffffff009cf6378: 010080d2  mov	x1, #0
0xfffffff009cf637c: f10309aa  mov	x17, x9
0xfffffff009cf6380: 11a8e6f2  movk	x17, #0x3540, lsl #48
