; Candidate 12313
; ADRP+ADD at VM 0xfffffff009088b3c (fileoff 0x2084b3c): page=0x1fe3d1000 add_imm=0xe24

0xfffffff009088abc: 88865239  ldrb	w8, [x20, #0x4a1]
0xfffffff009088ac0: e90313aa  mov	x9, x19
0xfffffff009088ac4: 8a1efff0  adrp	x10, #0xfffffff00745b000
0xfffffff009088ac8: 4acd3291  add	x10, x10, #0xcb3
0xfffffff009088acc: 8b1effb0  adrp	x11, #0xfffffff007459000
0xfffffff009088ad0: 6b2d3f91  add	x11, x11, #0xfcb
0xfffffff009088ad4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009088ad8: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009088adc: 801efff0  adrp	x0, #0xfffffff00745b000
0xfffffff009088ae0: 00083391  add	x0, x0, #0xcc2
0xfffffff009088ae4: 4f39cb97  bl	#0xfffffff008357020
0xfffffff009088ae8: 805642f9  ldr	x0, [x20, #0x4a8]
0xfffffff009088aec: e10313aa  mov	x1, x19
0xfffffff009088af0: b39eb597  bl	#0xfffffff007df05bc
0xfffffff009088af4: 13008052  mov	w19, #0
0xfffffff009088af8: 05000014  b	#0xfffffff009088b0c
0xfffffff009088afc: e00314aa  mov	x0, x20
0xfffffff009088b00: 39000094  bl	#0xfffffff009088be4
0xfffffff009088b04: f30300aa  mov	x19, x0
0xfffffff009088b08: e0040035  cbnz	w0, #0xfffffff009088ba4
0xfffffff009088b0c: 48018052  mov	w8, #0xa
0xfffffff009088b10: c9024039  ldrb	w9, [x22]
0xfffffff009088b14: 1f01096b  cmp	w8, w9
0xfffffff009088b18: 83010054  b.lo	#0xfffffff009088b48
0xfffffff009088b1c: e80313aa  mov	x8, x19
0xfffffff009088b20: 087d4093  sxtw	x8, w8
0xfffffff009088b24: 891efff0  adrp	x9, #0xfffffff00745b000
0xfffffff009088b28: 29cd3291  add	x9, x9, #0xcb3
0xfffffff009088b2c: 8a1effb0  adrp	x10, #0xfffffff007459000
0xfffffff009088b30: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009088b34: ea2700a9  stp	x10, x9, [sp]
0xfffffff009088b38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009088b3c: 801effb0  adrp	x0, #0xfffffff007459000
0xfffffff009088b40: 00903891  add	x0, x0, #0xe24
0xfffffff009088b44: 3739cb97  bl	#0xfffffff008357020
0xfffffff009088b48: e00313aa  mov	x0, x19
0xfffffff009088b4c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009088b50: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009088b54: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009088b58: ff830191  add	sp, sp, #0x60
0xfffffff009088b5c: ff0f5fd6  retab	
0xfffffff009088b60: f30300aa  mov	x19, x0
0xfffffff009088b64: 687e4093  sxtw	x8, w19
0xfffffff009088b68: 29448152  mov	w9, #0xa21
0xfffffff009088b6c: 8a1effb0  adrp	x10, #0xfffffff007459000
0xfffffff009088b70: 4a493f91  add	x10, x10, #0xfd2
0xfffffff009088b74: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009088b78: 891effb0  adrp	x9, #0xfffffff007459000
0xfffffff009088b7c: 29b92d91  add	x9, x9, #0xb6e
0xfffffff009088b80: 8b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff009088b84: 6b290291  add	x11, x11, #0x8a
0xfffffff009088b88: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009088b8c: eb0300f9  str	x11, [sp]
0xfffffff009088b90: 801effb0  adrp	x0, #0xfffffff007459000
0xfffffff009088b94: 00d42c91  add	x0, x0, #0xb35
0xfffffff009088b98: 2239cb97  bl	#0xfffffff008357020
0xfffffff009088b9c: c8088052  mov	w8, #0x46
0xfffffff009088ba0: dcffff17  b	#0xfffffff009088b10
0xfffffff009088ba4: 687e4093  sxtw	x8, w19
0xfffffff009088ba8: a9448152  mov	w9, #0xa25
0xfffffff009088bac: 8a1effb0  adrp	x10, #0xfffffff007459000
0xfffffff009088bb0: 4a493f91  add	x10, x10, #0xfd2
0xfffffff009088bb4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009088bb8: 891effb0  adrp	x9, #0xfffffff007459000
