; Candidate 4341
; ADRP+ADD at VM 0xfffffff00879f75c (fileoff 0x179b75c): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f6dc: 080e47f8  ldr	x8, [x16, #0x70]!
0xfffffff00879f6e0: e90310aa  mov	x9, x16
0xfffffff00879f6e4: e2230091  add	x2, sp, #8
0xfffffff00879f6e8: e10315aa  mov	x1, x21
0xfffffff00879f6ec: f10309aa  mov	x17, x9
0xfffffff00879f6f0: 71fae8f2  movk	x17, #0x47d3, lsl #48
0xfffffff00879f6f4: 11093fd7  blraa	x8, x17
0xfffffff00879f6f8: e0000036  tbz	w0, #0, #0xfffffff00879f714
0xfffffff00879f6fc: 96560029  stp	w22, w21, [x20]
0xfffffff00879f700: e80740f9  ldr	x8, [sp, #8]
0xfffffff00879f704: 09210091  add	x9, x8, #8
0xfffffff00879f708: 890600f9  str	x9, [x20, #8]
0xfffffff00879f70c: 680200f9  str	x8, [x19]
0xfffffff00879f710: 02000014  b	#0xfffffff00879f718
0xfffffff00879f714: 9f0600f9  str	xzr, [x20, #8]
0xfffffff00879f718: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00879f71c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00879f720: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00879f724: ff030191  add	sp, sp, #0x40
0xfffffff00879f728: ff2303d5  autibsp	
0xfffffff00879f72c: c0035fd6  ret	
0xfffffff00879f730: 7f2303d5  pacibsp	
0xfffffff00879f734: ff8300d1  sub	sp, sp, #0x20
0xfffffff00879f738: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00879f73c: fd430091  add	x29, sp, #0x10
0xfffffff00879f740: 280480b9  ldrsw	x8, [x1, #4]
0xfffffff00879f744: 080c21b9  str	w8, [x0, #0x210c]
0xfffffff00879f748: 1f010171  cmp	w8, #0x40
0xfffffff00879f74c: ab010054  b.lt	#0xfffffff00879f780
0xfffffff00879f750: e94dffd0  adrp	x9, #0xfffffff00715d000
0xfffffff00879f754: 29991c91  add	x9, x9, #0x726
0xfffffff00879f758: e92300a9  stp	x9, x8, [sp]
0xfffffff00879f75c: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f760: 00403691  add	x0, x0, #0xd90
0xfffffff00879f764: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f768: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f76c: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f770: 63a81d91  add	x3, x3, #0x76a
0xfffffff00879f774: 02008052  mov	w2, #0
0xfffffff00879f778: 6e4eee97  bl	#0xfffffff008333130
0xfffffff00879f77c: 13000014  b	#0xfffffff00879f7c8
0xfffffff00879f780: 097450f9  ldr	x9, [x0, #0x20e8]
0xfffffff00879f784: 0ad08452  mov	w10, #0x2680
0xfffffff00879f788: 08250a9b  madd	x8, x8, x10, x9
0xfffffff00879f78c: 080580b9  ldrsw	x8, [x8, #4]
0xfffffff00879f790: 080821b9  str	w8, [x0, #0x2108]
0xfffffff00879f794: 1f410071  cmp	w8, #0x10
0xfffffff00879f798: 0b020054  b.lt	#0xfffffff00879f7d8
0xfffffff00879f79c: e94dffd0  adrp	x9, #0xfffffff00715d000
0xfffffff00879f7a0: 29991c91  add	x9, x9, #0x726
0xfffffff00879f7a4: e92300a9  stp	x9, x8, [sp]
0xfffffff00879f7a8: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f7ac: 00403691  add	x0, x0, #0xd90
0xfffffff00879f7b0: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f7b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f7b8: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f7bc: 63501e91  add	x3, x3, #0x794
0xfffffff00879f7c0: 02008052  mov	w2, #0
0xfffffff00879f7c4: 5b4eee97  bl	#0xfffffff008333130
0xfffffff00879f7c8: 00008012  mov	w0, #-1
0xfffffff00879f7cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00879f7d0: ff830091  add	sp, sp, #0x20
0xfffffff00879f7d4: ff0f5fd6  retab	
0xfffffff00879f7d8: 097050f9  ldr	x9, [x0, #0x20e0]
