; Candidate 14139
; ADRP+ADD at VM 0xfffffff0097208c8 (fileoff 0x271c8c8): page=0x1fde73000 add_imm=0xe2b

0xfffffff009720848: 200900b4  cbz	x0, #0xfffffff00972096c
0xfffffff00972084c: 700240f9  ldr	x16, [x19]
0xfffffff009720850: f10313aa  mov	x17, x19
0xfffffff009720854: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009720858: 301ac1da  autda	x16, x17
0xfffffff00972085c: 116e80d2  mov	x17, #0x370
0xfffffff009720860: 1002118b  add	x16, x16, x17
0xfffffff009720864: 080240f9  ldr	x8, [x16]
0xfffffff009720868: e90310aa  mov	x9, x16
0xfffffff00972086c: e00313aa  mov	x0, x19
0xfffffff009720870: f10309aa  mov	x17, x9
0xfffffff009720874: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff009720878: 11093fd7  blraa	x8, x17
0xfffffff00972087c: 100040f9  ldr	x16, [x0]
0xfffffff009720880: f10300aa  mov	x17, x0
0xfffffff009720884: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009720888: 301ac1da  autda	x16, x17
0xfffffff00972088c: 113d80d2  mov	x17, #0x1e8
0xfffffff009720890: 1002118b  add	x16, x16, x17
0xfffffff009720894: 080240f9  ldr	x8, [x16]
0xfffffff009720898: e90310aa  mov	x9, x16
0xfffffff00972089c: 010080d2  mov	x1, #0
0xfffffff0097208a0: f10309aa  mov	x17, x9
0xfffffff0097208a4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097208a8: 11093fd7  blraa	x8, x17
0xfffffff0097208ac: 32000014  b	#0xfffffff009720974
0xfffffff0097208b0: 60f3feb0  adrp	x0, #0xfffffff00758d000
0xfffffff0097208b4: 007c1f91  add	x0, x0, #0x7df
0xfffffff0097208b8: 68f3fe90  adrp	x8, #0xfffffff00758c000
0xfffffff0097208bc: 081d0291  add	x8, x8, #0x87
0xfffffff0097208c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0097208c4: f50300f9  str	x21, [sp]
0xfffffff0097208c8: 80f3fef0  adrp	x0, #0xfffffff007593000
0xfffffff0097208cc: 00ac3891  add	x0, x0, #0xe2b
0xfffffff0097208d0: d4d9b097  bl	#0xfffffff008357020
0xfffffff0097208d4: 60fa40f9  ldr	x0, [x19, #0x1f0]
0xfffffff0097208d8: 100040f9  ldr	x16, [x0]
0xfffffff0097208dc: f10300aa  mov	x17, x0
0xfffffff0097208e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097208e4: 301ac1da  autda	x16, x17
0xfffffff0097208e8: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0097208ec: e90310aa  mov	x9, x16
0xfffffff0097208f0: f10309aa  mov	x17, x9
0xfffffff0097208f4: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0097208f8: 11093fd7  blraa	x8, x17
0xfffffff0097208fc: 60f240f9  ldr	x0, [x19, #0x1e0]
0xfffffff009720900: 100040f9  ldr	x16, [x0]
0xfffffff009720904: f10300aa  mov	x17, x0
0xfffffff009720908: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00972090c: 301ac1da  autda	x16, x17
0xfffffff009720910: f10310aa  mov	x17, x16
0xfffffff009720914: f147c1da  xpacd	x17
0xfffffff009720918: 1f0211eb  cmp	x16, x17
0xfffffff00972091c: 40000054  b.eq	#0xfffffff009720924
0xfffffff009720920: 408e38d4  brk	#0xc472
0xfffffff009720924: 08e20d91  add	x8, x16, #0x378
0xfffffff009720928: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff00972092c: f10308aa  mov	x17, x8
0xfffffff009720930: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff009720934: 31093fd7  blraa	x9, x17
0xfffffff009720938: 61fa40f9  ldr	x1, [x19, #0x1f0]
0xfffffff00972093c: 100040f9  ldr	x16, [x0]
0xfffffff009720940: f10300aa  mov	x17, x0
0xfffffff009720944: 31b4f9f2  movk	x17, #0xcda1, lsl #48
