; Candidate 722
; ADRP+ADD at VM 0xfffffff00805c188 (fileoff 0x1058188): page=0x1ff91b000 add_imm=0xcf0

0xfffffff00805c108: fd030191  add	x29, sp, #0x40
0xfffffff00805c10c: 880040b9  ldr	w8, [x4]
0xfffffff00805c110: 1fc10971  cmp	w8, #0x270
0xfffffff00805c114: 62000054  b.hs	#0xfffffff00805c120
0xfffffff00805c118: d8028052  mov	w24, #0x16
0xfffffff00805c11c: 4e000014  b	#0xfffffff00805c254
0xfffffff00805c120: f40304aa  mov	x20, x4
0xfffffff00805c124: f50303aa  mov	x21, x3
0xfffffff00805c128: f80302aa  mov	x24, x2
0xfffffff00805c12c: f90301aa  mov	x25, x1
0xfffffff00805c130: f60300aa  mov	x22, x0
0xfffffff00805c134: c0c8fff0  adrp	x0, #0xfffffff007977000
0xfffffff00805c138: 00c03291  add	x0, x0, #0xcb0
0xfffffff00805c13c: 81009052  mov	w1, #0x8004
0xfffffff00805c140: 652bf597  bl	#0xfffffff007da6ed4
0xfffffff00805c144: f30300aa  mov	x19, x0
0xfffffff00805c148: 080080d2  mov	x8, #0
0xfffffff00805c14c: 97d038d5  mrs	x23, tpidr_el1
0xfffffff00805c150: e91a44b9  ldr	w9, [x23, #0x418]
0xfffffff00805c154: ca220091  add	x10, x22, #8
0xfffffff00805c158: 497de8c8  casa	x8, x9, [x10]
0xfffffff00805c15c: 1f0100f1  cmp	x8, #0
0xfffffff00805c160: a1010054  b.ne	#0xfffffff00805c194
0xfffffff00805c164: c8324139  ldrb	w8, [x22, #0x4c]
0xfffffff00805c168: 28020037  tbnz	w8, #0, #0xfffffff00805c1ac
0xfffffff00805c16c: e81a44b9  ldr	w8, [x23, #0x418]
0xfffffff00805c170: c9220091  add	x9, x22, #8
0xfffffff00805c174: e20308aa  mov	x2, x8
0xfffffff00805c178: 3ffda288  casl	w2, wzr, [x9]
0xfffffff00805c17c: 5f00086b  cmp	w2, w8
0xfffffff00805c180: 81070054  b.ne	#0xfffffff00805c270
0xfffffff00805c184: d8008052  mov	w24, #6
0xfffffff00805c188: c0c8fff0  adrp	x0, #0xfffffff007977000
0xfffffff00805c18c: 00c03391  add	x0, x0, #0xcf0
0xfffffff00805c190: 2f000014  b	#0xfffffff00805c24c
0xfffffff00805c194: e00316aa  mov	x0, x22
0xfffffff00805c198: e10317aa  mov	x1, x23
0xfffffff00805c19c: 02008052  mov	w2, #0
0xfffffff00805c1a0: 563ef597  bl	#0xfffffff007dabaf8
0xfffffff00805c1a4: c8324139  ldrb	w8, [x22, #0x4c]
0xfffffff00805c1a8: 28fe0736  tbz	w8, #0, #0xfffffff00805c16c
0xfffffff00805c1ac: c82240b9  ldr	w8, [x22, #0x20]
0xfffffff00805c1b0: 680200b9  str	w8, [x19]
0xfffffff00805c1b4: c82640b9  ldr	w8, [x22, #0x24]
0xfffffff00805c1b8: 680600b9  str	w8, [x19, #4]
0xfffffff00805c1bc: c082c23c  ldur	q0, [x22, #0x28]
0xfffffff00805c1c0: 6006803d  str	q0, [x19, #0x10]
0xfffffff00805c1c4: c082c33c  ldur	q0, [x22, #0x38]
0xfffffff00805c1c8: 600a803d  str	q0, [x19, #0x20]
0xfffffff00805c1cc: c84a40b9  ldr	w8, [x22, #0x48]
0xfffffff00805c1d0: 683200b9  str	w8, [x19, #0x30]
0xfffffff00805c1d4: c83240f9  ldr	x8, [x22, #0x60]
0xfffffff00805c1d8: 680600f9  str	x8, [x19, #8]
0xfffffff00805c1dc: c84a40b9  ldr	w8, [x22, #0x48]
0xfffffff00805c1e0: 1f1d0071  cmp	w8, #7
0xfffffff00805c1e4: 01010054  b.ne	#0xfffffff00805c204
0xfffffff00805c1e8: e00316aa  mov	x0, x22
0xfffffff00805c1ec: e10319aa  mov	x1, x25
0xfffffff00805c1f0: e20318aa  mov	x2, x24
0xfffffff00805c1f4: e30313aa  mov	x3, x19
0xfffffff00805c1f8: 2e1b0094  bl	#0xfffffff008062eb0
0xfffffff00805c1fc: f80300aa  mov	x24, x0
0xfffffff00805c200: 02000014  b	#0xfffffff00805c208
0xfffffff00805c204: 18008052  mov	w24, #0
