; Candidate 12541
; ADRP+ADD at VM 0xfffffff0090b5a80 (fileoff 0x20b1a80): page=0x1fe3a4000 add_imm=0xe24

0xfffffff0090b5a00: 060080d2  mov	x6, #0
0xfffffff0090b5a04: 27008052  mov	w7, #1
0xfffffff0090b5a08: 50000094  bl	#0xfffffff0090b5b48
0xfffffff0090b5a0c: 00080035  cbnz	w0, #0xfffffff0090b5b0c
0xfffffff0090b5a10: 76060639  strb	w22, [x19, #0x181]
0xfffffff0090b5a14: 605e40f9  ldr	x0, [x19, #0xb8]
0xfffffff0090b5a18: 600400b4  cbz	x0, #0xfffffff0090b5aa4
0xfffffff0090b5a1c: 2466ff97  bl	#0xfffffff00908f2ac
0xfffffff0090b5a20: 80050035  cbnz	w0, #0xfffffff0090b5ad0
0xfffffff0090b5a24: a8a24339  ldrb	w8, [x21, #0xe8]
0xfffffff0090b5a28: 1f290071  cmp	w8, #0xa
0xfffffff0090b5a2c: 08030054  b.hi	#0xfffffff0090b5a8c
0xfffffff0090b5a30: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b5a34: e8010034  cbz	w8, #0xfffffff0090b5a70
0xfffffff0090b5a38: 700240f9  ldr	x16, [x19]
0xfffffff0090b5a3c: f10313aa  mov	x17, x19
0xfffffff0090b5a40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b5a44: 301ac1da  autda	x16, x17
0xfffffff0090b5a48: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b5a4c: 1002118b  add	x16, x16, x17
0xfffffff0090b5a50: 080240f9  ldr	x8, [x16]
0xfffffff0090b5a54: e90310aa  mov	x9, x16
0xfffffff0090b5a58: e00313aa  mov	x0, x19
0xfffffff0090b5a5c: 010080d2  mov	x1, #0
0xfffffff0090b5a60: f10309aa  mov	x17, x9
0xfffffff0090b5a64: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b5a68: 11093fd7  blraa	x8, x17
0xfffffff0090b5a6c: 03000014  b	#0xfffffff0090b5a78
0xfffffff0090b5a70: 801dffb0  adrp	x0, #0xfffffff007466000
0xfffffff0090b5a74: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b5a78: f4ff00a9  stp	x20, xzr, [sp, #8]
0xfffffff0090b5a7c: e00300f9  str	x0, [sp]
0xfffffff0090b5a80: 201dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090b5a84: 00903891  add	x0, x0, #0xe24
0xfffffff0090b5a88: 6685ca97  bl	#0xfffffff008357020
0xfffffff0090b5a8c: 00008052  mov	w0, #0
0xfffffff0090b5a90: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090b5a94: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090b5a98: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090b5a9c: ff830191  add	sp, sp, #0x60
0xfffffff0090b5aa0: ff0f5fd6  retab	
0xfffffff0090b5aa4: 08ae8052  mov	w8, #0x570
0xfffffff0090b5aa8: 891dffb0  adrp	x9, #0xfffffff007466000
0xfffffff0090b5aac: 29652e91  add	x9, x9, #0xb99
0xfffffff0090b5ab0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090b5ab4: 281dff90  adrp	x8, #0xfffffff007459000
0xfffffff0090b5ab8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090b5abc: 8a1dffb0  adrp	x10, #0xfffffff007466000
0xfffffff0090b5ac0: 4a9d3d91  add	x10, x10, #0xf67
0xfffffff0090b5ac4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090b5ac8: ea0300f9  str	x10, [sp]
0xfffffff0090b5acc: 0c000014  b	#0xfffffff0090b5afc
0xfffffff0090b5ad0: 087c4093  sxtw	x8, w0
0xfffffff0090b5ad4: 49ae8052  mov	w9, #0x572
0xfffffff0090b5ad8: 8a1dffb0  adrp	x10, #0xfffffff007466000
0xfffffff0090b5adc: 4a652e91  add	x10, x10, #0xb99
0xfffffff0090b5ae0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090b5ae4: 891dffb0  adrp	x9, #0xfffffff007466000
0xfffffff0090b5ae8: 29a93d91  add	x9, x9, #0xf6a
0xfffffff0090b5aec: 2b1dffb0  adrp	x11, #0xfffffff00745a000
0xfffffff0090b5af0: 6b290291  add	x11, x11, #0x8a
0xfffffff0090b5af4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090b5af8: eb0300f9  str	x11, [sp]
0xfffffff0090b5afc: 201dff90  adrp	x0, #0xfffffff007459000
