; Candidate 2404
; ADRP+ADD at VM 0xfffffff008650aec (fileoff 0x164caec): page=0x1ff390000 add_imm=0xd28

0xfffffff008650a6c: 287d081b  mul	w8, w9, w8
0xfffffff008650a70: 1f0d0a6b  cmp	w8, w10, lsl #3
0xfffffff008650a74: 61000054  b.ne	#0xfffffff008650a80
0xfffffff008650a78: 28018052  mov	w8, #9
0xfffffff008650a7c: 280c00b9  str	w8, [x1, #0xc]
0xfffffff008650a80: c0035fd6  ret	
0xfffffff008650a84: 7f2303d5  pacibsp	
0xfffffff008650a88: ff4301d1  sub	sp, sp, #0x50
0xfffffff008650a8c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008650a90: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008650a94: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008650a98: fd030191  add	x29, sp, #0x40
0xfffffff008650a9c: c01200b4  cbz	x0, #0xfffffff008650cf4
0xfffffff008650aa0: f30301aa  mov	x19, x1
0xfffffff008650aa4: 811200b4  cbz	x1, #0xfffffff008650cf4
0xfffffff008650aa8: f40300aa  mov	x20, x0
0xfffffff008650aac: 700240f9  ldr	x16, [x19]
0xfffffff008650ab0: f10313aa  mov	x17, x19
0xfffffff008650ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008650ab8: 301ac1da  autda	x16, x17
0xfffffff008650abc: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008650ac0: e90310aa  mov	x9, x16
0xfffffff008650ac4: e00313aa  mov	x0, x19
0xfffffff008650ac8: f10309aa  mov	x17, x9
0xfffffff008650acc: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008650ad0: 11093fd7  blraa	x8, x17
0xfffffff008650ad4: 400500b4  cbz	x0, #0xfffffff008650b7c
0xfffffff008650ad8: 080040b9  ldr	w8, [x0]
0xfffffff008650adc: 092e8c52  mov	w9, #0x6170
0xfffffff008650ae0: a98cad72  movk	w9, #0x6c65, lsl #16
0xfffffff008650ae4: 1f01096b  cmp	w8, w9
0xfffffff008650ae8: 61100054  b.ne	#0xfffffff008650cf4
0xfffffff008650aec: 809cff90  adrp	x0, #0xfffffff0079e0000
0xfffffff008650af0: 00a03491  add	x0, x0, #0xd28
0xfffffff008650af4: 8016f497  bl	#0xfffffff0083564f4
0xfffffff008650af8: f40300aa  mov	x20, x0
0xfffffff008650afc: 700240f9  ldr	x16, [x19]
0xfffffff008650b00: f10313aa  mov	x17, x19
0xfffffff008650b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008650b08: 301ac1da  autda	x16, x17
0xfffffff008650b0c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008650b10: e90310aa  mov	x9, x16
0xfffffff008650b14: e00313aa  mov	x0, x19
0xfffffff008650b18: f10309aa  mov	x17, x9
0xfffffff008650b1c: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008650b20: 11093fd7  blraa	x8, x17
0xfffffff008650b24: f50300aa  mov	x21, x0
0xfffffff008650b28: 700240f9  ldr	x16, [x19]
0xfffffff008650b2c: f10313aa  mov	x17, x19
0xfffffff008650b30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008650b34: 301ac1da  autda	x16, x17
0xfffffff008650b38: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008650b3c: e90310aa  mov	x9, x16
0xfffffff008650b40: e00313aa  mov	x0, x19
0xfffffff008650b44: f10309aa  mov	x17, x9
0xfffffff008650b48: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008650b4c: 11093fd7  blraa	x8, x17
0xfffffff008650b50: e00314aa  mov	x0, x20
0xfffffff008650b54: e10315aa  mov	x1, x21
0xfffffff008650b58: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008650b5c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008650b60: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008650b64: ff430191  add	sp, sp, #0x50
0xfffffff008650b68: ff2303d5  autibsp	
