; Candidate 8556
; ADRP+ADD at VM 0xfffffff0088b1a7c (fileoff 0x18ada7c): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b19fc: 610a4029  ldp	w1, w2, [x19]
0xfffffff0088b1a00: 030340b9  ldr	w3, [x24]
0xfffffff0088b1a04: 04174429  ldp	w4, w5, [x24, #0x20]
0xfffffff0088b1a08: 061f4629  ldp	w6, w7, [x24, #0x30]
0xfffffff0088b1a0c: 154b41b9  ldr	w21, [x24, #0x148]
0xfffffff0088b1a10: 165341b9  ldr	w22, [x24, #0x150]
0xfffffff0088b1a14: 179b41b9  ldr	w23, [x24, #0x198]
0xfffffff0088b1a18: 1a3b40b9  ldr	w26, [x24, #0x38]
0xfffffff0088b1a1c: 1bc340b9  ldr	w27, [x24, #0xc0]
0xfffffff0088b1a20: 7c2a4fb9  ldr	w28, [x19, #0xf28]
0xfffffff0088b1a24: f0c70ea9  stp	x16, x17, [sp, #0xe8]
0xfffffff0088b1a28: e0838d3c  stur	q0, [sp, #0xd8]
0xfffffff0088b1a2c: eff30ca9  stp	x15, x28, [sp, #0xc8]
0xfffffff0088b1a30: eeef0ba9  stp	x14, x27, [sp, #0xb8]
0xfffffff0088b1a34: edeb0aa9  stp	x13, x26, [sp, #0xa8]
0xfffffff0088b1a38: f7b309a9  stp	x23, x12, [sp, #0x98]
0xfffffff0088b1a3c: eaaf08a9  stp	x10, x11, [sp, #0x88]
0xfffffff0088b1a40: f5db07a9  stp	x21, x22, [sp, #0x78]
0xfffffff0088b1a44: e69f06a9  stp	x6, x7, [sp, #0x68]
0xfffffff0088b1a48: e99705a9  stp	x9, x5, [sp, #0x58]
0xfffffff0088b1a4c: e89304a9  stp	x8, x4, [sp, #0x48]
0xfffffff0088b1a50: e28f03a9  stp	x2, x3, [sp, #0x38]
0xfffffff0088b1a54: f38702a9  stp	x19, x1, [sp, #0x28]
0xfffffff0088b1a58: a8328152  mov	w8, #0x995
0xfffffff0088b1a5c: e81300f9  str	x8, [sp, #0x20]
0xfffffff0088b1a60: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1a64: 08e12091  add	x8, x8, #0x838
0xfffffff0088b1a68: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1a6c: c80f8052  mov	w8, #0x7e
0xfffffff0088b1a70: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b1a74: 63c02f91  add	x3, x3, #0xbf0
0xfffffff0088b1a78: f92300a9  stp	x25, x8, [sp]
0xfffffff0088b1a7c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1a80: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b1a84: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1a88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b1a8c: 02008052  mov	w2, #0
0xfffffff0088b1a90: a805ea97  bl	#0xfffffff008333130
0xfffffff0088b1a94: 19008052  mov	w25, #0
0xfffffff0088b1a98: f50314aa  mov	x21, x20
0xfffffff0088b1a9c: b6d379a9  ldp	x22, x20, [x29, #-0x68]
0xfffffff0088b1aa0: b70359f8  ldur	x23, [x29, #-0x70]
0xfffffff0088b1aa4: 1b000014  b	#0xfffffff0088b1b10
0xfffffff0088b1aa8: c1090094  bl	#0xfffffff0088b41ac
0xfffffff0088b1aac: f90300aa  mov	x25, x0
0xfffffff0088b1ab0: 80008052  mov	w0, #4
0xfffffff0088b1ab4: 6727ff97  bl	#0xfffffff00887b850
0xfffffff0088b1ab8: 680240b9  ldr	w8, [x19]
0xfffffff0088b1abc: 69aa4229  ldp	w9, w10, [x19, #0x14]
0xfffffff0088b1ac0: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088b1ac4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b1ac8: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1acc: 08f92491  add	x8, x8, #0x93e
0xfffffff0088b1ad0: 29238152  mov	w9, #0x919
0xfffffff0088b1ad4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1ad8: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b1adc: 08e12091  add	x8, x8, #0x838
0xfffffff0088b1ae0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1ae4: c80f8052  mov	w8, #0x7e
0xfffffff0088b1ae8: f92300a9  stp	x25, x8, [sp]
0xfffffff0088b1aec: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1af0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b1af4: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1af8: 212c42f9  ldr	x1, [x1, #0x458]
