; Candidate 8354
; ADRP+ADD at VM 0xfffffff0088a5c1c (fileoff 0x18a1c1c): page=0x1fe944000 add_imm=0xe80

0xfffffff0088a5b9c: 4a1540f9  ldr	x10, [x10, #0x28]
0xfffffff0088a5ba0: ab8357f8  ldur	x11, [x29, #-0x88]
0xfffffff0088a5ba4: 4b0000b4  cbz	x11, #0xfffffff0088a5bac
0xfffffff0088a5ba8: 6b1540f9  ldr	x11, [x11, #0x28]
0xfffffff0088a5bac: ac8358f8  ldur	x12, [x29, #-0x78]
0xfffffff0088a5bb0: 4c0000b4  cbz	x12, #0xfffffff0088a5bb8
0xfffffff0088a5bb4: 8c1540f9  ldr	x12, [x12, #0x28]
0xfffffff0088a5bb8: ad0359f8  ldur	x13, [x29, #-0x70]
0xfffffff0088a5bbc: 6d0800b4  cbz	x13, #0xfffffff0088a5cc8
0xfffffff0088a5bc0: af1540f9  ldr	x15, [x13, #0x28]
0xfffffff0088a5bc4: 42000014  b	#0xfffffff0088a5ccc
0xfffffff0088a5bc8: 79390094  bl	#0xfffffff0088b41ac
0xfffffff0088a5bcc: f40300aa  mov	x20, x0
0xfffffff0088a5bd0: c0008052  mov	w0, #6
0xfffffff0088a5bd4: 1f57ff97  bl	#0xfffffff00887b850
0xfffffff0088a5bd8: e80313aa  mov	x8, x19
0xfffffff0088a5bdc: 290340b9  ldr	w9, [x25]
0xfffffff0088a5be0: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088a5be4: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff0088a5be8: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088a5bec: e8688052  mov	w8, #0x347
0xfffffff0088a5bf0: e94bffb0  adrp	x9, #0xfffffff007222000
0xfffffff0088a5bf4: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a5bf8: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff0088a5bfc: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a5c00: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a5c04: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a5c08: 680f8052  mov	w8, #0x7b
0xfffffff0088a5c0c: e34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a5c10: 63a81591  add	x3, x3, #0x56a
0xfffffff0088a5c14: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a5c18: f40300f9  str	x20, [sp]
0xfffffff0088a5c1c: 204aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a5c20: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a5c24: 018bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a5c28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a5c2c: 02008052  mov	w2, #0
0xfffffff0088a5c30: 4035ea97  bl	#0xfffffff008333130
0xfffffff0088a5c34: 7b7d8012  mov	w27, #-0x3ec
0xfffffff0088a5c38: 20ffff17  b	#0xfffffff0088a58b8
0xfffffff0088a5c3c: 0f0080d2  mov	x15, #0
0xfffffff0088a5c40: 2d0340b9  ldr	w13, [x25]
0xfffffff0088a5c44: ae8353f8  ldur	x14, [x29, #-0xc8]
0xfffffff0088a5c48: ce1140f9  ldr	x14, [x14, #0x20]
0xfffffff0088a5c4c: b08359f8  ldur	x16, [x29, #-0x68]
0xfffffff0088a5c50: 500000b4  cbz	x16, #0xfffffff0088a5c58
0xfffffff0088a5c54: 101640f9  ldr	x16, [x16, #0x28]
0xfffffff0088a5c58: efc30aa9  stp	x15, x16, [sp, #0xa8]
0xfffffff0088a5c5c: ec5300f9  str	x12, [sp, #0xa0]
0xfffffff0088a5c60: 6c008052  mov	w12, #3
0xfffffff0088a5c64: ec4f00f9  str	x12, [sp, #0x98]
0xfffffff0088a5c68: ac0354f8  ldur	x12, [x29, #-0xc0]
0xfffffff0088a5c6c: ebb308a9  stp	x11, x12, [sp, #0x88]
0xfffffff0088a5c70: e9ab07a9  stp	x9, x10, [sp, #0x78]
0xfffffff0088a5c74: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0088a5c78: 88008052  mov	w8, #4
0xfffffff0088a5c7c: fa2306a9  stp	x26, x8, [sp, #0x60]
0xfffffff0088a5c80: ee2f00f9  str	x14, [sp, #0x58]
0xfffffff0088a5c84: a88354f8  ldur	x8, [x29, #-0xb8]
0xfffffff0088a5c88: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088a5c8c: edcf03a9  stp	x13, x19, [sp, #0x38]
0xfffffff0088a5c90: e86e8052  mov	w8, #0x377
0xfffffff0088a5c94: e94bffb0  adrp	x9, #0xfffffff007222000
0xfffffff0088a5c98: 293d3191  add	x9, x9, #0xc4f
