; Candidate 16442
; ADRP+ADD at VM 0xfffffff009eab38c (fileoff 0x2ea738c): page=0x1fd98d000 add_imm=0xdf1

0xfffffff009eab30c: 80000054  b.eq	#0xfffffff009eab31c
0xfffffff009eab310: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eab314: 6002088b  add	x0, x19, x8
0xfffffff009eab318: fc097c97  bl	#0xfffffff007dadb08
0xfffffff009eab31c: e1030191  add	x1, sp, #0x40
0xfffffff009eab320: e00313aa  mov	x0, x19
0xfffffff009eab324: 020080d2  mov	x2, #0
0xfffffff009eab328: 03008052  mov	w3, #0
0xfffffff009eab32c: 040080d2  mov	x4, #0
0xfffffff009eab330: eb2f0194  bl	#0xfffffff009ef72dc
0xfffffff009eab334: 60030034  cbz	w0, #0xfffffff009eab3a0
0xfffffff009eab338: f60300aa  mov	x22, x0
0xfffffff009eab33c: e80300aa  mov	x8, x0
0xfffffff009eab340: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009eab344: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab348: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab34c: 093d8d52  mov	w9, #0x69e8
0xfffffff009eab350: e82700a9  stp	x8, x9, [sp]
0xfffffff009eab354: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab358: 00643891  add	x0, x0, #0xe19
0xfffffff009eab35c: 41307c97  bl	#0xfffffff007db7460
0xfffffff009eab360: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009eab364: 1f0114eb  cmp	x8, x20
0xfffffff009eab368: 00070054  b.eq	#0xfffffff009eab448
0xfffffff009eab36c: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eab370: 6002088b  add	x0, x19, x8
0xfffffff009eab374: 0d0d7c97  bl	#0xfffffff007dae7a8
0xfffffff009eab378: 34000014  b	#0xfffffff009eab448
0xfffffff009eab37c: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab380: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab384: e93b8d52  mov	w9, #0x69df
0xfffffff009eab388: e82700a9  stp	x8, x9, [sp]
0xfffffff009eab38c: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab390: 00c43791  add	x0, x0, #0xdf1
0xfffffff009eab394: 33307c97  bl	#0xfffffff007db7460
0xfffffff009eab398: 96018052  mov	w22, #0xc
0xfffffff009eab39c: 34000014  b	#0xfffffff009eab46c
0xfffffff009eab3a0: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009eab3a4: 1f0114eb  cmp	x8, x20
0xfffffff009eab3a8: 80000054  b.eq	#0xfffffff009eab3b8
0xfffffff009eab3ac: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eab3b0: 6002088b  add	x0, x19, x8
0xfffffff009eab3b4: fd0c7c97  bl	#0xfffffff007dae7a8
0xfffffff009eab3b8: e0e30091  add	x0, sp, #0x38
0xfffffff009eab3bc: 1efaff97  bl	#0xfffffff009ea9c34
0xfffffff009eab3c0: 60010034  cbz	w0, #0xfffffff009eab3ec
0xfffffff009eab3c4: f60300aa  mov	x22, x0
0xfffffff009eab3c8: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab3cc: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab3d0: 293e8d52  mov	w9, #0x69f1
0xfffffff009eab3d4: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eab3d8: e80300f9  str	x8, [sp]
0xfffffff009eab3dc: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab3e0: 00f03891  add	x0, x0, #0xe3c
0xfffffff009eab3e4: 1f307c97  bl	#0xfffffff007db7460
0xfffffff009eab3e8: 13000014  b	#0xfffffff009eab434
0xfffffff009eab3ec: 689640f9  ldr	x8, [x19, #0x128]
0xfffffff009eab3f0: 61ba41f9  ldr	x1, [x19, #0x370]
0xfffffff009eab3f4: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff009eab3f8: e2c30091  add	x2, sp, #0x30
0xfffffff009eab3fc: f0e8ff97  bl	#0xfffffff009ea57bc
0xfffffff009eab400: 20070034  cbz	w0, #0xfffffff009eab4e4
0xfffffff009eab404: f60300aa  mov	x22, x0
0xfffffff009eab408: 68ccfeb0  adrp	x8, #0xfffffff007838000
