; Candidate 13251
; ADRP+ADD at VM 0xfffffff00924574c (fileoff 0x224174c): page=0x1fe274000 add_imm=0xd62

0xfffffff0092456cc: fc6b06a9  stp	x28, x26, [sp, #0x60]
0xfffffff0092456d0: fb5f05a9  stp	x27, x23, [sp, #0x50]
0xfffffff0092456d4: a90359f8  ldur	x9, [x29, #-0x70]
0xfffffff0092456d8: e02704a9  stp	x0, x9, [sp, #0x40]
0xfffffff0092456dc: f61f00f9  str	x22, [sp, #0x38]
0xfffffff0092456e0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0092456e4: f9a702a9  stp	x25, x9, [sp, #0x28]
0xfffffff0092456e8: f81300f9  str	x24, [sp, #0x20]
0xfffffff0092456ec: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0092456f0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0092456f4: a013ff90  adrp	x0, #0xfffffff0074b9000
0xfffffff0092456f8: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff0092456fc: f44f00a9  stp	x20, x19, [sp]
0xfffffff009245700: 833bc997  bl	#0xfffffff00849450c
0xfffffff009245704: 7f2303d5  pacibsp	
0xfffffff009245708: ff8301d1  sub	sp, sp, #0x60
0xfffffff00924570c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009245710: fd430191  add	x29, sp, #0x50
0xfffffff009245714: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff009245718: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff00924571c: 08114cb9  ldr	w8, [x8, #0xc10]
0xfffffff009245720: 093d0c53  ubfx	w9, w8, #0xc, #4
0xfffffff009245724: 0a2d0853  ubfx	w10, w8, #8, #4
0xfffffff009245728: 0b1d0012  and	w11, w8, #0xff
0xfffffff00924572c: 4c0040b9  ldr	w12, [x2]
0xfffffff009245730: 6d4d8052  mov	w13, #0x26b
0xfffffff009245734: ae13ff90  adrp	x14, #0xfffffff0074b9000
0xfffffff009245738: ceb51a91  add	x14, x14, #0x6ad
0xfffffff00924573c: eeb703a9  stp	x14, x13, [sp, #0x38]
0xfffffff009245740: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009245744: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009245748: e4b300a9  stp	x4, x12, [sp, #8]
0xfffffff00924574c: a013ff90  adrp	x0, #0xfffffff0074b9000
0xfffffff009245750: 00883591  add	x0, x0, #0xd62
0xfffffff009245754: e10300f9  str	x1, [sp]
0xfffffff009245758: 6d3bc997  bl	#0xfffffff00849450c
0xfffffff00924575c: 7f2303d5  pacibsp	
0xfffffff009245760: ffc303d1  sub	sp, sp, #0xf0
0xfffffff009245764: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff009245768: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00924576c: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff009245770: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff009245774: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff009245778: fd830391  add	x29, sp, #0xe0
0xfffffff00924577c: f30304aa  mov	x19, x4
0xfffffff009245780: f60303aa  mov	x22, x3
0xfffffff009245784: f50302aa  mov	x21, x2
0xfffffff009245788: f40301aa  mov	x20, x1
0xfffffff00924578c: f70300aa  mov	x23, x0
0xfffffff009245790: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff009245794: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff009245798: 19094cb9  ldr	w25, [x8, #0xc08]
0xfffffff00924579c: 180d4cb9  ldr	w24, [x8, #0xc0c]
0xfffffff0092457a0: fa03012a  mov	w26, w1
0xfffffff0092457a4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0092457a8: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff0092457ac: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff0092457b0: 68808052  mov	w8, #0x403
0xfffffff0092457b4: e8a30079  strh	w8, [sp, #0x50]
0xfffffff0092457b8: 480040b9  ldr	w8, [x2]
0xfffffff0092457bc: e8eb05a9  stp	x8, x26, [sp, #0x58]
0xfffffff0092457c0: f8e706a9  stp	x24, x25, [sp, #0x68]
0xfffffff0092457c4: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff0092457c8: e0430191  add	x0, sp, #0x50
