; Candidate 13490
; ADRP+ADD at VM 0xfffffff00933e8a8 (fileoff 0x233a8a8): page=0x1fe87f000 add_imm=0xd58

0xfffffff00933e828: 10e21f91  add	x16, x16, #0x7f8
0xfffffff00933e82c: 10420091  add	x16, x16, #0x10
0xfffffff00933e830: f10300aa  mov	x17, x0
0xfffffff00933e834: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933e838: 300ac1da  pacda	x16, x17
0xfffffff00933e83c: 100000f9  str	x16, [x0]
0xfffffff00933e840: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933e844: ff0f5fd6  retab	
0xfffffff00933e848: 5f2403d5  bti	c
0xfffffff00933e84c: acc9be17  b	#0xfffffff0082f0efc
0xfffffff00933e850: 5f2403d5  bti	c
0xfffffff00933e854: aac9be17  b	#0xfffffff0082f0efc
0xfffffff00933e858: 7f2303d5  pacibsp	
0xfffffff00933e85c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933e860: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933e864: fd430091  add	x29, sp, #0x10
0xfffffff00933e868: f30300aa  mov	x19, x0
0xfffffff00933e86c: a4c9be97  bl	#0xfffffff0082f0efc
0xfffffff00933e870: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933e874: 00603591  add	x0, x0, #0xd58
0xfffffff00933e878: e10313aa  mov	x1, x19
0xfffffff00933e87c: 02058052  mov	w2, #0x28
0xfffffff00933e880: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00933e884: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00933e888: ff2303d5  autibsp	
0xfffffff00933e88c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00933e890: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00933e898
0xfffffff00933e894: 208e38d4  brk	#0xc471
0xfffffff00933e898: 81a3be17  b	#0xfffffff0082e769c
0xfffffff00933e89c: 5f2403d5  bti	c
0xfffffff00933e8a0: e20301aa  mov	x2, x1
0xfffffff00933e8a4: e10300aa  mov	x1, x0
0xfffffff00933e8a8: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933e8ac: 00603591  add	x0, x0, #0xd58
0xfffffff00933e8b0: 7ba3be17  b	#0xfffffff0082e769c
0xfffffff00933e8b4: 5f2403d5  bti	c
0xfffffff00933e8b8: 008200b0  adrp	x0, #0xfffffff00a37f000
0xfffffff00933e8bc: 00a01c91  add	x0, x0, #0x728
0xfffffff00933e8c0: c0035fd6  ret	
0xfffffff00933e8c4: 7f2303d5  pacibsp	
0xfffffff00933e8c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00933e8cc: fd030091  mov	x29, sp
0xfffffff00933e8d0: c10dffd0  adrp	x1, #0xfffffff0074f8000
0xfffffff00933e8d4: 21a00991  add	x1, x1, #0x268
0xfffffff00933e8d8: 028200b0  adrp	x2, #0xfffffff00a37f000
0xfffffff00933e8dc: 42801991  add	x2, x2, #0x660
0xfffffff00933e8e0: 03058052  mov	w3, #0x28
0xfffffff00933e8e4: 9594be97  bl	#0xfffffff0082e3b38
0xfffffff00933e8e8: d043ffb0  adrp	x16, #0xfffffff007bb7000
0xfffffff00933e8ec: 10a22591  add	x16, x16, #0x968
0xfffffff00933e8f0: 10420091  add	x16, x16, #0x10
0xfffffff00933e8f4: f10300aa  mov	x17, x0
0xfffffff00933e8f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933e8fc: 300ac1da  pacda	x16, x17
0xfffffff00933e900: 100000f9  str	x16, [x0]
0xfffffff00933e904: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933e908: ff0f5fd6  retab	
0xfffffff00933e90c: 7f2303d5  pacibsp	
0xfffffff00933e910: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933e914: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933e918: fd430091  add	x29, sp, #0x10
0xfffffff00933e91c: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933e920: 00603591  add	x0, x0, #0xd58
0xfffffff00933e924: 01058052  mov	w1, #0x28
