; Candidate 12331
; ADRP+ADD at VM 0xfffffff00908a7a4 (fileoff 0x20867a4): page=0x1fe3cf000 add_imm=0xe24

0xfffffff00908a724: 971effd0  adrp	x23, #0xfffffff00745c000
0xfffffff00908a728: f7823691  add	x23, x23, #0xda0
0xfffffff00908a72c: 781efff0  adrp	x24, #0xfffffff007459000
0xfffffff00908a730: 182f3f91  add	x24, x24, #0xfcb
0xfffffff00908a734: 1f790071  cmp	w8, #0x1e
0xfffffff00908a738: e8000054  b.hi	#0xfffffff00908a754
0xfffffff00908a73c: 2b0eb997  bl	#0xfffffff007ecdfe8
0xfffffff00908a740: f60301a9  stp	x22, x0, [sp, #0x10]
0xfffffff00908a744: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908a748: 801effd0  adrp	x0, #0xfffffff00745c000
0xfffffff00908a74c: 00e43591  add	x0, x0, #0xd79
0xfffffff00908a750: 3432cb97  bl	#0xfffffff008357020
0xfffffff00908a754: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00908a758: dd84b497  bl	#0xfffffff007dabacc
0xfffffff00908a75c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff00908a760: 09050091  add	x9, x8, #1
0xfffffff00908a764: 3f0101f1  cmp	x9, #0x40
0xfffffff00908a768: 42030054  b.hs	#0xfffffff00908a7d0
0xfffffff00908a76c: 14008052  mov	w20, #0
0xfffffff00908a770: ea0313aa  mov	x10, x19
0xfffffff00908a774: 490d06f8  str	x9, [x10, #0x60]!
0xfffffff00908a778: 4811088b  add	x8, x10, x8, lsl #4
0xfffffff00908a77c: 16d500a9  stp	x22, x21, [x8, #8]
0xfffffff00908a780: 55018052  mov	w21, #0xa
0xfffffff00908a784: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00908a788: ed87b497  bl	#0xfffffff007dac73c
0xfffffff00908a78c: 28034039  ldrb	w8, [x25]
0xfffffff00908a790: bf02086b  cmp	w21, w8
0xfffffff00908a794: e3000054  b.lo	#0xfffffff00908a7b0
0xfffffff00908a798: 887e4093  sxtw	x8, w20
0xfffffff00908a79c: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908a7a0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908a7a4: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908a7a8: 00903891  add	x0, x0, #0xe24
0xfffffff00908a7ac: 1d32cb97  bl	#0xfffffff008357020
0xfffffff00908a7b0: e00314aa  mov	x0, x20
0xfffffff00908a7b4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00908a7b8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00908a7bc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00908a7c0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00908a7c4: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00908a7c8: ff030291  add	sp, sp, #0x80
0xfffffff00908a7cc: ff0f5fd6  retab	
0xfffffff00908a7d0: 88d38152  mov	w8, #0xe9c
0xfffffff00908a7d4: 691efff0  adrp	x9, #0xfffffff007459000
0xfffffff00908a7d8: 29493f91  add	x9, x9, #0xfd2
0xfffffff00908a7dc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908a7e0: 681efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908a7e4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908a7e8: 8a1effd0  adrp	x10, #0xfffffff00745c000
0xfffffff00908a7ec: 4ab93691  add	x10, x10, #0xdae
0xfffffff00908a7f0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908a7f4: ea0300f9  str	x10, [sp]
0xfffffff00908a7f8: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908a7fc: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908a800: 0832cb97  bl	#0xfffffff008357020
0xfffffff00908a804: 74028012  mov	w20, #-0x14
0xfffffff00908a808: d5088052  mov	w21, #0x46
0xfffffff00908a80c: deffff17  b	#0xfffffff00908a784
0xfffffff00908a810: 7f2303d5  pacibsp	
0xfffffff00908a814: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00908a818: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff00908a81c: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00908a820: f65708a9  stp	x22, x21, [sp, #0x80]
