; Candidate 9790
; ADRP+ADD at VM 0xfffffff008b3ef74 (fileoff 0x1b3af74): page=0x1fe7b1000 add_imm=0xd82

0xfffffff008b3eef4: 483dffd0  adrp	x8, #0xfffffff0072e8000
0xfffffff008b3eef8: 08413491  add	x8, x8, #0xd10
0xfffffff008b3eefc: 14d969f8  ldr	x20, [x8, w9, sxtw #3]
0xfffffff008b3ef00: 68da40f9  ldr	x8, [x19, #0x1b0]
0xfffffff008b3ef04: 0b6974b8  ldr	w11, [x8, x20]
0xfffffff008b3ef08: 6c008252  mov	w12, #0x1003
0xfffffff008b3ef0c: 4c80a072  movk	w12, #0x402, lsl #16
0xfffffff008b3ef10: 9f054b6b  cmp	w12, w11, lsr #1
0xfffffff008b3ef14: e0080054  b.eq	#0xfffffff008b3f030
0xfffffff008b3ef18: cb008452  mov	w11, #0x2006
0xfffffff008b3ef1c: 8b00a172  movk	w11, #0x804, lsl #16
0xfffffff008b3ef20: 0b692ab8  str	w11, [x8, x10]
0xfffffff008b3ef24: 6a6e54b9  ldr	w10, [x19, #0x146c]
0xfffffff008b3ef28: 5f090071  cmp	w10, #2
0xfffffff008b3ef2c: 20030054  b.eq	#0xfffffff008b3ef90
0xfffffff008b3ef30: 5f050071  cmp	w10, #1
0xfffffff008b3ef34: 20030054  b.eq	#0xfffffff008b3ef98
0xfffffff008b3ef38: ea030035  cbnz	w10, #0xfffffff008b3efb4
0xfffffff008b3ef3c: 2a008052  mov	w10, #1
0xfffffff008b3ef40: 17000014  b	#0xfffffff008b3ef9c
0xfffffff008b3ef44: 93578052  mov	w19, #0x2bc
0xfffffff008b3ef48: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b3ef4c: 893dffb0  adrp	x9, #0xfffffff0072ef000
0xfffffff008b3ef50: 29a93691  add	x9, x9, #0xdaa
0xfffffff008b3ef54: e92300a9  stp	x9, x8, [sp]
0xfffffff008b3ef58: 603dffd0  adrp	x0, #0xfffffff0072ec000
0xfffffff008b3ef5c: 001c0991  add	x0, x0, #0x247
0xfffffff008b3ef60: 40e1c997  bl	#0xfffffff007db7460
0xfffffff008b3ef64: 34000014  b	#0xfffffff008b3f034
0xfffffff008b3ef68: 883dffb0  adrp	x8, #0xfffffff0072ef000
0xfffffff008b3ef6c: 08a93691  add	x8, x8, #0xdaa
0xfffffff008b3ef70: e80300f9  str	x8, [sp]
0xfffffff008b3ef74: 803dffb0  adrp	x0, #0xfffffff0072ef000
0xfffffff008b3ef78: 00083691  add	x0, x0, #0xd82
0xfffffff008b3ef7c: 39e1c997  bl	#0xfffffff007db7460
0xfffffff008b3ef80: 88578052  mov	w8, #0x2bc
0xfffffff008b3ef84: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008b3ef88: 139d0011  add	w19, w8, #0x27
0xfffffff008b3ef8c: 2a000014  b	#0xfffffff008b3f034
0xfffffff008b3ef90: 8a008052  mov	w10, #4
0xfffffff008b3ef94: 02000014  b	#0xfffffff008b3ef9c
0xfffffff008b3ef98: 4a008052  mov	w10, #2
0xfffffff008b3ef9c: 3f0d0071  cmp	w9, #3
0xfffffff008b3efa0: 02010054  b.hs	#0xfffffff008b3efc0
0xfffffff008b3efa4: 4b3dffd0  adrp	x11, #0xfffffff0072e8000
0xfffffff008b3efa8: 6b213391  add	x11, x11, #0xcc8
0xfffffff008b3efac: 69d969f8  ldr	x9, [x11, w9, sxtw #3]
0xfffffff008b3efb0: 05000014  b	#0xfffffff008b3efc4
0xfffffff008b3efb4: 0a018052  mov	w10, #8
0xfffffff008b3efb8: 3f090071  cmp	w9, #2
0xfffffff008b3efbc: 49ffff54  b.ls	#0xfffffff008b3efa4
0xfffffff008b3efc0: 090080d2  mov	x9, #0
0xfffffff008b3efc4: 15ff9b52  mov	w21, #0xdff8
0xfffffff008b3efc8: 75ffbe72  movk	w21, #0xf7fb, lsl #16
0xfffffff008b3efcc: 0a6929b8  str	w10, [x8, x9]
0xfffffff008b3efd0: 086974b8  ldr	w8, [x8, x20]
0xfffffff008b3efd4: 0801150b  add	w8, w8, w21
0xfffffff008b3efd8: 1f0d0031  cmn	w8, #3
0xfffffff008b3efdc: a8020054  b.hi	#0xfffffff008b3f030
0xfffffff008b3efe0: 40018052  mov	w0, #0xa
0xfffffff008b3efe4: 0160e097  bl	#0xfffffff008356fe8
0xfffffff008b3efe8: f67c8052  mov	w22, #0x3e7
0xfffffff008b3efec: 68da40f9  ldr	x8, [x19, #0x1b0]
0xfffffff008b3eff0: 176974b8  ldr	w23, [x8, x20]
