; Candidate 2858
; ADRP+ADD at VM 0xfffffff0086ef198 (fileoff 0x16eb198): page=0x1fea42000 add_imm=0xd90

0xfffffff0086ef118: 4a050011  add	w10, w10, #1
0xfffffff0086ef11c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff0086ef120: 4b1d0011  add	w11, w10, #7
0xfffffff0086ef124: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff0086ef128: 3f050071  cmp	w9, #1
0xfffffff0086ef12c: 49018b1a  csel	w9, w10, w11, eq
0xfffffff0086ef130: 3f210071  cmp	w9, #8
0xfffffff0086ef134: 88020054  b.hi	#0xfffffff0086ef184
0xfffffff0086ef138: e80300aa  mov	x8, x0
0xfffffff0086ef13c: f00309aa  mov	x16, x9
0xfffffff0086ef140: 1f2200f1  cmp	x16, #8
0xfffffff0086ef144: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0086ef148: 11000090  adrp	x17, #0xfffffff0086ef000
0xfffffff0086ef14c: 31620a91  add	x17, x17, #0x298
0xfffffff0086ef150: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0086ef154: 11000010  adr	x17, #0xfffffff0086ef154
0xfffffff0086ef158: 3002108b  add	x16, x17, x16
0xfffffff0086ef15c: 00021fd6  br	x16
0xfffffff0086ef160: 9f2403d5  bti	j
0xfffffff0086ef164: 00008052  mov	w0, #0
0xfffffff0086ef168: 29fc0011  add	w9, w1, #0x3f
0xfffffff0086ef16c: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086ef170: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff0086ef174: 29781f53  lsl	w9, w1, #1
0xfffffff0086ef178: 41000014  b	#0xfffffff0086ef27c
0xfffffff0086ef17c: 00008052  mov	w0, #0
0xfffffff0086ef180: 43000014  b	#0xfffffff0086ef28c
0xfffffff0086ef184: 9f2403d5  bti	j
0xfffffff0086ef188: 28210011  add	w8, w9, #8
0xfffffff0086ef18c: 0953ff90  adrp	x9, #0xfffffff00714f000
0xfffffff0086ef190: 29351b91  add	x9, x9, #0x6cd
0xfffffff0086ef194: e92300a9  stp	x9, x8, [sp]
0xfffffff0086ef198: 0052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086ef19c: 00403691  add	x0, x0, #0xd90
0xfffffff0086ef1a0: 6198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ef1a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ef1a8: 2352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086ef1ac: 63881091  add	x3, x3, #0x422
0xfffffff0086ef1b0: 02008052  mov	w2, #0
0xfffffff0086ef1b4: df0ff197  bl	#0xfffffff008333130
0xfffffff0086ef1b8: 00008012  mov	w0, #-1
0xfffffff0086ef1bc: 34000014  b	#0xfffffff0086ef28c
0xfffffff0086ef1c0: 9f2403d5  bti	j
0xfffffff0086ef1c4: 00008052  mov	w0, #0
0xfffffff0086ef1c8: 29080011  add	w9, w1, #2
0xfffffff0086ef1cc: 6a559552  mov	w10, #0xaaab
0xfffffff0086ef1d0: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff0086ef1d4: 297daa9b  umull	x9, w9, w10
0xfffffff0086ef1d8: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086ef1dc: 29791f53  lsl	w9, w9, #1
0xfffffff0086ef1e0: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0086ef1e4: 29fd0011  add	w9, w9, #0x3f
0xfffffff0086ef1e8: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0086ef1ec: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff0086ef1f0: 29781f53  lsl	w9, w1, #1
0xfffffff0086ef1f4: 2909c41a  udiv	w9, w9, w4
0xfffffff0086ef1f8: 29150011  add	w9, w9, #5
0xfffffff0086ef1fc: 297daa9b  umull	x9, w9, w10
0xfffffff0086ef200: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0086ef204: 29791f53  lsl	w9, w9, #1
0xfffffff0086ef208: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff0086ef20c: 1d000014  b	#0xfffffff0086ef280
0xfffffff0086ef210: 9f2403d5  bti	j
0xfffffff0086ef214: 00008052  mov	w0, #0
