; Candidate 3981
; ADRP+ADD at VM 0xfffffff00877e26c (fileoff 0x177a26c): page=0x1fe9b3000 add_imm=0xd90

0xfffffff00877e1ec: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00877e1f0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00877e1f4: fdc30091  add	x29, sp, #0x30
0xfffffff00877e1f8: 080080d2  mov	x8, #0
0xfffffff00877e1fc: 15008052  mov	w21, #0
0xfffffff00877e200: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff00877e204: 0a0c8052  mov	w10, #0x60
0xfffffff00877e208: 29010a9b  madd	x9, x9, x10, x0
0xfffffff00877e20c: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff00877e210: 0b118052  mov	w11, #0x88
0xfffffff00877e214: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff00877e218: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff00877e21c: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff00877e220: 14008012  mov	w20, #-1
0xfffffff00877e224: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff00877e228: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff00877e22c: 9f060031  cmn	w20, #1
0xfffffff00877e230: 0b01941a  csel	w11, w8, w20, eq
0xfffffff00877e234: 5f010071  cmp	w10, #0
0xfffffff00877e238: b506951a  cinc	w21, w21, ne
0xfffffff00877e23c: 94028b1a  csel	w20, w20, w11, eq
0xfffffff00877e240: 08050091  add	x8, x8, #1
0xfffffff00877e244: 1f1100f1  cmp	x8, #4
0xfffffff00877e248: e1feff54  b.ne	#0xfffffff00877e224
0xfffffff00877e24c: 36150012  and	w22, w9, #0x3f
0xfffffff00877e250: bf020071  cmp	w21, #0
0xfffffff00877e254: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff00877e258: a1010054  b.ne	#0xfffffff00877e28c
0xfffffff00877e25c: 88128052  mov	w8, #0x94
0xfffffff00877e260: a94efff0  adrp	x9, #0xfffffff007155000
0xfffffff00877e264: 29f12991  add	x9, x9, #0xa7c
0xfffffff00877e268: e92300a9  stp	x9, x8, [sp]
0xfffffff00877e26c: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e270: 00403691  add	x0, x0, #0xd90
0xfffffff00877e274: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e278: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e27c: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e280: 63683c91  add	x3, x3, #0xf1a
0xfffffff00877e284: 02008052  mov	w2, #0
0xfffffff00877e288: aad3ee97  bl	#0xfffffff008333130
0xfffffff00877e28c: 891f8e52  mov	w9, #0x70fc
0xfffffff00877e290: 4900a072  movk	w9, #2, lsl #16
0xfffffff00877e294: 88118352  mov	w8, #0x188c
0xfffffff00877e298: ca7e081b  mul	w10, w22, w8
0xfffffff00877e29c: 4801090b  add	w8, w10, w9
0xfffffff00877e2a0: 0b3d1e12  and	w11, w8, #0x3fffc
0xfffffff00877e2a4: 2c008052  mov	w12, #1
0xfffffff00877e2a8: 0c6ea072  movk	w12, #0x370, lsl #16
0xfffffff00877e2ac: 6b010c2a  orr	w11, w11, w12
0xfffffff00877e2b0: 6b0200b9  str	w11, [x19]
0xfffffff00877e2b4: ab888052  mov	w11, #0x445
0xfffffff00877e2b8: eb7ba072  movk	w11, #0x3df, lsl #16
0xfffffff00877e2bc: 6b7a03b9  str	w11, [x19, #0x378]
0xfffffff00877e2c0: 6b5e07b9  str	w11, [x19, #0x75c]
0xfffffff00877e2c4: 08e10d11  add	w8, w8, #0x378
0xfffffff00877e2c8: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff00877e2cc: 2b008052  mov	w11, #1
0xfffffff00877e2d0: 0b2da072  movk	w11, #0x168, lsl #16
0xfffffff00877e2d4: 08010b2a  orr	w8, w8, w11
0xfffffff00877e2d8: 68d60bb9  str	w8, [x19, #0xbd4]
0xfffffff00877e2dc: 6b364079  ldrh	w11, [x19, #0x1a]
0xfffffff00877e2e0: 7f0900f1  cmp	x11, #2
0xfffffff00877e2e4: 03010054  b.lo	#0xfffffff00877e304
0xfffffff00877e2e8: 6c123591  add	x12, x19, #0xd44
