; Candidate 1573
; ADRP+ADD at VM 0xfffffff00849d720 (fileoff 0x1499720): page=0x1d23000 add_imm=0xd60

0xfffffff00849d6a0: 3f0100f1  cmp	x9, #0
0xfffffff00849d6a4: 29118a9a  csel	x9, x9, x10, ne
0xfffffff00849d6a8: 280108cb  sub	x8, x9, x8
0xfffffff00849d6ac: c9e900d0  adrp	x9, #0xfffffff00a1d7000
0xfffffff00849d6b0: 280d04f9  str	x8, [x9, #0x818]
0xfffffff00849d6b4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00849d6b8: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff00849d6bc: 815dffd0  adrp	x1, #0xfffffff00704f000
0xfffffff00849d6c0: 217c0a91  add	x1, x1, #0x29f
0xfffffff00849d6c4: e0830091  add	x0, sp, #0x20
0xfffffff00849d6c8: 02048052  mov	w2, #0x20
0xfffffff00849d6cc: 03048052  mov	w3, #0x20
0xfffffff00849d6d0: 040ae897  bl	#0xfffffff007e9fee0
0xfffffff00849d6d4: e10b42a9  ldp	x1, x2, [sp, #0x20]
0xfffffff00849d6d8: e31343a9  ldp	x3, x4, [sp, #0x30]
0xfffffff00849d6dc: 00028052  mov	w0, #0x10
0xfffffff00849d6e0: 40e0a072  movk	w0, #0x702, lsl #16
0xfffffff00849d6e4: 758af397  bl	#0xfffffff0081800b8
0xfffffff00849d6e8: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff00849d6ec: 49e900d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff00849d6f0: 29010091  add	x9, x9, #0
0xfffffff00849d6f4: 290140f9  ldr	x9, [x9]
0xfffffff00849d6f8: 3f0108eb  cmp	x9, x8
0xfffffff00849d6fc: 81030054  b.ne	#0xfffffff00849d76c
0xfffffff00849d700: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00849d704: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00849d708: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00849d70c: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00849d710: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00849d714: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff00849d718: ffc30291  add	sp, sp, #0xb0
0xfffffff00849d71c: ff0f5fd6  retab	
0xfffffff00849d720: 00e900f0  adrp	x0, #0xfffffff00a1c0000
0xfffffff00849d724: 00803591  add	x0, x0, #0xd60
0xfffffff00849d728: b90a0094  bl	#0xfffffff0084a020c
0xfffffff00849d72c: e0e800f0  adrp	x0, #0xfffffff00a1bc000
0xfffffff00849d730: 00002891  add	x0, x0, #0xa00
0xfffffff00849d734: b60a0094  bl	#0xfffffff0084a020c
0xfffffff00849d738: e0e800f0  adrp	x0, #0xfffffff00a1bc000
0xfffffff00849d73c: 00602991  add	x0, x0, #0xa58
0xfffffff00849d740: b30a0094  bl	#0xfffffff0084a020c
0xfffffff00849d744: e0e800f0  adrp	x0, #0xfffffff00a1bc000
0xfffffff00849d748: 00202c91  add	x0, x0, #0xb08
0xfffffff00849d74c: b00a0094  bl	#0xfffffff0084a020c
0xfffffff00849d750: 4860ff90  adrp	x8, #0xfffffff0070a5000
0xfffffff00849d754: 08752591  add	x8, x8, #0x95d
0xfffffff00849d758: 29388052  mov	w9, #0x1c1
0xfffffff00849d75c: e82700a9  stp	x8, x9, [sp]
0xfffffff00849d760: 4060ff90  adrp	x0, #0xfffffff0070a5000
0xfffffff00849d764: 00102591  add	x0, x0, #0x944
0xfffffff00849d768: 69dbff97  bl	#0xfffffff00849450c
0xfffffff00849d76c: b801e397  bl	#0xfffffff007d5de4c
0xfffffff00849d770: 7f2303d5  pacibsp	
0xfffffff00849d774: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00849d778: fd030091  mov	x29, sp
0xfffffff00849d77c: 805dffd0  adrp	x0, #0xfffffff00704f000
0xfffffff00849d780: 006c0e91  add	x0, x0, #0x39b
0xfffffff00849d784: e4a1ffd0  adrp	x4, #0xfffffff0078db000
0xfffffff00849d788: 84e01891  add	x4, x4, #0x638
0xfffffff00849d78c: 01088052  mov	w1, #0x40
0xfffffff00849d790: 0200a2d2  mov	x2, #0x10000000
0xfffffff00849d794: 0240e4f2  movk	x2, #0x2200, lsl #48
0xfffffff00849d798: e3ff9f52  mov	w3, #0xffff
0xfffffff00849d79c: 2aa4e597  bl	#0xfffffff007e06844
