; Candidate 12296
; ADRP+ADD at VM 0xfffffff0090856a0 (fileoff 0x20816a0): page=0x1fe3d4000 add_imm=0xe24

0xfffffff009085620: 68825539  ldrb	w8, [x19, #0x560]
0xfffffff009085624: 69064139  ldrb	w9, [x19, #0x41]
0xfffffff009085628: 69000034  cbz	w9, #0xfffffff009085634
0xfffffff00908562c: 690a4139  ldrb	w9, [x19, #0x42]
0xfffffff009085630: 89000034  cbz	w9, #0xfffffff009085640
0xfffffff009085634: 69424139  ldrb	w9, [x19, #0x50]
0xfffffff009085638: 3f050071  cmp	w9, #1
0xfffffff00908563c: c0000054  b.eq	#0xfffffff009085654
0xfffffff009085640: 02008052  mov	w2, #0
0xfffffff009085644: 69ea5339  ldrb	w9, [x19, #0x4fa]
0xfffffff009085648: 3f050071  cmp	w9, #1
0xfffffff00908564c: 61000054  b.ne	#0xfffffff009085658
0xfffffff009085650: 48000035  cbnz	w8, #0xfffffff009085658
0xfffffff009085654: 62865539  ldrb	w2, [x19, #0x561]
0xfffffff009085658: b41efff0  adrp	x20, #0xfffffff00745c000
0xfffffff00908565c: 94a63591  add	x20, x20, #0xd69
0xfffffff009085660: e00313aa  mov	x0, x19
0xfffffff009085664: e10314aa  mov	x1, x20
0xfffffff009085668: c6fcff97  bl	#0xfffffff009084980
0xfffffff00908566c: 60030035  cbnz	w0, #0xfffffff0090856d8
0xfffffff009085670: e00313aa  mov	x0, x19
0xfffffff009085674: d0fdff97  bl	#0xfffffff009084db4
0xfffffff009085678: f50300aa  mov	x21, x0
0xfffffff00908567c: 40030035  cbnz	w0, #0xfffffff0090856e4
0xfffffff009085680: 48018052  mov	w8, #0xa
0xfffffff009085684: e9024039  ldrb	w9, [x23]
0xfffffff009085688: 1f01096b  cmp	w8, w9
0xfffffff00908568c: 03010054  b.lo	#0xfffffff0090856ac
0xfffffff009085690: e80315aa  mov	x8, x21
0xfffffff009085694: 087d4093  sxtw	x8, w8
0xfffffff009085698: f65300a9  stp	x22, x20, [sp]
0xfffffff00908569c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090856a0: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff0090856a4: 00903891  add	x0, x0, #0xe24
0xfffffff0090856a8: 5e46cb97  bl	#0xfffffff008357020
0xfffffff0090856ac: e00315aa  mov	x0, x21
0xfffffff0090856b0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090856b4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090856b8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090856bc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090856c0: ffc30191  add	sp, sp, #0x70
0xfffffff0090856c4: ff0f5fd6  retab	
0xfffffff0090856c8: 69ea5339  ldrb	w9, [x19, #0x4fa]
0xfffffff0090856cc: 3f090071  cmp	w9, #2
0xfffffff0090856d0: e9079f1a  cset	w9, ne
0xfffffff0090856d4: c6ffff17  b	#0xfffffff0090855ec
0xfffffff0090856d8: f50300aa  mov	x21, x0
0xfffffff0090856dc: 48d18152  mov	w8, #0xe8a
0xfffffff0090856e0: 02000014  b	#0xfffffff0090856e8
0xfffffff0090856e4: c8d18152  mov	w8, #0xe8e
0xfffffff0090856e8: a97e4093  sxtw	x9, w21
0xfffffff0090856ec: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff0090856f0: 4a493f91  add	x10, x10, #0xfd2
0xfffffff0090856f4: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff0090856f8: a81eff90  adrp	x8, #0xfffffff007459000
0xfffffff0090856fc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009085700: ab1effb0  adrp	x11, #0xfffffff00745a000
0xfffffff009085704: 6b290291  add	x11, x11, #0x8a
0xfffffff009085708: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00908570c: eb0300f9  str	x11, [sp]
0xfffffff009085710: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085714: 00d42c91  add	x0, x0, #0xb35
0xfffffff009085718: 4246cb97  bl	#0xfffffff008357020
0xfffffff00908571c: c8088052  mov	w8, #0x46
