; Candidate 1577
; ADRP+ADD at VM 0xfffffff00849fed0 (fileoff 0x149bed0): page=0x1d21000 add_imm=0xe10

0xfffffff00849fe50: 28028052  mov	w8, #0x11
0xfffffff00849fe54: a80600f9  str	x8, [x21, #8]
0xfffffff00849fe58: bf0200f9  str	xzr, [x21]
0xfffffff00849fe5c: 09e900b0  adrp	x9, #0xfffffff00a1c0000
0xfffffff00849fe60: 29513891  add	x9, x9, #0xe14
0xfffffff00849fe64: 2a110091  add	x10, x9, #4
0xfffffff00849fe68: 28008052  mov	w8, #1
0xfffffff00849fe6c: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff00849fe70: 290140b9  ldr	w9, [x9]
0xfffffff00849fe74: 0901f836  tbz	w9, #0x1f, #0xfffffff00849fe94
0xfffffff00849fe78: 09e900b0  adrp	x9, #0xfffffff00a1c0000
0xfffffff00849fe7c: 29413891  add	x9, x9, #0xe10
0xfffffff00849fe80: 280128b8  ldadd	w8, w8, [x9]
0xfffffff00849fe84: e9130432  mov	w9, #-0xfffffff
0xfffffff00849fe88: 0801090b  add	w8, w8, w9
0xfffffff00849fe8c: 1f01096b  cmp	w8, w9
0xfffffff00849fe90: 09020054  b.ls	#0xfffffff00849fed0
0xfffffff00849fe94: c8eb00b0  adrp	x8, #0xfffffff00a218000
0xfffffff00849fe98: 08210991  add	x8, x8, #0x248
0xfffffff00849fe9c: 69224091  add	x9, x19, #8, lsl #12
0xfffffff00849fea0: 142500a9  stp	x20, x9, [x8]
0xfffffff00849fea4: 895bffb0  adrp	x9, #0xfffffff007010000
0xfffffff00849fea8: 20ddc03d  ldr	q0, [x9, #0x370]
0xfffffff00849feac: 895bff90  adrp	x9, #0xfffffff00700f000
0xfffffff00849feb0: 21bdc13d  ldr	q1, [x9, #0x6f0]
0xfffffff00849feb4: 008500ad  stp	q0, q1, [x8, #0x10]
0xfffffff00849feb8: 09008852  mov	w9, #0x4000
0xfffffff00849febc: 094100b9  str	w9, [x8, #0x40]
0xfffffff00849fec0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00849fec4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00849fec8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00849fecc: ff0f5fd6  retab	
0xfffffff00849fed0: 00e900b0  adrp	x0, #0xfffffff00a1c0000
0xfffffff00849fed4: 00403891  add	x0, x0, #0xe10
0xfffffff00849fed8: cd000094  bl	#0xfffffff0084a020c
0xfffffff00849fedc: 7f2303d5  pacibsp	
0xfffffff00849fee0: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff00849fee4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00849fee8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00849feec: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00849fef0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00849fef4: fd030191  add	x29, sp, #0x40
0xfffffff00849fef8: f30301aa  mov	x19, x1
0xfffffff00849fefc: c10500b4  cbz	x1, #0xfffffff00849ffb4
0xfffffff00849ff00: f40300aa  mov	x20, x0
0xfffffff00849ff04: 160080d2  mov	x22, #0
0xfffffff00849ff08: 17c00191  add	x23, x0, #0x70
0xfffffff00849ff0c: f8e80090  adrp	x24, #0xfffffff00a1bb000
0xfffffff00849ff10: 99d038d5  mrs	x25, tpidr_el1
0xfffffff00849ff14: 3a008052  mov	w26, #1
0xfffffff00849ff18: 95a6ff90  adrp	x21, #0xfffffff00796f000
0xfffffff00849ff1c: b5221a91  add	x21, x21, #0x688
0xfffffff00849ff20: 817641f9  ldr	x1, [x20, #0x2e8]
0xfffffff00849ff24: e00315aa  mov	x0, x21
0xfffffff00849ff28: 82008052  mov	w2, #4
0xfffffff00849ff2c: 6202a072  movk	w2, #0x13, lsl #16
0xfffffff00849ff30: 030080d2  mov	x3, #0
0xfffffff00849ff34: 7319e497  bl	#0xfffffff007da6500
0xfffffff00849ff38: 000400b4  cbz	x0, #0xfffffff00849ffb8
0xfffffff00849ff3c: e10300aa  mov	x1, x0
0xfffffff00849ff40: 089740f9  ldr	x8, [x24, #0x128]
0xfffffff00849ff44: 29a340f9  ldr	x9, [x25, #0x140]
0xfffffff00849ff48: 29018079  ldrsh	x9, [x9]
0xfffffff00849ff4c: 297d72d3  ubfiz	x9, x9, #0xe, #0x20
