; Candidate 6320
; ADRP+ADD at VM 0xfffffff008823978 (fileoff 0x181f978): page=0x1fe9c6000 add_imm=0xe80

0xfffffff0088238f8: 100242f9  ldr	x16, [x16, #0x400]
0xfffffff0088238fc: 51d296d2  mov	x17, #0xb692
0xfffffff008823900: 3002c1da  pacia	x16, x17
0xfffffff008823904: e00310aa  mov	x0, x16
0xfffffff008823908: 01008052  mov	w1, #0
0xfffffff00882390c: 020080d2  mov	x2, #0
0xfffffff008823910: 03008052  mov	w3, #0
0xfffffff008823914: 040080d2  mov	x4, #0
0xfffffff008823918: 25008052  mov	w5, #1
0xfffffff00882391c: 070080d2  mov	x7, #0
0xfffffff008823920: 1b7cee97  bl	#0xfffffff0083c298c
0xfffffff008823924: a00a00f9  str	x0, [x21, #0x10]
0xfffffff008823928: 200700b4  cbz	x0, #0xfffffff008823a0c
0xfffffff00882392c: e00316aa  mov	x0, x22
0xfffffff008823930: 2e2f0094  bl	#0xfffffff00882f5e8
0xfffffff008823934: 885240b9  ldr	w8, [x20, #0x50]
0xfffffff008823938: 08050011  add	w8, w8, #1
0xfffffff00882393c: 885200b9  str	w8, [x20, #0x50]
0xfffffff008823940: abffff17  b	#0xfffffff0088237ec
0xfffffff008823944: 1a420294  bl	#0xfffffff0088b41ac
0xfffffff008823948: f30300aa  mov	x19, x0
0xfffffff00882394c: 80008052  mov	w0, #4
0xfffffff008823950: c05f0194  bl	#0xfffffff00887b850
0xfffffff008823954: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff008823958: 08e52e91  add	x8, x8, #0xbb9
0xfffffff00882395c: 891e8052  mov	w9, #0xf4
0xfffffff008823960: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008823964: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff008823968: 080d3191  add	x8, x8, #0xc43
0xfffffff00882396c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008823970: e80a8052  mov	w8, #0x57
0xfffffff008823974: f32300a9  stp	x19, x8, [sp]
0xfffffff008823978: 204effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882397c: 00003a91  add	x0, x0, #0xe80
0xfffffff008823980: 218fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008823984: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008823988: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00882398c: 63543791  add	x3, x3, #0xdd5
0xfffffff008823990: 02008052  mov	w2, #0
0xfffffff008823994: e73dec97  bl	#0xfffffff008333130
0xfffffff008823998: e07d8012  mov	w0, #-0x3f0
0xfffffff00882399c: 17000014  b	#0xfffffff0088239f8
0xfffffff0088239a0: 03420294  bl	#0xfffffff0088b41ac
0xfffffff0088239a4: f30300aa  mov	x19, x0
0xfffffff0088239a8: 80008052  mov	w0, #4
0xfffffff0088239ac: a95f0194  bl	#0xfffffff00887b850
0xfffffff0088239b0: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088239b4: 08593291  add	x8, x8, #0xc96
0xfffffff0088239b8: a91f8052  mov	w9, #0xfd
0xfffffff0088239bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088239c0: e84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff0088239c4: 080d3191  add	x8, x8, #0xc43
0xfffffff0088239c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088239cc: e80a8052  mov	w8, #0x57
0xfffffff0088239d0: f32300a9  stp	x19, x8, [sp]
0xfffffff0088239d4: 204effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088239d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088239dc: 218fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088239e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088239e4: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff0088239e8: 63403891  add	x3, x3, #0xe10
0xfffffff0088239ec: 02008052  mov	w2, #0
0xfffffff0088239f0: d03dec97  bl	#0xfffffff008333130
0xfffffff0088239f4: e07c8012  mov	w0, #-0x3e8
