; Candidate 6948
; ADRP+ADD at VM 0xfffffff00884c184 (fileoff 0x1848184): page=0x1fe99d000 add_imm=0xe80

0xfffffff00884c104: e00318aa  mov	x0, x24
0xfffffff00884c108: d2bd0094  bl	#0xfffffff00887b850
0xfffffff00884c10c: a80240f9  ldr	x8, [x21]
0xfffffff00884c110: 098eff90  adrp	x9, #0xfffffff007a0c000
0xfffffff00884c114: 29010d91  add	x9, x9, #0x340
0xfffffff00884c118: aa2e4229  ldp	w10, w11, [x21, #0x10]
0xfffffff00884c11c: 29796af8  ldr	x9, [x9, x10, lsl #3]
0xfffffff00884c120: 0a8eff90  adrp	x10, #0xfffffff007a0c000
0xfffffff00884c124: 4a610d91  add	x10, x10, #0x358
0xfffffff00884c128: 4a796bf8  ldr	x10, [x10, x11, lsl #3]
0xfffffff00884c12c: abb241a9  ldp	x11, x12, [x21, #0x18]
0xfffffff00884c130: ad1a40f9  ldr	x13, [x21, #0x30]
0xfffffff00884c134: ae0a40b9  ldr	w14, [x21, #8]
0xfffffff00884c138: af2a40b9  ldr	w15, [x21, #0x28]
0xfffffff00884c13c: b0464729  ldp	w16, w17, [x21, #0x38]
0xfffffff00884c140: a10a4829  ldp	w1, w2, [x21, #0x40]
0xfffffff00884c144: a3124929  ldp	w3, w4, [x21, #0x48]
0xfffffff00884c148: a51a4a29  ldp	w5, w6, [x21, #0x50]
0xfffffff00884c14c: a75a40b9  ldr	w7, [x21, #0x58]
0xfffffff00884c150: e61f0aa9  stp	x6, x7, [sp, #0xa0]
0xfffffff00884c154: e41709a9  stp	x4, x5, [sp, #0x90]
0xfffffff00884c158: e20f08a9  stp	x2, x3, [sp, #0x80]
0xfffffff00884c15c: f10707a9  stp	x17, x1, [sp, #0x70]
0xfffffff00884c160: ed4306a9  stp	x13, x16, [sp, #0x60]
0xfffffff00884c164: ec3f05a9  stp	x12, x15, [sp, #0x50]
0xfffffff00884c168: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff00884c16c: f42703a9  stp	x20, x9, [sp, #0x30]
0xfffffff00884c170: e83b02a9  stp	x8, x14, [sp, #0x20]
0xfffffff00884c174: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff00884c178: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884c17c: 63983291  add	x3, x3, #0xca6
0xfffffff00884c180: f75b00a9  stp	x23, x22, [sp]
0xfffffff00884c184: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c188: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c18c: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c190: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c194: 02008052  mov	w2, #0
0xfffffff00884c198: e69beb97  bl	#0xfffffff008333130
0xfffffff00884c19c: 24000014  b	#0xfffffff00884c22c
0xfffffff00884c1a0: 088eff90  adrp	x8, #0xfffffff007a0c000
0xfffffff00884c1a4: 08010d91  add	x8, x8, #0x340
0xfffffff00884c1a8: a92a4229  ldp	w9, w10, [x21, #0x10]
0xfffffff00884c1ac: 0b8eff90  adrp	x11, #0xfffffff007a0c000
0xfffffff00884c1b0: 6b610d91  add	x11, x11, #0x358
0xfffffff00884c1b4: ac0240f9  ldr	x12, [x21]
0xfffffff00884c1b8: 087969f8  ldr	x8, [x8, x9, lsl #3]
0xfffffff00884c1bc: 69796af8  ldr	x9, [x11, x10, lsl #3]
0xfffffff00884c1c0: aaae41a9  ldp	x10, x11, [x21, #0x18]
0xfffffff00884c1c4: ad1a40f9  ldr	x13, [x21, #0x30]
0xfffffff00884c1c8: ae0a40b9  ldr	w14, [x21, #8]
0xfffffff00884c1cc: af2a40b9  ldr	w15, [x21, #0x28]
0xfffffff00884c1d0: b0464729  ldp	w16, w17, [x21, #0x38]
0xfffffff00884c1d4: a0064829  ldp	w0, w1, [x21, #0x40]
0xfffffff00884c1d8: a20e4929  ldp	w2, w3, [x21, #0x48]
0xfffffff00884c1dc: a4164a29  ldp	w4, w5, [x21, #0x50]
0xfffffff00884c1e0: a65a40b9  ldr	w6, [x21, #0x58]
0xfffffff00884c1e4: e59b08a9  stp	x5, x6, [sp, #0x88]
0xfffffff00884c1e8: e39307a9  stp	x3, x4, [sp, #0x78]
0xfffffff00884c1ec: e18b06a9  stp	x1, x2, [sp, #0x68]
0xfffffff00884c1f0: f18305a9  stp	x17, x0, [sp, #0x58]
0xfffffff00884c1f4: edc304a9  stp	x13, x16, [sp, #0x48]
0xfffffff00884c1f8: ebbf03a9  stp	x11, x15, [sp, #0x38]
0xfffffff00884c1fc: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff00884c200: f4a301a9  stp	x20, x8, [sp, #0x18]
