; Candidate 4677
; ADRP+ADD at VM 0xfffffff0087c233c (fileoff 0x17be33c): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c22bc: 090140b9  ldr	w9, [x8]
0xfffffff0087c22c0: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0087c22c4: 080940b9  ldr	w8, [x8, #8]
0xfffffff0087c22c8: fb8700b9  str	w27, [sp, #0x84]
0xfffffff0087c22cc: 1f190071  cmp	w8, #6
0xfffffff0087c22d0: a9000034  cbz	w9, #0xfffffff0087c22e4
0xfffffff0087c22d4: 60ea0054  b.eq	#0xfffffff0087c4020
0xfffffff0087c22d8: 7f3a30b9  str	wzr, [x19, #0x3038]
0xfffffff0087c22dc: 37008052  mov	w23, #1
0xfffffff0087c22e0: 02060014  b	#0xfffffff0087c3ae8
0xfffffff0087c22e4: 814e0054  b.ne	#0xfffffff0087c2cb4
0xfffffff0087c22e8: e00313aa  mov	x0, x19
0xfffffff0087c22ec: f4030aaa  mov	x20, x10
0xfffffff0087c22f0: 6f080094  bl	#0xfffffff0087c44ac
0xfffffff0087c22f4: ea0314aa  mov	x10, x20
0xfffffff0087c22f8: c0f90035  cbnz	w0, #0xfffffff0087c4230
0xfffffff0087c22fc: 9f2403d5  bti	j
0xfffffff0087c2300: 683a70b9  ldr	w8, [x19, #0x3038]
0xfffffff0087c2304: a8e50034  cbz	w8, #0xfffffff0087c3fb8
0xfffffff0087c2308: 1c030aeb  subs	x28, x24, x10
0xfffffff0087c230c: 03e70054  b.lo	#0xfffffff0087c3fec
0xfffffff0087c2310: ea2f00f9  str	x10, [sp, #0x58]
0xfffffff0087c2314: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0087c2318: 140940b9  ldr	w20, [x8, #8]
0xfffffff0087c231c: 792e40b9  ldr	w25, [x19, #0x2c]
0xfffffff0087c2320: e803194b  neg	w8, w25
0xfffffff0087c2324: 1f090072  tst	w8, #7
0xfffffff0087c2328: c0010054  b.eq	#0xfffffff0087c2360
0xfffffff0087c232c: a98e8252  mov	w9, #0x1475
0xfffffff0087c2330: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2334: 08a11d91  add	x8, x8, #0x768
0xfffffff0087c2338: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c233c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2340: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2344: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2348: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c234c: 02008052  mov	w2, #0
0xfffffff0087c2350: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2354: 63b42691  add	x3, x3, #0x9ad
0xfffffff0087c2358: 76c3ed97  bl	#0xfffffff008333130
0xfffffff0087c235c: 792e40b9  ldr	w25, [x19, #0x2c]
0xfffffff0087c2360: 7b1240b9  ldr	w27, [x19, #0x10]
0xfffffff0087c2364: 6b0a40b9  ldr	w11, [x19, #8]
0xfffffff0087c2368: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087c236c: 090143b9  ldr	w9, [x8, #0x300]
0xfffffff0087c2370: 0afd42b9  ldr	w10, [x8, #0x2fc]
0xfffffff0087c2374: 577d091b  mul	w23, w10, w9
0xfffffff0087c2378: 084145b9  ldr	w8, [x8, #0x540]
0xfffffff0087c237c: c8080035  cbnz	w8, #0xfffffff0087c2494
0xfffffff0087c2380: ff0a0071  cmp	w23, #2
0xfffffff0087c2384: 8b080054  b.lt	#0xfffffff0087c2494
0xfffffff0087c2388: eb5700b9  str	w11, [sp, #0x54]
0xfffffff0087c238c: e00313aa  mov	x0, x19
0xfffffff0087c2390: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2394: 21dc1d91  add	x1, x1, #0x777
0xfffffff0087c2398: 22008052  mov	w2, #1
0xfffffff0087c239c: c9e3ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c23a0: 9f1a0071  cmp	w20, #6
0xfffffff0087c23a4: a1030054  b.ne	#0xfffffff0087c2418
0xfffffff0087c23a8: 80030034  cbz	w0, #0xfffffff0087c2418
0xfffffff0087c23ac: c8948752  mov	w8, #0x3ca6
0xfffffff0087c23b0: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c23b4: 88010036  tbz	w8, #0, #0xfffffff0087c23e4
0xfffffff0087c23b8: e84cffb0  adrp	x8, #0xfffffff00715f000
