; Candidate 11370
; ADRP+ADD at VM 0xfffffff008ef6be4 (fileoff 0x1ef2be4): page=0x1fe514000 add_imm=0xd07

0xfffffff008ef6b64: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff008ef6b68: a928ffb0  adrp	x9, #0xfffffff00740b000
0xfffffff008ef6b6c: 29210891  add	x9, x9, #0x208
0xfffffff008ef6b70: aa28ffb0  adrp	x10, #0xfffffff00740b000
0xfffffff008ef6b74: 4ab50791  add	x10, x10, #0x1ed
0xfffffff008ef6b78: ea2700a9  stp	x10, x9, [sp]
0xfffffff008ef6b7c: a128ffb0  adrp	x1, #0xfffffff00740b000
0xfffffff008ef6b80: 21cc3c91  add	x1, x1, #0xf33
0xfffffff008ef6b84: e00314aa  mov	x0, x20
0xfffffff008ef6b88: f17f8dd2  mov	x17, #0x6bff
0xfffffff008ef6b8c: 11093fd7  blraa	x8, x17
0xfffffff008ef6b90: 7f2303d5  pacibsp	
0xfffffff008ef6b94: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef6b98: fd030091  mov	x29, sp
0xfffffff008ef6b9c: f060ffd0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef6ba0: 10022e91  add	x16, x16, #0xb80
0xfffffff008ef6ba4: 10420091  add	x16, x16, #0x10
0xfffffff008ef6ba8: f10300aa  mov	x17, x0
0xfffffff008ef6bac: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef6bb0: 300ac1da  pacda	x16, x17
0xfffffff008ef6bb4: 100000f9  str	x16, [x0]
0xfffffff008ef6bb8: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef6bbc: 480100b5  cbnz	x8, #0xfffffff008ef6be4
0xfffffff008ef6bc0: e10300aa  mov	x1, x0
0xfffffff008ef6bc4: e060fff0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef6bc8: 00003091  add	x0, x0, #0xc00
0xfffffff008ef6bcc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef6bd0: ff2303d5  autibsp	
0xfffffff008ef6bd4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef6bd8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef6be0
0xfffffff008ef6bdc: 208e38d4  brk	#0xc471
0xfffffff008ef6be0: cb7ed117  b	#0xfffffff00835670c
0xfffffff008ef6be4: a028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef6be8: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef6bec: 3efbff97  bl	#0xfffffff008ef58e4
0xfffffff008ef6bf0: 7f2303d5  pacibsp	
0xfffffff008ef6bf4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef6bf8: fd030091  mov	x29, sp
0xfffffff008ef6bfc: f060ffd0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef6c00: 10022e91  add	x16, x16, #0xb80
0xfffffff008ef6c04: 10420091  add	x16, x16, #0x10
0xfffffff008ef6c08: f10300aa  mov	x17, x0
0xfffffff008ef6c0c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef6c10: 300ac1da  pacda	x16, x17
0xfffffff008ef6c14: 100000f9  str	x16, [x0]
0xfffffff008ef6c18: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef6c1c: 680000b5  cbnz	x8, #0xfffffff008ef6c28
0xfffffff008ef6c20: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef6c24: ff0f5fd6  retab	
0xfffffff008ef6c28: a028ff90  adrp	x0, #0xfffffff00740a000
0xfffffff008ef6c2c: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef6c30: 2dfbff97  bl	#0xfffffff008ef58e4
0xfffffff008ef6c34: 5f2403d5  bti	c
0xfffffff008ef6c38: 00a04039  ldrb	w0, [x0, #0x28]
0xfffffff008ef6c3c: c0035fd6  ret	
0xfffffff008ef6c40: 7f2303d5  pacibsp	
0xfffffff008ef6c44: ff0301d1  sub	sp, sp, #0x40
0xfffffff008ef6c48: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ef6c4c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ef6c50: fdc30091  add	x29, sp, #0x30
0xfffffff008ef6c54: f40300aa  mov	x20, x0
0xfffffff008ef6c58: f30308aa  mov	x19, x8
0xfffffff008ef6c5c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef6c60: e00300ad  stp	q0, q0, [sp]
