; Candidate 7053
; ADRP+ADD at VM 0xfffffff008853e54 (fileoff 0x184fe54): page=0x1fe996000 add_imm=0xe80

0xfffffff008853dd4: 18020034  cbz	w24, #0xfffffff008853e14
0xfffffff008853dd8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853ddc: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008853de0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008853de4: 884efff0  adrp	x8, #0xfffffff007226000
0xfffffff008853de8: 08cd2191  add	x8, x8, #0x873
0xfffffff008853dec: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008853df0: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853df4: 08811191  add	x8, x8, #0x460
0xfffffff008853df8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853dfc: 880c8052  mov	w8, #0x64
0xfffffff008853e00: e04dfff0  adrp	x0, #0xfffffff007212000
0xfffffff008853e04: 00c82691  add	x0, x0, #0x9b2
0xfffffff008853e08: f72300a9  stp	x23, x8, [sp]
0xfffffff008853e0c: 958dd597  bl	#0xfffffff007db7460
0xfffffff008853e10: 19000014  b	#0xfffffff008853e74
0xfffffff008853e14: e6800194  bl	#0xfffffff0088b41ac
0xfffffff008853e18: f70300aa  mov	x23, x0
0xfffffff008853e1c: e0008052  mov	w0, #7
0xfffffff008853e20: 8c9e0094  bl	#0xfffffff00887b850
0xfffffff008853e24: e80316aa  mov	x8, x22
0xfffffff008853e28: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008853e2c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008853e30: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008853e34: 884efff0  adrp	x8, #0xfffffff007226000
0xfffffff008853e38: 08cd2191  add	x8, x8, #0x873
0xfffffff008853e3c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008853e40: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853e44: 08811191  add	x8, x8, #0x460
0xfffffff008853e48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853e4c: 880c8052  mov	w8, #0x64
0xfffffff008853e50: f72300a9  stp	x23, x8, [sp]
0xfffffff008853e54: a04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008853e58: 00003a91  add	x0, x0, #0xe80
0xfffffff008853e5c: a18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008853e60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008853e64: 0350ff90  adrp	x3, #0xfffffff007253000
0xfffffff008853e68: 63fc1991  add	x3, x3, #0x67f
0xfffffff008853e6c: 02008052  mov	w2, #0
0xfffffff008853e70: b07ceb97  bl	#0xfffffff008333130
0xfffffff008853e74: e00316aa  mov	x0, x22
0xfffffff008853e78: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008853e7c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008853e80: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008853e84: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008853e88: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008853e8c: ff030391  add	sp, sp, #0xc0
0xfffffff008853e90: ff0f5fd6  retab	
0xfffffff008853e94: 9a0a40f9  ldr	x26, [x20, #0x10]
0xfffffff008853e98: 99098052  mov	w25, #0x4c
0xfffffff008853e9c: d974a572  movk	w25, #0x2ba6, lsl #16
0xfffffff008853ea0: 415b40b9  ldr	w1, [x26, #0x58]
0xfffffff008853ea4: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff008853ea8: 80098052  mov	w0, #0x4c
0xfffffff008853eac: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008853eb0: 030080d2  mov	x3, #0
0xfffffff008853eb4: 040080d2  mov	x4, #0
0xfffffff008853eb8: 050080d2  mov	x5, #0
0xfffffff008853ebc: 12a8e497  bl	#0xfffffff00817df04
0xfffffff008853ec0: e00314aa  mov	x0, x20
0xfffffff008853ec4: 637afe97  bl	#0xfffffff0087f2850
0xfffffff008853ec8: f60300aa  mov	x22, x0
0xfffffff008853ecc: c0000035  cbnz	w0, #0xfffffff008853ee4
0xfffffff008853ed0: 48274491  add	x8, x26, #0x109, lsl #12
