; Candidate 4334
; ADRP+ADD at VM 0xfffffff00879f400 (fileoff 0x179b400): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f380: 65064fb9  ldr	w5, [x19, #0xf04]
0xfffffff00879f384: 888e8452  mov	w8, #0x2474
0xfffffff00879f388: 6602088b  add	x6, x19, x8
0xfffffff00879f38c: 088f8452  mov	w8, #0x2478
0xfffffff00879f390: 6702088b  add	x7, x19, x8
0xfffffff00879f394: e00313aa  mov	x0, x19
0xfffffff00879f398: dbf4fe97  bl	#0xfffffff00875c704
0xfffffff00879f39c: a0110036  tbz	w0, #0, #0xfffffff00879f5d0
0xfffffff00879f3a0: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff00879f3a4: 086c40f9  ldr	x8, [x0, #0xd8]
0xfffffff00879f3a8: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff00879f3ac: 88010034  cbz	w8, #0xfffffff00879f3dc
0xfffffff00879f3b0: 700240f9  ldr	x16, [x19]
0xfffffff00879f3b4: b01ac1da  autda	x16, x21
0xfffffff00879f3b8: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff00879f3bc: e90310aa  mov	x9, x16
0xfffffff00879f3c0: e00313aa  mov	x0, x19
0xfffffff00879f3c4: e10319aa  mov	x1, x25
0xfffffff00879f3c8: e2031aaa  mov	x2, x26
0xfffffff00879f3cc: f10309aa  mov	x17, x9
0xfffffff00879f3d0: 5144fcf2  movk	x17, #0xe222, lsl #48
0xfffffff00879f3d4: 11093fd7  blraa	x8, x17
0xfffffff00879f3d8: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff00879f3dc: 61422c91  add	x1, x19, #0xb10
0xfffffff00879f3e0: 62622c91  add	x2, x19, #0xb18
0xfffffff00879f3e4: 63722c91  add	x3, x19, #0xb1c
0xfffffff00879f3e8: e40319aa  mov	x4, x25
0xfffffff00879f3ec: cfddff97  bl	#0xfffffff008796b28
0xfffffff00879f3f0: a0010034  cbz	w0, #0xfffffff00879f424
0xfffffff00879f3f4: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f3f8: 08491591  add	x8, x8, #0x552
0xfffffff00879f3fc: e80300f9  str	x8, [sp]
0xfffffff00879f400: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f404: 00403691  add	x0, x0, #0xd90
0xfffffff00879f408: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f40c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f410: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f414: 63781691  add	x3, x3, #0x59e
0xfffffff00879f418: 02008052  mov	w2, #0
0xfffffff00879f41c: 454fee97  bl	#0xfffffff008333130
0xfffffff00879f420: 6a000014  b	#0xfffffff00879f5c8
0xfffffff00879f424: 700240f9  ldr	x16, [x19]
0xfffffff00879f428: b01ac1da  autda	x16, x21
0xfffffff00879f42c: 112280d2  mov	x17, #0x110
0xfffffff00879f430: 1002118b  add	x16, x16, x17
0xfffffff00879f434: 080240f9  ldr	x8, [x16]
0xfffffff00879f438: e90310aa  mov	x9, x16
0xfffffff00879f43c: eadf40b9  ldr	w10, [sp, #0xdc]
0xfffffff00879f440: 43010012  and	w3, w10, #1
0xfffffff00879f444: e00313aa  mov	x0, x19
0xfffffff00879f448: e10316aa  mov	x1, x22
0xfffffff00879f44c: e20319aa  mov	x2, x25
0xfffffff00879f450: f10309aa  mov	x17, x9
0xfffffff00879f454: 711bf8f2  movk	x17, #0xc0db, lsl #48
0xfffffff00879f458: 11093fd7  blraa	x8, x17
0xfffffff00879f45c: f40300aa  mov	x20, x0
0xfffffff00879f460: 700240f9  ldr	x16, [x19]
0xfffffff00879f464: b01ac1da  autda	x16, x21
0xfffffff00879f468: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00879f46c: e90310aa  mov	x9, x16
0xfffffff00879f470: e00313aa  mov	x0, x19
0xfffffff00879f474: 01008052  mov	w1, #0
0xfffffff00879f478: f10309aa  mov	x17, x9
0xfffffff00879f47c: d192edf2  movk	x17, #0x6c96, lsl #48
