; Candidate 2528
; ADRP+ADD at VM 0xfffffff0086ab124 (fileoff 0x16a7124): page=0x1ff34f000 add_imm=0xd50

0xfffffff0086ab0a4: e10314aa  mov	x1, x20
0xfffffff0086ab0a8: f10309aa  mov	x17, x9
0xfffffff0086ab0ac: f198f2f2  movk	x17, #0x94c7, lsl #48
0xfffffff0086ab0b0: 11093fd7  blraa	x8, x17
0xfffffff0086ab0b4: 80010037  tbnz	w0, #0, #0xfffffff0086ab0e4
0xfffffff0086ab0b8: 700240f9  ldr	x16, [x19]
0xfffffff0086ab0bc: f10313aa  mov	x17, x19
0xfffffff0086ab0c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab0c4: 301ac1da  autda	x16, x17
0xfffffff0086ab0c8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086ab0cc: e90310aa  mov	x9, x16
0xfffffff0086ab0d0: e00313aa  mov	x0, x19
0xfffffff0086ab0d4: f10309aa  mov	x17, x9
0xfffffff0086ab0d8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0086ab0dc: 11093fd7  blraa	x8, x17
0xfffffff0086ab0e0: 130080d2  mov	x19, #0
0xfffffff0086ab0e4: e00313aa  mov	x0, x19
0xfffffff0086ab0e8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086ab0ec: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086ab0f0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0086ab0f4: ff0f5fd6  retab	
0xfffffff0086ab0f8: 5f2403d5  bti	c
0xfffffff0086ab0fc: e00301aa  mov	x0, x1
0xfffffff0086ab100: e10302aa  mov	x1, x2
0xfffffff0086ab104: 01000014  b	#0xfffffff0086ab108
0xfffffff0086ab108: 7f2303d5  pacibsp	
0xfffffff0086ab10c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086ab110: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086ab114: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086ab118: fd830091  add	x29, sp, #0x20
0xfffffff0086ab11c: f40301aa  mov	x20, x1
0xfffffff0086ab120: f50300aa  mov	x21, x0
0xfffffff0086ab124: 609afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086ab128: 00403591  add	x0, x0, #0xd50
0xfffffff0086ab12c: 011c8052  mov	w1, #0xe0
0xfffffff0086ab130: 42f1f097  bl	#0xfffffff0082e7638
0xfffffff0086ab134: f30300aa  mov	x19, x0
0xfffffff0086ab138: 76e100d0  adrp	x22, #0xfffffff00a2d9000
0xfffffff0086ab13c: d6e23b91  add	x22, x22, #0xef8
0xfffffff0086ab140: e10316aa  mov	x1, x22
0xfffffff0086ab144: 6963f397  bl	#0xfffffff008383ee8
0xfffffff0086ab148: 309affb0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086ab14c: 10c21f91  add	x16, x16, #0x7f0
0xfffffff0086ab150: 10420091  add	x16, x16, #0x10
0xfffffff0086ab154: f10300aa  mov	x17, x0
0xfffffff0086ab158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab15c: 300ac1da  pacda	x16, x17
0xfffffff0086ab160: 100000f9  str	x16, [x0]
0xfffffff0086ab164: e00316aa  mov	x0, x22
0xfffffff0086ab168: f3e7f097  bl	#0xfffffff0082e5134
0xfffffff0086ab16c: 700240f9  ldr	x16, [x19]
0xfffffff0086ab170: f10313aa  mov	x17, x19
0xfffffff0086ab174: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab178: 301ac1da  autda	x16, x17
0xfffffff0086ab17c: f10310aa  mov	x17, x16
0xfffffff0086ab180: f147c1da  xpacd	x17
0xfffffff0086ab184: 1f0211eb  cmp	x16, x17
0xfffffff0086ab188: 40000054  b.eq	#0xfffffff0086ab190
0xfffffff0086ab18c: 408e38d4  brk	#0xc472
0xfffffff0086ab190: 08021591  add	x8, x16, #0x540
0xfffffff0086ab194: 09a242f9  ldr	x9, [x16, #0x540]
0xfffffff0086ab198: e00313aa  mov	x0, x19
0xfffffff0086ab19c: e10315aa  mov	x1, x21
0xfffffff0086ab1a0: e20314aa  mov	x2, x20
