; Candidate 14069
; ADRP+ADD at VM 0xfffffff0096b103c (fileoff 0x26ad03c): page=0x1fdedc000 add_imm=0xd25

0xfffffff0096b0fbc: 00008052  mov	w0, #0
0xfffffff0096b0fc0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0096b0fc4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0096b0fc8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0096b0fcc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0096b0fd0: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0096b0fd4: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0096b0fd8: ff030291  add	sp, sp, #0x80
0xfffffff0096b0fdc: ff0f5fd6  retab	
0xfffffff0096b0fe0: 5f2403d5  bti	c
0xfffffff0096b0fe4: c4cdb017  b	#0xfffffff0082e46f4
0xfffffff0096b0fe8: 5f2403d5  bti	c
0xfffffff0096b0fec: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0096b0ff0: c0035fd6  ret	
0xfffffff0096b0ff4: 7f2303d5  pacibsp	
0xfffffff0096b0ff8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096b0ffc: fd030091  mov	x29, sp
0xfffffff0096b1000: c06600d0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096b1004: 00400591  add	x0, x0, #0x150
0xfffffff0096b1008: e1f6fe90  adrp	x1, #0xfffffff00758d000
0xfffffff0096b100c: 21a83391  add	x1, x1, #0xcea
0xfffffff0096b1010: 222bffb0  adrp	x2, #0xfffffff007c16000
0xfffffff0096b1014: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff0096b1018: 031b8052  mov	w3, #0xd8
0xfffffff0096b101c: c7cab097  bl	#0xfffffff0082e3b38
0xfffffff0096b1020: 502bffb0  adrp	x16, #0xfffffff007c1a000
0xfffffff0096b1024: 10622391  add	x16, x16, #0x8d8
0xfffffff0096b1028: 10420091  add	x16, x16, #0x10
0xfffffff0096b102c: f10300aa  mov	x17, x0
0xfffffff0096b1030: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096b1034: 300ac1da  pacda	x16, x17
0xfffffff0096b1038: 100000f9  str	x16, [x0]
0xfffffff0096b103c: e0f6fe90  adrp	x0, #0xfffffff00758d000
0xfffffff0096b1040: 00943491  add	x0, x0, #0xd25
0xfffffff0096b1044: 13dcb297  bl	#0xfffffff008368090
0xfffffff0096b1048: 800000b5  cbnz	x0, #0xfffffff0096b1058
0xfffffff0096b104c: e0f6fe90  adrp	x0, #0xfffffff00758d000
0xfffffff0096b1050: 00943491  add	x0, x0, #0xd25
0xfffffff0096b1054: 25dbb297  bl	#0xfffffff008367ce8
0xfffffff0096b1058: c86600d0  adrp	x8, #0xfffffff00a38b000
0xfffffff0096b105c: 00bd00f9  str	x0, [x8, #0x178]
0xfffffff0096b1060: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0096b1064: ff0f5fd6  retab	
0xfffffff0096b1068: 5f2403d5  bti	c
0xfffffff0096b106c: c06600d0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096b1070: 00400591  add	x0, x0, #0x150
0xfffffff0096b1074: a0cdb017  b	#0xfffffff0082e46f4
0xfffffff0096b1078: 7f2303d5  pacibsp	
0xfffffff0096b107c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096b1080: fd030091  mov	x29, sp
0xfffffff0096b1084: e1f6fe90  adrp	x1, #0xfffffff00758d000
0xfffffff0096b1088: 21c83d91  add	x1, x1, #0xf72
0xfffffff0096b108c: c26600d0  adrp	x2, #0xfffffff00a38b000
0xfffffff0096b1090: 42402791  add	x2, x2, #0x9d0
0xfffffff0096b1094: 03078052  mov	w3, #0x38
0xfffffff0096b1098: a8cab097  bl	#0xfffffff0082e3b38
0xfffffff0096b109c: 502bffb0  adrp	x16, #0xfffffff007c1a000
0xfffffff0096b10a0: 10c23191  add	x16, x16, #0xc70
0xfffffff0096b10a4: 10420091  add	x16, x16, #0x10
0xfffffff0096b10a8: f10300aa  mov	x17, x0
0xfffffff0096b10ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096b10b0: 300ac1da  pacda	x16, x17
0xfffffff0096b10b4: 100000f9  str	x16, [x0]
0xfffffff0096b10b8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
