; Candidate 10185
; ADRP+ADD at VM 0xfffffff008cbf20c (fileoff 0x1cbb20c): page=0x1fe69d000 add_imm=0xd8e

0xfffffff008cbf18c: 6901899a  csel	x9, x11, x9, eq
0xfffffff008cbf190: 6a367b39  ldrb	w10, [x19, #0xecd]
0xfffffff008cbf194: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff008cbf198: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008cbf19c: e00300f9  str	x0, [sp]
0xfffffff008cbf1a0: e034ffb0  adrp	x0, #0xfffffff00735c000
0xfffffff008cbf1a4: 00543491  add	x0, x0, #0xd15
0xfffffff008cbf1a8: 9e5fda97  bl	#0xfffffff008357020
0xfffffff008cbf1ac: 68327b39  ldrb	w8, [x19, #0xecc]
0xfffffff008cbf1b0: 68080034  cbz	w8, #0xfffffff008cbf2bc
0xfffffff008cbf1b4: 68827b39  ldrb	w8, [x19, #0xee0]
0xfffffff008cbf1b8: 28080036  tbz	w8, #0, #0xfffffff008cbf2bc
0xfffffff008cbf1bc: 480340b9  ldr	w8, [x26]
0xfffffff008cbf1c0: a8031836  tbz	w8, #3, #0xfffffff008cbf234
0xfffffff008cbf1c4: 09050012  and	w9, w8, #3
0xfffffff008cbf1c8: 69030034  cbz	w9, #0xfffffff008cbf234
0xfffffff008cbf1cc: 88020036  tbz	w8, #0, #0xfffffff008cbf21c
0xfffffff008cbf1d0: 4054c897  bl	#0xfffffff007ed42d0
0xfffffff008cbf1d4: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008cbf1d8: e1630191  add	x1, sp, #0x58
0xfffffff008cbf1dc: 9955c897  bl	#0xfffffff007ed4840
0xfffffff008cbf1e0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008cbf1e4: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbf1e8: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbf1ec: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbf1f0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbf1f4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbf1f8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbf1fc: 18fd44d3  lsr	x24, x8, #4
0xfffffff008cbf200: 7a3bc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbf204: e0cf00a9  stp	x0, x19, [sp, #8]
0xfffffff008cbf208: f80300f9  str	x24, [sp]
0xfffffff008cbf20c: e034ffb0  adrp	x0, #0xfffffff00735c000
0xfffffff008cbf210: 00383691  add	x0, x0, #0xd8e
0xfffffff008cbf214: cfc0de97  bl	#0xfffffff00846f550
0xfffffff008cbf218: 480340b9  ldr	w8, [x26]
0xfffffff008cbf21c: c8000836  tbz	w8, #1, #0xfffffff008cbf234
0xfffffff008cbf220: 723bc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbf224: e04f00a9  stp	x0, x19, [sp]
0xfffffff008cbf228: e034ffb0  adrp	x0, #0xfffffff00735c000
0xfffffff008cbf22c: 00e43791  add	x0, x0, #0xdf9
0xfffffff008cbf230: 7c5fda97  bl	#0xfffffff008357020
0xfffffff008cbf234: 68a27939  ldrb	w8, [x19, #0xe68]
0xfffffff008cbf238: 28040035  cbnz	w8, #0xfffffff008cbf2bc
0xfffffff008cbf23c: 28008052  mov	w8, #1
0xfffffff008cbf240: 68a23939  strb	w8, [x19, #0xe68]
0xfffffff008cbf244: 603247f9  ldr	x0, [x19, #0xe60]
0xfffffff008cbf248: 68e24eb9  ldr	w8, [x19, #0xee0]
0xfffffff008cbf24c: 1f011a72  tst	w8, #0x40
0xfffffff008cbf250: 88d78152  mov	w8, #0xebc
0xfffffff008cbf254: 09d88152  mov	w9, #0xec0
0xfffffff008cbf258: 2801889a  csel	x8, x9, x8, eq
0xfffffff008cbf25c: 616a68b8  ldr	w1, [x19, x8]
0xfffffff008cbf260: 100040f9  ldr	x16, [x0]
0xfffffff008cbf264: f10300aa  mov	x17, x0
0xfffffff008cbf268: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cbf26c: 301ac1da  autda	x16, x17
0xfffffff008cbf270: 112080d2  mov	x17, #0x100
0xfffffff008cbf274: 1002118b  add	x16, x16, x17
0xfffffff008cbf278: 080240f9  ldr	x8, [x16]
0xfffffff008cbf27c: e90310aa  mov	x9, x16
0xfffffff008cbf280: 02488852  mov	w2, #0x4240
0xfffffff008cbf284: e201a072  movk	w2, #0xf, lsl #16
0xfffffff008cbf288: f10309aa  mov	x17, x9
