; Candidate 15919
; ADRP+ADD at VM 0xfffffff009de047c (fileoff 0x2ddc47c): page=0x1fd8bd000 add_imm=0xe68

0xfffffff009de03fc: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff009de0400: 600b00b4  cbz	x0, #0xfffffff009de056c
0xfffffff009de0404: 100040f9  ldr	x16, [x0]
0xfffffff009de0408: f10300aa  mov	x17, x0
0xfffffff009de040c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de0410: 301ac1da  autda	x16, x17
0xfffffff009de0414: 112380d2  mov	x17, #0x118
0xfffffff009de0418: 1002118b  add	x16, x16, x17
0xfffffff009de041c: 080240f9  ldr	x8, [x16]
0xfffffff009de0420: e90310aa  mov	x9, x16
0xfffffff009de0424: e1c5fef0  adrp	x1, #0xfffffff00769f000
0xfffffff009de0428: 210c1b91  add	x1, x1, #0x6c3
0xfffffff009de042c: f10309aa  mov	x17, x9
0xfffffff009de0430: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff009de0434: 11093fd7  blraa	x8, x17
0xfffffff009de0438: e8f9feb0  adrp	x8, #0xfffffff007d1d000
0xfffffff009de043c: 086d43f9  ldr	x8, [x8, #0x6d8]
0xfffffff009de0440: 010140f9  ldr	x1, [x8]
0xfffffff009de0444: 2c0e9497  bl	#0xfffffff0082e3cf4
0xfffffff009de0448: 200900b4  cbz	x0, #0xfffffff009de056c
0xfffffff009de044c: 100040f9  ldr	x16, [x0]
0xfffffff009de0450: f10300aa  mov	x17, x0
0xfffffff009de0454: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de0458: 301ac1da  autda	x16, x17
0xfffffff009de045c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff009de0460: e90310aa  mov	x9, x16
0xfffffff009de0464: f10309aa  mov	x17, x9
0xfffffff009de0468: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff009de046c: 11093fd7  blraa	x8, x17
0xfffffff009de0470: 091b9597  bl	#0xfffffff008327094
0xfffffff009de0474: c00700b4  cbz	x0, #0xfffffff009de056c
0xfffffff009de0478: f40300aa  mov	x20, x0
0xfffffff009de047c: e0c5feb0  adrp	x0, #0xfffffff00769d000
0xfffffff009de0480: 00a03991  add	x0, x0, #0xe68
0xfffffff009de0484: 010080d2  mov	x1, #0
0xfffffff009de0488: 02a79697  bl	#0xfffffff00838a090
0xfffffff009de048c: f60300aa  mov	x22, x0
0xfffffff009de0490: e0c5fef0  adrp	x0, #0xfffffff00769f000
0xfffffff009de0494: 00341791  add	x0, x0, #0x5cd
0xfffffff009de0498: be239597  bl	#0xfffffff008329390
0xfffffff009de049c: f50300aa  mov	x21, x0
0xfffffff009de04a0: e10314aa  mov	x1, x20
0xfffffff009de04a4: e20316aa  mov	x2, x22
0xfffffff009de04a8: bea99697  bl	#0xfffffff00838aba0
0xfffffff009de04ac: e00316aa  mov	x0, x22
0xfffffff009de04b0: 01008092  mov	x1, #-1
0xfffffff009de04b4: 36a69697  bl	#0xfffffff008389d8c
0xfffffff009de04b8: e12e00d0  adrp	x1, #0xfffffff00a3be000
0xfffffff009de04bc: 21403091  add	x1, x1, #0xc10
0xfffffff009de04c0: 0d0e9497  bl	#0xfffffff0082e3cf4
0xfffffff009de04c4: 60ca10f9  str	x0, [x19, #0x2190]
0xfffffff009de04c8: a00500b4  cbz	x0, #0xfffffff009de057c
0xfffffff009de04cc: 760100b4  cbz	x22, #0xfffffff009de04f8
0xfffffff009de04d0: d00240f9  ldr	x16, [x22]
0xfffffff009de04d4: f10316aa  mov	x17, x22
0xfffffff009de04d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de04dc: 301ac1da  autda	x16, x17
0xfffffff009de04e0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009de04e4: e90310aa  mov	x9, x16
0xfffffff009de04e8: e00316aa  mov	x0, x22
0xfffffff009de04ec: f10309aa  mov	x17, x9
0xfffffff009de04f0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009de04f4: 11093fd7  blraa	x8, x17
0xfffffff009de04f8: 750100b4  cbz	x21, #0xfffffff009de0524
