; Candidate 1666
; ADRP+ADD at VM 0xfffffff0084eac04 (fileoff 0x14e6c04): page=0x1febef000 add_imm=0xd0e

0xfffffff0084eab84: adf2f797  bl	#0xfffffff0082e7638
0xfffffff0084eab88: 2d670194  bl	#0xfffffff00854483c
0xfffffff0084eab8c: 600a0ff9  str	x0, [x19, #0x1e10]
0xfffffff0084eab90: 601600b4  cbz	x0, #0xfffffff0084eae5c
0xfffffff0084eab94: 100040f9  ldr	x16, [x0]
0xfffffff0084eab98: f10300aa  mov	x17, x0
0xfffffff0084eab9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084eaba0: 301ac1da  autda	x16, x17
0xfffffff0084eaba4: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0084eaba8: e90310aa  mov	x9, x16
0xfffffff0084eabac: e10313aa  mov	x1, x19
0xfffffff0084eabb0: f10309aa  mov	x17, x9
0xfffffff0084eabb4: 1169e8f2  movk	x17, #0x4348, lsl #48
0xfffffff0084eabb8: 11093fd7  blraa	x8, x17
0xfffffff0084eabbc: 00150034  cbz	w0, #0xfffffff0084eae5c
0xfffffff0084eabc0: 9eb2f997  bl	#0xfffffff008357638
0xfffffff0084eabc4: 60f60ef9  str	x0, [x19, #0x1de8]
0xfffffff0084eabc8: 007800b4  cbz	x0, #0xfffffff0084ebac8
0xfffffff0084eabcc: 7ffe0ef9  str	xzr, [x19, #0x1df8]
0xfffffff0084eabd0: 9ab2f997  bl	#0xfffffff008357638
0xfffffff0084eabd4: 60fa0ef9  str	x0, [x19, #0x1df0]
0xfffffff0084eabd8: 807b00b4  cbz	x0, #0xfffffff0084ebb48
0xfffffff0084eabdc: 485ffff0  adrp	x8, #0xfffffff0070d5000
0xfffffff0084eabe0: 00e141fd  ldr	d0, [x8, #0x3c0]
0xfffffff0084eabe4: 60060ffd  str	d0, [x19, #0x1e08]
0xfffffff0084eabe8: e00313aa  mov	x0, x19
0xfffffff0084eabec: 01070094  bl	#0xfffffff0084ec7f0
0xfffffff0084eabf0: 60130034  cbz	w0, #0xfffffff0084eae5c
0xfffffff0084eabf4: 603642f9  ldr	x0, [x19, #0x468]
0xfffffff0084eabf8: 7cba0094  bl	#0xfffffff0085195e8
0xfffffff0084eabfc: 00130034  cbz	w0, #0xfffffff0084eae5c
0xfffffff0084eac00: 7f061539  strb	wzr, [x19, #0x541]
0xfffffff0084eac04: 605ffff0  adrp	x0, #0xfffffff0070d9000
0xfffffff0084eac08: 00383491  add	x0, x0, #0xd0e
0xfffffff0084eac0c: 010080d2  mov	x1, #0
0xfffffff0084eac10: 207dfa97  bl	#0xfffffff00838a090
0xfffffff0084eac14: f50300aa  mov	x21, x0
0xfffffff0084eac18: c00240f9  ldr	x0, [x22]
0xfffffff0084eac1c: 100000d0  adrp	x16, #0xfffffff0084ec000
0xfffffff0084eac20: 10d22891  add	x16, x16, #0xa34
0xfffffff0084eac24: d13b8cd2  mov	x17, #0x61de
0xfffffff0084eac28: 3002c1da  pacia	x16, x17
0xfffffff0084eac2c: e20310aa  mov	x2, x16
0xfffffff0084eac30: e10315aa  mov	x1, x21
0xfffffff0084eac34: e30313aa  mov	x3, x19
0xfffffff0084eac38: 040080d2  mov	x4, #0
0xfffffff0084eac3c: 05008052  mov	w5, #0
0xfffffff0084eac40: c57bfa97  bl	#0xfffffff008389b54
0xfffffff0084eac44: 600e02f9  str	x0, [x19, #0x418]
0xfffffff0084eac48: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff0084eac4c: ffef00b9  str	wzr, [sp, #0xec]
0xfffffff0084eac50: e0c30391  add	x0, sp, #0xf0
0xfffffff0084eac54: e1b30391  add	x1, sp, #0xec
0xfffffff0084eac58: 4c88e297  bl	#0xfffffff007d8cd88
0xfffffff0084eac5c: 28834fb9  ldr	w8, [x25, #0xf80]
0xfffffff0084eac60: 69798d52  mov	w9, #0x6bcb
0xfffffff0084eac64: 09e5b572  movk	w9, #0xaf28, lsl #16
0xfffffff0084eac68: 097d099b  mul	x9, x8, x9
0xfffffff0084eac6c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0084eac70: 0a01094b  sub	w10, w8, w9
0xfffffff0084eac74: 29054a0b  add	w9, w9, w10, lsr #1
0xfffffff0084eac78: 297d0453  lsr	w9, w9, #4
0xfffffff0084eac7c: 6a028052  mov	w10, #0x13
0xfffffff0084eac80: 28a10a1b  msub	w8, w9, w10, w8
