; Candidate 15363
; ADRP+ADD at VM 0xfffffff009b55bec (fileoff 0x2b51bec): page=0x1fdad3000 add_imm=0xed0

0xfffffff009b55b6c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b55b70: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b55b74: e00313aa  mov	x0, x19
0xfffffff009b55b78: 010080d2  mov	x1, #0
0xfffffff009b55b7c: f10308aa  mov	x17, x8
0xfffffff009b55b80: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b55b84: 31093fd7  blraa	x9, x17
0xfffffff009b55b88: f50300aa  mov	x21, x0
0xfffffff009b55b8c: 700240f9  ldr	x16, [x19]
0xfffffff009b55b90: f10313aa  mov	x17, x19
0xfffffff009b55b94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b55b98: 301ac1da  autda	x16, x17
0xfffffff009b55b9c: f10310aa  mov	x17, x16
0xfffffff009b55ba0: f147c1da  xpacd	x17
0xfffffff009b55ba4: 1f0211eb  cmp	x16, x17
0xfffffff009b55ba8: 40000054  b.eq	#0xfffffff009b55bb0
0xfffffff009b55bac: 408e38d4  brk	#0xc472
0xfffffff009b55bb0: 08620891  add	x8, x16, #0x218
0xfffffff009b55bb4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b55bb8: e00313aa  mov	x0, x19
0xfffffff009b55bbc: 010080d2  mov	x1, #0
0xfffffff009b55bc0: f10308aa  mov	x17, x8
0xfffffff009b55bc4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b55bc8: 31093fd7  blraa	x9, x17
0xfffffff009b55bcc: ea2b40b9  ldr	w10, [sp, #0x28]
0xfffffff009b55bd0: a8d6feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b55bd4: 08d13d91  add	x8, x8, #0xf74
0xfffffff009b55bd8: a9d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b55bdc: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b55be0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009b55be4: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b55be8: f50300f9  str	x21, [sp]
0xfffffff009b55bec: 80d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b55bf0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b55bf4: a3d6fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b55bf8: 63143091  add	x3, x3, #0xc05
0xfffffff009b55bfc: e10314aa  mov	x1, x20
0xfffffff009b55c00: 02028052  mov	w2, #0x10
0xfffffff009b55c04: 4b759f97  bl	#0xfffffff008333130
0xfffffff009b55c08: 4e000014  b	#0xfffffff009b55d40
0xfffffff009b55c0c: 700240f9  ldr	x16, [x19]
0xfffffff009b55c10: f10313aa  mov	x17, x19
0xfffffff009b55c14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b55c18: 301ac1da  autda	x16, x17
0xfffffff009b55c1c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b55c20: 1002118b  add	x16, x16, x17
0xfffffff009b55c24: 080240f9  ldr	x8, [x16]
0xfffffff009b55c28: e90310aa  mov	x9, x16
0xfffffff009b55c2c: e00313aa  mov	x0, x19
0xfffffff009b55c30: 010080d2  mov	x1, #0
0xfffffff009b55c34: f10309aa  mov	x17, x9
0xfffffff009b55c38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b55c3c: 11093fd7  blraa	x8, x17
0xfffffff009b55c40: 700240f9  ldr	x16, [x19]
0xfffffff009b55c44: f10313aa  mov	x17, x19
0xfffffff009b55c48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b55c4c: 301ac1da  autda	x16, x17
0xfffffff009b55c50: 114380d2  mov	x17, #0x218
0xfffffff009b55c54: 1002118b  add	x16, x16, x17
0xfffffff009b55c58: 080240f9  ldr	x8, [x16]
0xfffffff009b55c5c: e90310aa  mov	x9, x16
0xfffffff009b55c60: e00313aa  mov	x0, x19
0xfffffff009b55c64: 010080d2  mov	x1, #0
0xfffffff009b55c68: f10309aa  mov	x17, x9
