; Candidate 10188
; ADRP+ADD at VM 0xfffffff008cbf328 (fileoff 0x1cbb328): page=0x1fe69d000 add_imm=0xead

0xfffffff008cbf2a8: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008cbf2ac: e90310aa  mov	x9, x16
0xfffffff008cbf2b0: f10309aa  mov	x17, x9
0xfffffff008cbf2b4: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff008cbf2b8: 11093fd7  blraa	x8, x17
0xfffffff008cbf2bc: 480340b9  ldr	w8, [x26]
0xfffffff008cbf2c0: a8031836  tbz	w8, #3, #0xfffffff008cbf334
0xfffffff008cbf2c4: 09050012  and	w9, w8, #3
0xfffffff008cbf2c8: 69030034  cbz	w9, #0xfffffff008cbf334
0xfffffff008cbf2cc: 88020036  tbz	w8, #0, #0xfffffff008cbf31c
0xfffffff008cbf2d0: 0054c897  bl	#0xfffffff007ed42d0
0xfffffff008cbf2d4: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008cbf2d8: e1630191  add	x1, sp, #0x58
0xfffffff008cbf2dc: 5955c897  bl	#0xfffffff007ed4840
0xfffffff008cbf2e0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008cbf2e4: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbf2e8: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbf2ec: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbf2f0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbf2f4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbf2f8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbf2fc: 18fd44d3  lsr	x24, x8, #4
0xfffffff008cbf300: 3a3bc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbf304: e0cf00a9  stp	x0, x19, [sp, #8]
0xfffffff008cbf308: f80300f9  str	x24, [sp]
0xfffffff008cbf30c: e034ffb0  adrp	x0, #0xfffffff00735c000
0xfffffff008cbf310: 00743991  add	x0, x0, #0xe5d
0xfffffff008cbf314: 8fc0de97  bl	#0xfffffff00846f550
0xfffffff008cbf318: 480340b9  ldr	w8, [x26]
0xfffffff008cbf31c: c8000836  tbz	w8, #1, #0xfffffff008cbf334
0xfffffff008cbf320: 323bc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbf324: e04f00a9  stp	x0, x19, [sp]
0xfffffff008cbf328: e034ffb0  adrp	x0, #0xfffffff00735c000
0xfffffff008cbf32c: 00b43a91  add	x0, x0, #0xead
0xfffffff008cbf330: 3c5fda97  bl	#0xfffffff008357020
0xfffffff008cbf334: 880340b9  ldr	w8, [x28]
0xfffffff008cbf338: 012148d3  ubfx	x1, x8, #8, #1
0xfffffff008cbf33c: e00313aa  mov	x0, x19
0xfffffff008cbf340: e24f40b9  ldr	w2, [sp, #0x4c]
0xfffffff008cbf344: e30319aa  mov	x3, x25
0xfffffff008cbf348: 2bf8ff97  bl	#0xfffffff008cbd3f4
0xfffffff008cbf34c: 57000037  tbnz	w23, #0, #0xfffffff008cbf354
0xfffffff008cbf350: 36040034  cbz	w22, #0xfffffff008cbf3d4
0xfffffff008cbf354: 480340b9  ldr	w8, [x26]
0xfffffff008cbf358: e8031836  tbz	w8, #3, #0xfffffff008cbf3d4
0xfffffff008cbf35c: 09050012  and	w9, w8, #3
0xfffffff008cbf360: f92b40f9  ldr	x25, [sp, #0x50]
0xfffffff008cbf364: a9030034  cbz	w9, #0xfffffff008cbf3d8
0xfffffff008cbf368: 88020036  tbz	w8, #0, #0xfffffff008cbf3b8
0xfffffff008cbf36c: d953c897  bl	#0xfffffff007ed42d0
0xfffffff008cbf370: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008cbf374: e1630191  add	x1, sp, #0x58
0xfffffff008cbf378: 3255c897  bl	#0xfffffff007ed4840
0xfffffff008cbf37c: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008cbf380: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbf384: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbf388: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbf38c: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbf390: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbf394: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbf398: 18fd44d3  lsr	x24, x8, #4
0xfffffff008cbf39c: 133bc897  bl	#0xfffffff007ecdfe8
0xfffffff008cbf3a0: e0cf00a9  stp	x0, x19, [sp, #8]
0xfffffff008cbf3a4: f80300f9  str	x24, [sp]
