; Candidate 5403
; ADRP+ADD at VM 0xfffffff0087ee920 (fileoff 0x17ea920): page=0x1fe9fb000 add_imm=0xe80

0xfffffff0087ee8a0: f90300aa  mov	x25, x0
0xfffffff0087ee8a4: 42160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee8a8: f80300aa  mov	x24, x0
0xfffffff0087ee8ac: e0008052  mov	w0, #7
0xfffffff0087ee8b0: e8330294  bl	#0xfffffff00887b850
0xfffffff0087ee8b4: d9010034  cbz	w25, #0xfffffff0087ee8ec
0xfffffff0087ee8b8: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087ee8bc: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0087ee8c0: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee8c4: 08c92391  add	x8, x8, #0x8f2
0xfffffff0087ee8c8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087ee8cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087ee8d0: 080f8052  mov	w8, #0x78
0xfffffff0087ee8d4: 2051ffd0  adrp	x0, #0xfffffff007214000
0xfffffff0087ee8d8: 00a01991  add	x0, x0, #0x668
0xfffffff0087ee8dc: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ee8e0: e022d797  bl	#0xfffffff007db7460
0xfffffff0087ee8e4: 130300b5  cbnz	x19, #0xfffffff0087ee944
0xfffffff0087ee8e8: 50000014  b	#0xfffffff0087eea28
0xfffffff0087ee8ec: 30160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee8f0: f80300aa  mov	x24, x0
0xfffffff0087ee8f4: e0008052  mov	w0, #7
0xfffffff0087ee8f8: d6330294  bl	#0xfffffff00887b850
0xfffffff0087ee8fc: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087ee900: e80316aa  mov	x8, x22
0xfffffff0087ee904: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087ee908: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee90c: 08c92391  add	x8, x8, #0x8f2
0xfffffff0087ee910: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087ee914: 080f8052  mov	w8, #0x78
0xfffffff0087ee918: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ee91c: f80300f9  str	x24, [sp]
0xfffffff0087ee920: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee924: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ee928: c190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ee92c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ee930: 8352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ee934: 63440a91  add	x3, x3, #0x291
0xfffffff0087ee938: 02008052  mov	w2, #0
0xfffffff0087ee93c: fd11ed97  bl	#0xfffffff008333130
0xfffffff0087ee940: 530700b4  cbz	x19, #0xfffffff0087eea28
0xfffffff0087ee944: 350700b4  cbz	x21, #0xfffffff0087eea28
0xfffffff0087ee948: 170700b4  cbz	x23, #0xfffffff0087eea28
0xfffffff0087ee94c: 7a0a40f9  ldr	x26, [x19, #0x10]
0xfffffff0087ee950: e00317aa  mov	x0, x23
0xfffffff0087ee954: 01008052  mov	w1, #0
0xfffffff0087ee958: 02098052  mov	w2, #0x48
0xfffffff0087ee95c: 9978d597  bl	#0xfffffff007d4cbc0
0xfffffff0087ee960: ff060079  strh	wzr, [x23, #2]
0xfffffff0087ee964: 485b40b9  ldr	w8, [x26, #0x58]
0xfffffff0087ee968: 49df40b9  ldr	w9, [x26, #0xdc]
0xfffffff0087ee96c: e8260229  stp	w8, w9, [x23, #0x10]
0xfffffff0087ee970: 48e740b9  ldr	w8, [x26, #0xe4]
0xfffffff0087ee974: e81a00b9  str	w8, [x23, #0x18]
0xfffffff0087ee978: 0850ff90  adrp	x8, #0xfffffff0071ee000
0xfffffff0087ee97c: 002d45fd  ldr	d0, [x8, #0xa58]
0xfffffff0087ee980: e0c201fc  stur	d0, [x23, #0x1c]
0xfffffff0087ee984: 88f88452  mov	w8, #0x27c4
0xfffffff0087ee988: e801a072  movk	w8, #0xf, lsl #16
0xfffffff0087ee98c: 486b68b8  ldr	w8, [x26, x8]
0xfffffff0087ee990: f40600f9  str	x20, [x23, #8]
0xfffffff0087ee994: e82600b9  str	w8, [x23, #0x24]
0xfffffff0087ee998: a002c03d  ldr	q0, [x21]
0xfffffff0087ee99c: e00e803d  str	q0, [x23, #0x30]
