; Candidate 612
; ADRP+ADD at VM 0xfffffff007fc22cc (fileoff 0xfbe2cc): page=0x1ff9b2000 add_imm=0xe70

0xfffffff007fc224c: 017947f9  ldr	x1, [x8, #0xef0]
0xfffffff007fc2250: 410400b4  cbz	x1, #0xfffffff007fc22d8
0xfffffff007fc2254: a83e0012  and	w8, w21, #0xffff
0xfffffff007fc2258: 893e0012  and	w9, w20, #0xffff
0xfffffff007fc225c: 03000014  b	#0xfffffff007fc2268
0xfffffff007fc2260: 210040f9  ldr	x1, [x1]
0xfffffff007fc2264: a10300b4  cbz	x1, #0xfffffff007fc22d8
0xfffffff007fc2268: 2a1040b9  ldr	w10, [x1, #0x10]
0xfffffff007fc226c: 5f01086b  cmp	w10, w8
0xfffffff007fc2270: 81ffff54  b.ne	#0xfffffff007fc2260
0xfffffff007fc2274: 2a1440b9  ldr	w10, [x1, #0x14]
0xfffffff007fc2278: 5f01096b  cmp	w10, w9
0xfffffff007fc227c: 21ffff54  b.ne	#0xfffffff007fc2260
0xfffffff007fc2280: 280040f9  ldr	x8, [x1]
0xfffffff007fc2284: 480100b4  cbz	x8, #0xfffffff007fc22ac
0xfffffff007fc2288: 090540f9  ldr	x9, [x8, #8]
0xfffffff007fc228c: 3f0101eb  cmp	x9, x1
0xfffffff007fc2290: c1060054  b.ne	#0xfffffff007fc2368
0xfffffff007fc2294: 290440f9  ldr	x9, [x1, #8]
0xfffffff007fc2298: 2a0140f9  ldr	x10, [x9]
0xfffffff007fc229c: 5f0101eb  cmp	x10, x1
0xfffffff007fc22a0: 41050054  b.ne	#0xfffffff007fc2348
0xfffffff007fc22a4: 090500f9  str	x9, [x8, #8]
0xfffffff007fc22a8: 07000014  b	#0xfffffff007fc22c4
0xfffffff007fc22ac: 280440f9  ldr	x8, [x1, #8]
0xfffffff007fc22b0: 090140f9  ldr	x9, [x8]
0xfffffff007fc22b4: 3f0101eb  cmp	x9, x1
0xfffffff007fc22b8: 81040054  b.ne	#0xfffffff007fc2348
0xfffffff007fc22bc: 490f01f0  adrp	x9, #0xfffffff00a1ad000
0xfffffff007fc22c0: 287d07f9  str	x8, [x9, #0xef8]
0xfffffff007fc22c4: 282440a9  ldp	x8, x9, [x1]
0xfffffff007fc22c8: 280100f9  str	x8, [x9]
0xfffffff007fc22cc: 80cdffd0  adrp	x0, #0xfffffff007974000
0xfffffff007fc22d0: 00c03991  add	x0, x0, #0xe70
0xfffffff007fc22d4: 4e1ef997  bl	#0xfffffff007e09c0c
0xfffffff007fc22d8: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007fc22dc: e20308aa  mov	x2, x8
0xfffffff007fc22e0: dffea288  casl	w2, wzr, [x22]
0xfffffff007fc22e4: 5f00086b  cmp	w2, w8
0xfffffff007fc22e8: 81010054  b.ne	#0xfffffff007fc2318
0xfffffff007fc22ec: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007fc22f0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007fc22f4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007fc22f8: ff430191  add	sp, sp, #0x50
0xfffffff007fc22fc: ff0f5fd6  retab	
0xfffffff007fc2300: e01301b0  adrp	x0, #0xfffffff00a23f000
0xfffffff007fc2304: 00800691  add	x0, x0, #0x1a0
0xfffffff007fc2308: e10313aa  mov	x1, x19
0xfffffff007fc230c: 02008052  mov	w2, #0
0xfffffff007fc2310: faa5f797  bl	#0xfffffff007dabaf8
0xfffffff007fc2314: cdffff17  b	#0xfffffff007fc2248
0xfffffff007fc2318: e01301b0  adrp	x0, #0xfffffff00a23f000
0xfffffff007fc231c: 00800691  add	x0, x0, #0x1a0
0xfffffff007fc2320: e10313aa  mov	x1, x19
0xfffffff007fc2324: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007fc2328: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007fc232c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007fc2330: ff430191  add	sp, sp, #0x50
0xfffffff007fc2334: ff2303d5  autibsp	
0xfffffff007fc2338: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007fc233c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007fc2344
0xfffffff007fc2340: 208e38d4  brk	#0xc471
0xfffffff007fc2344: 08a9f717  b	#0xfffffff007dac764
0xfffffff007fc2348: 08318052  mov	w8, #0x188
