; Candidate 6352
; ADRP+ADD at VM 0xfffffff0088265c4 (fileoff 0x18225c4): page=0x1fe9c3000 add_imm=0xe80

0xfffffff008826544: 17020034  cbz	w23, #0xfffffff008826584
0xfffffff008826548: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00882654c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008826550: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008826554: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826558: 09092e91  add	x9, x8, #0xb82
0xfffffff00882655c: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826560: 08653291  add	x8, x8, #0xc99
0xfffffff008826564: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008826568: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882656c: e80a8052  mov	w8, #0x57
0xfffffff008826570: c04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff008826574: 00342691  add	x0, x0, #0x98d
0xfffffff008826578: f62300a9  stp	x22, x8, [sp]
0xfffffff00882657c: b943d697  bl	#0xfffffff007db7460
0xfffffff008826580: 19000014  b	#0xfffffff0088265e4
0xfffffff008826584: 0a370294  bl	#0xfffffff0088b41ac
0xfffffff008826588: f60300aa  mov	x22, x0
0xfffffff00882658c: 00018052  mov	w0, #8
0xfffffff008826590: b0540194  bl	#0xfffffff00887b850
0xfffffff008826594: e80315aa  mov	x8, x21
0xfffffff008826598: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff00882659c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088265a0: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088265a4: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff0088265a8: 0a092e91  add	x10, x8, #0xb82
0xfffffff0088265ac: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff0088265b0: 08653291  add	x8, x8, #0xc99
0xfffffff0088265b4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088265b8: e80a8052  mov	w8, #0x57
0xfffffff0088265bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088265c0: f60300f9  str	x22, [sp]
0xfffffff0088265c4: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088265c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088265cc: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088265d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088265d4: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff0088265d8: 63803191  add	x3, x3, #0xc60
0xfffffff0088265dc: 02008052  mov	w2, #0
0xfffffff0088265e0: d432ec97  bl	#0xfffffff008333130
0xfffffff0088265e4: e00315aa  mov	x0, x21
0xfffffff0088265e8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088265ec: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088265f0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088265f4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088265f8: ff830291  add	sp, sp, #0xa0
0xfffffff0088265fc: ff0f5fd6  retab	
0xfffffff008826600: 7f2303d5  pacibsp	
0xfffffff008826604: ffc301d1  sub	sp, sp, #0x70
0xfffffff008826608: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00882660c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008826610: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008826614: fd830191  add	x29, sp, #0x60
0xfffffff008826618: f30300aa  mov	x19, x0
0xfffffff00882661c: e00a8052  mov	w0, #0x57
0xfffffff008826620: 01018052  mov	w1, #8
0xfffffff008826624: 6b540194  bl	#0xfffffff00887b7d0
0xfffffff008826628: a0050034  cbz	w0, #0xfffffff0088266dc
0xfffffff00882662c: e00a8052  mov	w0, #0x57
0xfffffff008826630: 7a540194  bl	#0xfffffff00887b818
0xfffffff008826634: f50300aa  mov	x21, x0
0xfffffff008826638: dd360294  bl	#0xfffffff0088b41ac
0xfffffff00882663c: f40300aa  mov	x20, x0
0xfffffff008826640: 00018052  mov	w0, #8
