; Candidate 10291
; ADRP+ADD at VM 0xfffffff008cd96cc (fileoff 0x1cd56cc): page=0x1fe68e000 add_imm=0xdbe

0xfffffff008cd964c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008cd9650: ff830191  add	sp, sp, #0x60
0xfffffff008cd9654: ff0f5fd6  retab	
0xfffffff008cd9658: f60301aa  mov	x22, x1
0xfffffff008cd965c: 630240f9  ldr	x3, [x19]
0xfffffff008cd9660: c30000b5  cbnz	x3, #0xfffffff008cd9678
0xfffffff008cd9664: 00008452  mov	w0, #0x2000
0xfffffff008cd9668: b3f5d997  bl	#0xfffffff008356d34
0xfffffff008cd966c: e30300aa  mov	x3, x0
0xfffffff008cd9670: 600200f9  str	x0, [x19]
0xfffffff008cd9674: 600200b4  cbz	x0, #0xfffffff008cd96c0
0xfffffff008cd9678: e2061e12  and	w2, w23, #0xc
0xfffffff008cd967c: e00316aa  mov	x0, x22
0xfffffff008cd9680: e10318aa  mov	x1, x24
0xfffffff008cd9684: 569dcb97  bl	#0xfffffff007fc0bdc
0xfffffff008cd9688: 40faff34  cbz	w0, #0xfffffff008cd95d0
0xfffffff008cd968c: 6834ffd0  adrp	x8, #0xfffffff007367000
0xfffffff008cd9690: 08753591  add	x8, x8, #0xd5d
0xfffffff008cd9694: e08300a9  stp	x0, x0, [sp, #8]
0xfffffff008cd9698: e80300f9  str	x8, [sp]
0xfffffff008cd969c: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd96a0: 007c3791  add	x0, x0, #0xddf
0xfffffff008cd96a4: 5ff6d997  bl	#0xfffffff008357020
0xfffffff008cd96a8: 600240f9  ldr	x0, [x19]
0xfffffff008cd96ac: 01008452  mov	w1, #0x2000
0xfffffff008cd96b0: b4f5d997  bl	#0xfffffff008356d80
0xfffffff008cd96b4: 00008052  mov	w0, #0
0xfffffff008cd96b8: 7f0200f9  str	xzr, [x19]
0xfffffff008cd96bc: e1ffff17  b	#0xfffffff008cd9640
0xfffffff008cd96c0: 6834ffd0  adrp	x8, #0xfffffff007367000
0xfffffff008cd96c4: 08753591  add	x8, x8, #0xd5d
0xfffffff008cd96c8: e80300f9  str	x8, [sp]
0xfffffff008cd96cc: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd96d0: 00f83691  add	x0, x0, #0xdbe
0xfffffff008cd96d4: d9ffff17  b	#0xfffffff008cd9638
0xfffffff008cd96d8: 7f2303d5  pacibsp	
0xfffffff008cd96dc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008cd96e0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008cd96e4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008cd96e8: fdc30091  add	x29, sp, #0x30
0xfffffff008cd96ec: f30302aa  mov	x19, x2
0xfffffff008cd96f0: 5f080071  cmp	w2, #2
0xfffffff008cd96f4: 43010054  b.lo	#0xfffffff008cd971c
0xfffffff008cd96f8: 48008052  mov	w8, #2
0xfffffff008cd96fc: 6934ffd0  adrp	x9, #0xfffffff007367000
0xfffffff008cd9700: 29893a91  add	x9, x9, #0xea2
0xfffffff008cd9704: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008cd9708: e90300f9  str	x9, [sp]
0xfffffff008cd970c: 6034ffd0  adrp	x0, #0xfffffff007367000
0xfffffff008cd9710: 00783991  add	x0, x0, #0xe5e
0xfffffff008cd9714: 43f6d997  bl	#0xfffffff008357020
0xfffffff008cd9718: 08000014  b	#0xfffffff008cd9738
0xfffffff008cd971c: 080040f9  ldr	x8, [x0]
0xfffffff008cd9720: 694e1453  lsl	w9, w19, #0xc
0xfffffff008cd9724: 0801098b  add	x8, x8, x9
0xfffffff008cd9728: e00301aa  mov	x0, x1
0xfffffff008cd972c: e10308aa  mov	x1, x8
0xfffffff008cd9730: 02008252  mov	w2, #0x1000
0xfffffff008cd9734: 97ccc197  bl	#0xfffffff007d4c990
0xfffffff008cd9738: 7f0a0071  cmp	w19, #2
0xfffffff008cd973c: e0279f1a  cset	w0, lo
0xfffffff008cd9740: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008cd9744: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008cd9748: ff030191  add	sp, sp, #0x40
