; Candidate 5365
; ADRP+ADD at VM 0xfffffff0087eb54c (fileoff 0x17e754c): page=0x1fe9fe000 add_imm=0xe80

0xfffffff0087eb4cc: 00940f91  add	x0, x0, #0x3e5
0xfffffff0087eb4d0: 09000014  b	#0xfffffff0087eb4f4
0xfffffff0087eb4d4: 60030034  cbz	w0, #0xfffffff0087eb540
0xfffffff0087eb4d8: e8031b4b  neg	w8, w27
0xfffffff0087eb4dc: 28032837  tbnz	w8, #5, #0xfffffff0087eb540
0xfffffff0087eb4e0: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eb4e4: 08bd4db9  ldr	w8, [x8, #0xdbc]
0xfffffff0087eb4e8: e80300f9  str	x8, [sp]
0xfffffff0087eb4ec: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087eb4f0: 00380f91  add	x0, x0, #0x3ce
0xfffffff0087eb4f4: db2fd797  bl	#0xfffffff007db7460
0xfffffff0087eb4f8: 1d000014  b	#0xfffffff0087eb56c
0xfffffff0087eb4fc: 2c230394  bl	#0xfffffff0088b41ac
0xfffffff0087eb500: f60300aa  mov	x22, x0
0xfffffff0087eb504: e00314aa  mov	x0, x20
0xfffffff0087eb508: d2400294  bl	#0xfffffff00887b850
0xfffffff0087eb50c: e8be4db9  ldr	w8, [x23, #0xdbc]
0xfffffff0087eb510: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eb514: e80313aa  mov	x8, x19
0xfffffff0087eb518: f62300a9  stp	x22, x8, [sp]
0xfffffff0087eb51c: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eb520: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eb524: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eb528: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eb52c: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eb530: 63903191  add	x3, x3, #0xc64
0xfffffff0087eb534: 02008052  mov	w2, #0
0xfffffff0087eb538: fe1eed97  bl	#0xfffffff008333130
0xfffffff0087eb53c: 0c000014  b	#0xfffffff0087eb56c
0xfffffff0087eb540: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eb544: 08bd4db9  ldr	w8, [x8, #0xdbc]
0xfffffff0087eb548: e80300f9  str	x8, [sp]
0xfffffff0087eb54c: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eb550: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eb554: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eb558: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eb55c: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eb560: 63383191  add	x3, x3, #0xc4e
0xfffffff0087eb564: 02008052  mov	w2, #0
0xfffffff0087eb568: f21eed97  bl	#0xfffffff008333130
0xfffffff0087eb56c: e00313aa  mov	x0, x19
0xfffffff0087eb570: e10314aa  mov	x1, x20
0xfffffff0087eb574: 97400294  bl	#0xfffffff00887b7d0
0xfffffff0087eb578: 40070034  cbz	w0, #0xfffffff0087eb660
0xfffffff0087eb57c: e00313aa  mov	x0, x19
0xfffffff0087eb580: a6400294  bl	#0xfffffff00887b818
0xfffffff0087eb584: 3b02f837  tbnz	w27, #0x1f, #0xfffffff0087eb5c8
0xfffffff0087eb588: 77031b12  and	w23, w27, #0x20
0xfffffff0087eb58c: 18000052  eor	w24, w0, #1
0xfffffff0087eb590: 07230394  bl	#0xfffffff0088b41ac
0xfffffff0087eb594: f60300aa  mov	x22, x0
0xfffffff0087eb598: e00314aa  mov	x0, x20
0xfffffff0087eb59c: ad400294  bl	#0xfffffff00887b850
0xfffffff0087eb5a0: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff0087eb5a4: 77d700f0  adrp	x23, #0xfffffff00a2da000
0xfffffff0087eb5a8: 48020037  tbnz	w8, #0, #0xfffffff0087eb5f0
0xfffffff0087eb5ac: e8027739  ldrb	w8, [x23, #0xdc0]
0xfffffff0087eb5b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eb5b4: e80313aa  mov	x8, x19
0xfffffff0087eb5b8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087eb5bc: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087eb5c0: 00981091  add	x0, x0, #0x426
0xfffffff0087eb5c4: 09000014  b	#0xfffffff0087eb5e8
0xfffffff0087eb5c8: 60030034  cbz	w0, #0xfffffff0087eb634
