; Candidate 10650
; ADRP+ADD at VM 0xfffffff008de20b0 (fileoff 0x1dde0b0): page=0x1fe5e2000 add_imm=0xe15

0xfffffff008de2030: f75b00a9  stp	x23, x22, [sp]
0xfffffff008de2034: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de2038: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de203c: 00503591  add	x0, x0, #0xd54
0xfffffff008de2040: f8d3d597  bl	#0xfffffff008357020
0xfffffff008de2044: e00313aa  mov	x0, x19
0xfffffff008de2048: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de204c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de2050: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de2054: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de2058: ffc30191  add	sp, sp, #0x70
0xfffffff008de205c: ff0f5fd6  retab	
0xfffffff008de2060: 48918052  mov	w8, #0x48a
0xfffffff008de2064: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2068: 29490d91  add	x9, x9, #0x352
0xfffffff008de206c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2070: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2074: 08493991  add	x8, x8, #0xe52
0xfffffff008de2078: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de207c: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de2080: e0ffff17  b	#0xfffffff008de2000
0xfffffff008de2084: 687e4093  sxtw	x8, w19
0xfffffff008de2088: a9918052  mov	w9, #0x48d
0xfffffff008de208c: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2090: 4a490d91  add	x10, x10, #0x352
0xfffffff008de2094: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de2098: 092fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de209c: 29493991  add	x9, x9, #0xe52
0xfffffff008de20a0: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de20a4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de20a8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de20ac: eb0300f9  str	x11, [sp]
0xfffffff008de20b0: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de20b4: 00543891  add	x0, x0, #0xe15
0xfffffff008de20b8: dad3d597  bl	#0xfffffff008357020
0xfffffff008de20bc: c8088052  mov	w8, #0x46
0xfffffff008de20c0: d7ffff17  b	#0xfffffff008de201c
0xfffffff008de20c4: 7f2303d5  pacibsp	
0xfffffff008de20c8: ffc301d1  sub	sp, sp, #0x70
0xfffffff008de20cc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008de20d0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008de20d4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008de20d8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008de20dc: fd830191  add	x29, sp, #0x60
0xfffffff008de20e0: f40301aa  mov	x20, x1
0xfffffff008de20e4: f30300aa  mov	x19, x0
0xfffffff008de20e8: f7a800b0  adrp	x23, #0xfffffff00a2ff000
0xfffffff008de20ec: f7422c91  add	x23, x23, #0xb10
0xfffffff008de20f0: e8024039  ldrb	w8, [x23]
0xfffffff008de20f4: f52efff0  adrp	x21, #0xfffffff0073c1000
0xfffffff008de20f8: b5d23e91  add	x21, x21, #0xfb4
0xfffffff008de20fc: f62efff0  adrp	x22, #0xfffffff0073c1000
0xfffffff008de2100: d69e0c91  add	x22, x22, #0x327
0xfffffff008de2104: 1f290071  cmp	w8, #0xa
0xfffffff008de2108: a8000054  b.hi	#0xfffffff008de211c
0xfffffff008de210c: f65700a9  stp	x22, x21, [sp]
0xfffffff008de2110: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2114: 00843491  add	x0, x0, #0xd21
0xfffffff008de2118: c2d3d597  bl	#0xfffffff008357020
0xfffffff008de211c: d30300b4  cbz	x19, #0xfffffff008de2194
0xfffffff008de2120: e00314aa  mov	x0, x20
0xfffffff008de2124: 81038052  mov	w1, #0x1c
0xfffffff008de2128: 02008052  mov	w2, #0
0xfffffff008de212c: 030080d2  mov	x3, #0
