; Candidate 7182
; ADRP+ADD at VM 0xfffffff00885da58 (fileoff 0x1859a58): page=0x1fe98c000 add_imm=0xe80

0xfffffff00885d9d8: f72300a9  stp	x23, x8, [sp]
0xfffffff00885d9dc: 604cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00885d9e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00885d9e4: 418dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885d9e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885d9ec: 02008052  mov	w2, #0
0xfffffff00885d9f0: d055eb97  bl	#0xfffffff008333130
0xfffffff00885d9f4: f1000014  b	#0xfffffff00885ddb8
0xfffffff00885d9f8: ed590194  bl	#0xfffffff0088b41ac
0xfffffff00885d9fc: f70300aa  mov	x23, x0
0xfffffff00885da00: a0008052  mov	w0, #5
0xfffffff00885da04: 93770094  bl	#0xfffffff00887b850
0xfffffff00885da08: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff00885da0c: a95a40b9  ldr	w9, [x21, #0x58]
0xfffffff00885da10: cac640b9  ldr	w10, [x22, #0xc4]
0xfffffff00885da14: 4bef62b9  ldr	w11, [x26, #0x22ec]
0xfffffff00885da18: 4c8f62b9  ldr	w12, [x26, #0x228c]
0xfffffff00885da1c: ebb305a9  stp	x11, x12, [sp, #0x58]
0xfffffff00885da20: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00885da24: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff00885da28: 682e8052  mov	w8, #0x173
0xfffffff00885da2c: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885da30: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885da34: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00885da38: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885da3c: 08811191  add	x8, x8, #0x460
0xfffffff00885da40: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885da44: 880c8052  mov	w8, #0x64
0xfffffff00885da48: c34fff90  adrp	x3, #0xfffffff007255000
0xfffffff00885da4c: 63ec1291  add	x3, x3, #0x4bb
0xfffffff00885da50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885da54: f70300f9  str	x23, [sp]
0xfffffff00885da58: 604cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00885da5c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885da60: 418dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885da64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885da68: 02008052  mov	w2, #0
0xfffffff00885da6c: b155eb97  bl	#0xfffffff008333130
0xfffffff00885da70: a8ce4491  add	x8, x21, #0x133, lsl #12
0xfffffff00885da74: 17211891  add	x23, x8, #0x608
0xfffffff00885da78: 280340b9  ldr	w8, [x25]
0xfffffff00885da7c: e88b00b9  str	w8, [sp, #0x88]
0xfffffff00885da80: e2030291  add	x2, sp, #0x80
0xfffffff00885da84: e00315aa  mov	x0, x21
0xfffffff00885da88: e10316aa  mov	x1, x22
0xfffffff00885da8c: 2ad2fe97  bl	#0xfffffff008812334
0xfffffff00885da90: 488f62b9  ldr	w8, [x26, #0x228c]
0xfffffff00885da94: 1f510071  cmp	w8, #0x14
0xfffffff00885da98: 01010054  b.ne	#0xfffffff00885dab8
0xfffffff00885da9c: 48ef62b9  ldr	w8, [x26, #0x22ec]
0xfffffff00885daa0: 1f050071  cmp	w8, #1
0xfffffff00885daa4: a1000054  b.ne	#0xfffffff00885dab8
0xfffffff00885daa8: e00240f9  ldr	x0, [x23]
0xfffffff00885daac: c2c640b9  ldr	w2, [x22, #0xc4]
0xfffffff00885dab0: e1030291  add	x1, sp, #0x80
0xfffffff00885dab4: 12e1fd97  bl	#0xfffffff0087d5efc
0xfffffff00885dab8: e00640f9  ldr	x0, [x23, #8]
0xfffffff00885dabc: 600400b4  cbz	x0, #0xfffffff00885db48
0xfffffff00885dac0: c1c640b9  ldr	w1, [x22, #0xc4]
0xfffffff00885dac4: 22008052  mov	w2, #1
0xfffffff00885dac8: 0d0f0194  bl	#0xfffffff0088a16fc
0xfffffff00885dacc: e0030034  cbz	w0, #0xfffffff00885db48
0xfffffff00885dad0: f70300aa  mov	x23, x0
0xfffffff00885dad4: 800c8052  mov	w0, #0x64
