; Candidate 14028
; ADRP+ADD at VM 0xfffffff0096a21fc (fileoff 0x269e1fc): page=0xce8000 add_imm=0xe38

0xfffffff0096a217c: 1500bcf2  movk	x21, #0xe000, lsl #16
0xfffffff0096a2180: a00e00d1  sub	x0, x21, #3
0xfffffff0096a2184: 01088052  mov	w1, #0x40
0xfffffff0096a2188: 59f4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a218c: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2190: 00fd06f9  str	x0, [x8, #0xdf8]
0xfffffff0096a2194: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2198: 00003891  add	x0, x0, #0xe00
0xfffffff0096a219c: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a21a0: 21140091  add	x1, x1, #5
0xfffffff0096a21a4: e20314aa  mov	x2, x20
0xfffffff0096a21a8: 03068052  mov	w3, #0x30
0xfffffff0096a21ac: 6306b197  bl	#0xfffffff0082e3b38
0xfffffff0096a21b0: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a21b4: 10e20791  add	x16, x16, #0x1f8
0xfffffff0096a21b8: 10420091  add	x16, x16, #0x10
0xfffffff0096a21bc: f10300aa  mov	x17, x0
0xfffffff0096a21c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a21c4: 300ac1da  pacda	x16, x17
0xfffffff0096a21c8: 100000f9  str	x16, [x0]
0xfffffff0096a21cc: 40f7fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096a21d0: 00280191  add	x0, x0, #0x4a
0xfffffff0096a21d4: 191cb297  bl	#0xfffffff008329238
0xfffffff0096a21d8: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a21dc: 001507f9  str	x0, [x8, #0xe28]
0xfffffff0096a21e0: c8ff9792  mov	x8, #-0xbfff
0xfffffff0096a21e4: 4800bcf2  movk	x8, #0xe002, lsl #16
0xfffffff0096a21e8: 00017eb2  orr	x0, x8, #4
0xfffffff0096a21ec: 01088052  mov	w1, #0x40
0xfffffff0096a21f0: 3ff4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a21f4: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a21f8: 001907f9  str	x0, [x8, #0xe30]
0xfffffff0096a21fc: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2200: 00e03891  add	x0, x0, #0xe38
0xfffffff0096a2204: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2208: 21400191  add	x1, x1, #0x50
0xfffffff0096a220c: e20314aa  mov	x2, x20
0xfffffff0096a2210: 03068052  mov	w3, #0x30
0xfffffff0096a2214: 4906b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2218: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a221c: 10820d91  add	x16, x16, #0x360
0xfffffff0096a2220: 10420091  add	x16, x16, #0x10
0xfffffff0096a2224: f10300aa  mov	x17, x0
0xfffffff0096a2228: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a222c: 300ac1da  pacda	x16, x17
0xfffffff0096a2230: 100000f9  str	x16, [x0]
0xfffffff0096a2234: 40f7fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096a2238: 00740291  add	x0, x0, #0x9d
0xfffffff0096a223c: ff1bb297  bl	#0xfffffff008329238
0xfffffff0096a2240: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2244: 003107f9  str	x0, [x8, #0xe60]
0xfffffff0096a2248: a00600d1  sub	x0, x21, #1
0xfffffff0096a224c: 01088052  mov	w1, #0x40
0xfffffff0096a2250: 27f4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a2254: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2258: 003507f9  str	x0, [x8, #0xe68]
0xfffffff0096a225c: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2260: 00c03991  add	x0, x0, #0xe70
0xfffffff0096a2264: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2268: 21a00291  add	x1, x1, #0xa8
0xfffffff0096a226c: e20314aa  mov	x2, x20
0xfffffff0096a2270: 03068052  mov	w3, #0x30
0xfffffff0096a2274: 3106b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2278: b02bffd0  adrp	x16, #0xfffffff007c18000
