; Candidate 4370
; ADRP+ADD at VM 0xfffffff0087a7c74 (fileoff 0x17a3c74): page=0x1fe98a000 add_imm=0xd90

0xfffffff0087a7bf4: 0ad54629  ldp	w10, w21, [x8, #0x34]
0xfffffff0087a7bf8: 37010a8b  add	x23, x9, x10
0xfffffff0087a7bfc: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087a7c00: f6fe60d3  lsr	x22, x23, #0x20
0xfffffff0087a7c04: b60100b4  cbz	x22, #0xfffffff0087a7c38
0xfffffff0087a7c08: c88d8052  mov	w8, #0x46e
0xfffffff0087a7c0c: 494dff90  adrp	x9, #0xfffffff00714f000
0xfffffff0087a7c10: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a7c14: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a7c18: 404cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087a7c1c: 00403691  add	x0, x0, #0xd90
0xfffffff0087a7c20: a192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a7c24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a7c28: 034dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a7c2c: 63342e91  add	x3, x3, #0xb8d
0xfffffff0087a7c30: 02008052  mov	w2, #0
0xfffffff0087a7c34: 3f2dee97  bl	#0xfffffff008333130
0xfffffff0087a7c38: 284337ab  adds	x8, x25, w23, uxtw
0xfffffff0087a7c3c: 62d5ff54  b.hs	#0xfffffff0087a76e8
0xfffffff0087a7c40: f77e4092  and	x23, x23, #0xffffffff
0xfffffff0087a7c44: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087a7c48: 2abd41b9  ldr	w10, [x9, #0x1bc]
0xfffffff0087a7c4c: 48150033  bfxil	w8, w10, #0, #6
0xfffffff0087a7c50: 28bd01b9  str	w8, [x9, #0x1bc]
0xfffffff0087a7c54: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a7c58: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087a7c5c: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087a7c60: b60100b4  cbz	x22, #0xfffffff0087a7c94
0xfffffff0087a7c64: 088e8052  mov	w8, #0x470
0xfffffff0087a7c68: 494dff90  adrp	x9, #0xfffffff00714f000
0xfffffff0087a7c6c: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a7c70: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a7c74: 404cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087a7c78: 00403691  add	x0, x0, #0xd90
0xfffffff0087a7c7c: a192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a7c80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a7c84: 034dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a7c88: 63042f91  add	x3, x3, #0xbc1
0xfffffff0087a7c8c: 02008052  mov	w2, #0
0xfffffff0087a7c90: 282dee97  bl	#0xfffffff008333130
0xfffffff0087a7c94: 280317ab  adds	x8, x25, x23
0xfffffff0087a7c98: 82d2ff54  b.hs	#0xfffffff0087a76e8
0xfffffff0087a7c9c: 9402158b  add	x20, x20, x21
0xfffffff0087a7ca0: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087a7ca4: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087a7ca8: 2aa542b9  ldr	w10, [x9, #0x2a4]
0xfffffff0087a7cac: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff0087a7cb0: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff0087a7cb4: 28a502b9  str	w8, [x9, #0x2a4]
0xfffffff0087a7cb8: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a7cbc: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087a7cc0: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff0087a7cc4: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff0087a7cc8: b50100b4  cbz	x21, #0xfffffff0087a7cfc
0xfffffff0087a7ccc: 688e8052  mov	w8, #0x473
0xfffffff0087a7cd0: 494dff90  adrp	x9, #0xfffffff00714f000
0xfffffff0087a7cd4: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a7cd8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a7cdc: 404cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087a7ce0: 00403691  add	x0, x0, #0xd90
0xfffffff0087a7ce4: a192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a7ce8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a7cec: 034dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a7cf0: 63d42f91  add	x3, x3, #0xbf5
