; Candidate 16463
; ADRP+ADD at VM 0xfffffff009eb4a64 (fileoff 0x2eb0a64): page=0x1fd98a000 add_imm=0xe5c

0xfffffff009eb49e4: 0e000014  b	#0xfffffff009eb4a1c
0xfffffff009eb49e8: a8f379a9  ldp	x8, x28, [x29, #-0x68]
0xfffffff009eb49ec: 1f0100f1  cmp	x8, #0
0xfffffff009eb49f0: 6002889a  csel	x0, x19, x8, eq
0xfffffff009eb49f4: e1031caa  mov	x1, x28
0xfffffff009eb49f8: e20314aa  mov	x2, x20
0xfffffff009eb49fc: 99230294  bl	#0xfffffff009f3d860
0xfffffff009eb4a00: f50300aa  mov	x21, x0
0xfffffff009eb4a04: e0031caa  mov	x0, x28
0xfffffff009eb4a08: 8e090294  bl	#0xfffffff009f37040
0xfffffff009eb4a0c: a08359f8  ldur	x0, [x29, #-0x68]
0xfffffff009eb4a10: 600000b4  cbz	x0, #0xfffffff009eb4a1c
0xfffffff009eb4a14: 8b090294  bl	#0xfffffff009f37040
0xfffffff009eb4a18: bf8319f8  stur	xzr, [x29, #-0x68]
0xfffffff009eb4a1c: f5040035  cbnz	w21, #0xfffffff009eb4ab8
0xfffffff009eb4a20: e90318aa  mov	x9, x24
0xfffffff009eb4a24: f80319aa  mov	x24, x25
0xfffffff009eb4a28: 3f070031  cmn	w25, #1
0xfffffff009eb4a2c: 41f4ff54  b.ne	#0xfffffff009eb48b4
0xfffffff009eb4a30: 22000014  b	#0xfffffff009eb4ab8
0xfffffff009eb4a34: 696e40f9  ldr	x9, [x19, #0xd8]
0xfffffff009eb4a38: 690000b4  cbz	x9, #0xfffffff009eb4a44
0xfffffff009eb4a3c: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff009eb4a40: 89010035  cbnz	w9, #0xfffffff009eb4a70
0xfffffff009eb4a44: 696640f9  ldr	x9, [x19, #0xc8]
0xfffffff009eb4a48: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009eb4a4c: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff009eb4a50: a89c8052  mov	w8, #0x4e5
0xfffffff009eb4a54: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009eb4a58: 48ccfed0  adrp	x8, #0xfffffff00783e000
0xfffffff009eb4a5c: 081d3891  add	x8, x8, #0xe07
0xfffffff009eb4a60: e80300f9  str	x8, [sp]
0xfffffff009eb4a64: 40ccfed0  adrp	x0, #0xfffffff00783e000
0xfffffff009eb4a68: 00703991  add	x0, x0, #0xe5c
0xfffffff009eb4a6c: 962bff97  bl	#0xfffffff009e7f8c4
0xfffffff009eb4a70: e0031aaa  mov	x0, x26
0xfffffff009eb4a74: 73090294  bl	#0xfffffff009f37040
0xfffffff009eb4a78: 60d64439  ldrb	w0, [x19, #0x135]
0xfffffff009eb4a7c: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009eb4a80: 0b8942f9  ldr	x11, [x8, #0x510]
0xfffffff009eb4a84: 0a9d8052  mov	w10, #0x4e8
0xfffffff009eb4a88: 49ccfed0  adrp	x9, #0xfffffff00783e000
0xfffffff009eb4a8c: 291d3891  add	x9, x9, #0xe07
0xfffffff009eb4a90: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009eb4a94: 88078052  mov	w8, #0x3c
0xfffffff009eb4a98: e8af00a9  stp	x8, x11, [sp, #8]
0xfffffff009eb4a9c: c8cbfe90  adrp	x8, #0xfffffff00782c000
0xfffffff009eb4aa0: 08553b91  add	x8, x8, #0xed5
0xfffffff009eb4aa4: e80300f9  str	x8, [sp]
0xfffffff009eb4aa8: c1cbfe90  adrp	x1, #0xfffffff00782c000
0xfffffff009eb4aac: 21883a91  add	x1, x1, #0xea2
0xfffffff009eb4ab0: 902bff97  bl	#0xfffffff009e7f8f0
0xfffffff009eb4ab4: 950b8052  mov	w21, #0x5c
0xfffffff009eb4ab8: 684740b9  ldr	w8, [x27, #0x44]
0xfffffff009eb4abc: a8040034  cbz	w8, #0xfffffff009eb4b50
0xfffffff009eb4ac0: e95b45a9  ldp	x9, x22, [sp, #0x50]
0xfffffff009eb4ac4: 29050051  sub	w9, w9, #1
0xfffffff009eb4ac8: 960400b4  cbz	x22, #0xfffffff009eb4b58
0xfffffff009eb4acc: 69040035  cbnz	w9, #0xfffffff009eb4b58
0xfffffff009eb4ad0: 696e40f9  ldr	x9, [x19, #0xd8]
0xfffffff009eb4ad4: 690000b4  cbz	x9, #0xfffffff009eb4ae0
0xfffffff009eb4ad8: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff009eb4adc: 69010035  cbnz	w9, #0xfffffff009eb4b08
0xfffffff009eb4ae0: 696640f9  ldr	x9, [x19, #0xc8]
