; Candidate 7188
; ADRP+ADD at VM 0xfffffff00885e1f0 (fileoff 0x185a1f0): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885e170: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff00885e174: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885e178: 283f8052  mov	w8, #0x1f9
0xfffffff00885e17c: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e180: 29792491  add	x9, x9, #0x91e
0xfffffff00885e184: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885e188: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e18c: 08811191  add	x8, x8, #0x460
0xfffffff00885e190: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885e194: 880c8052  mov	w8, #0x64
0xfffffff00885e198: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885e19c: 00b82491  add	x0, x0, #0x92e
0xfffffff00885e1a0: f72300a9  stp	x23, x8, [sp]
0xfffffff00885e1a4: af64d597  bl	#0xfffffff007db7460
0xfffffff00885e1a8: a7000014  b	#0xfffffff00885e444
0xfffffff00885e1ac: 00580194  bl	#0xfffffff0088b41ac
0xfffffff00885e1b0: f70300aa  mov	x23, x0
0xfffffff00885e1b4: e0008052  mov	w0, #7
0xfffffff00885e1b8: a6750094  bl	#0xfffffff00887b850
0xfffffff00885e1bc: 88024079  ldrh	w8, [x20]
0xfffffff00885e1c0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885e1c4: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00885e1c8: 883f8052  mov	w8, #0x1fc
0xfffffff00885e1cc: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e1d0: 29792491  add	x9, x9, #0x91e
0xfffffff00885e1d4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885e1d8: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e1dc: 08811191  add	x8, x8, #0x460
0xfffffff00885e1e0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885e1e4: 880c8052  mov	w8, #0x64
0xfffffff00885e1e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885e1ec: f70300f9  str	x23, [sp]
0xfffffff00885e1f0: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885e1f4: 00003a91  add	x0, x0, #0xe80
0xfffffff00885e1f8: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885e1fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885e200: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885e204: 63081a91  add	x3, x3, #0x682
0xfffffff00885e208: 02008052  mov	w2, #0
0xfffffff00885e20c: c953eb97  bl	#0xfffffff008333130
0xfffffff00885e210: 97024079  ldrh	w23, [x20]
0xfffffff00885e214: 97030034  cbz	w23, #0xfffffff00885e284
0xfffffff00885e218: 68fa40f9  ldr	x8, [x19, #0x1f0]
0xfffffff00885e21c: 08050091  add	x8, x8, #1
0xfffffff00885e220: 68fa00f9  str	x8, [x19, #0x1f0]
0xfffffff00885e224: ff060071  cmp	w23, #1
0xfffffff00885e228: 41070054  b.ne	#0xfffffff00885e310
0xfffffff00885e22c: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff00885e230: 00118052  mov	w0, #0x88
0xfffffff00885e234: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00885e238: 21008052  mov	w1, #1
0xfffffff00885e23c: 030080d2  mov	x3, #0
0xfffffff00885e240: 04008012  mov	w4, #-1
0xfffffff00885e244: 050080d2  mov	x5, #0
0xfffffff00885e248: 2f7fe497  bl	#0xfffffff00817df04
0xfffffff00885e24c: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00885e250: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff00885e254: 08008092  mov	x8, #-1
0xfffffff00885e258: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff00885e25c: ff0300f9  str	xzr, [sp]
0xfffffff00885e260: a2018052  mov	w2, #0xd
0xfffffff00885e264: 23008052  mov	w3, #1
0xfffffff00885e268: 040080d2  mov	x4, #0
0xfffffff00885e26c: 050080d2  mov	x5, #0
