; Candidate 16429
; ADRP+ADD at VM 0xfffffff009e9df14 (fileoff 0x2e99f14): page=0x1fd998000 add_imm=0xd9b

0xfffffff009e9de94: 2a010094  bl	#0xfffffff009e9e33c
0xfffffff009e9de98: 80010034  cbz	w0, #0xfffffff009e9dec8
0xfffffff009e9de9c: c8ccfeb0  adrp	x8, #0xfffffff007836000
0xfffffff009e9dea0: 080d0091  add	x8, x8, #3
0xfffffff009e9dea4: 89969052  mov	w9, #0x84b4
0xfffffff009e9dea8: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009e9deac: e80300f9  str	x8, [sp]
0xfffffff009e9deb0: c8ccfe90  adrp	x8, #0xfffffff007835000
0xfffffff009e9deb4: 08fd3491  add	x8, x8, #0xd3f
0xfffffff009e9deb8: f60300aa  mov	x22, x0
0xfffffff009e9debc: e00308aa  mov	x0, x8
0xfffffff009e9dec0: 68657c97  bl	#0xfffffff007db7460
0xfffffff009e9dec4: 28000014  b	#0xfffffff009e9df64
0xfffffff009e9dec8: e00316aa  mov	x0, x22
0xfffffff009e9decc: 00377c97  bl	#0xfffffff007dabacc
0xfffffff009e9ded0: 68ea5eb9  ldr	w8, [x19, #0x1ee8]
0xfffffff009e9ded4: e8040035  cbnz	w8, #0xfffffff009e9df70
0xfffffff009e9ded8: 48008052  mov	w8, #2
0xfffffff009e9dedc: 68ea1eb9  str	w8, [x19, #0x1ee8]
0xfffffff009e9dee0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff009e9dee4: e81300f9  str	x8, [sp, #0x20]
0xfffffff009e9dee8: 687a0ff9  str	x8, [x19, #0x1ef0]
0xfffffff009e9deec: e00316aa  mov	x0, x22
0xfffffff009e9def0: 133a7c97  bl	#0xfffffff007dac73c
0xfffffff009e9def4: e00313aa  mov	x0, x19
0xfffffff009e9def8: 47010094  bl	#0xfffffff009e9e414
0xfffffff009e9defc: 60030034  cbz	w0, #0xfffffff009e9df68
0xfffffff009e9df00: e00301a9  stp	x0, x0, [sp, #0x10]
0xfffffff009e9df04: c8ccfeb0  adrp	x8, #0xfffffff007836000
0xfffffff009e9df08: 080d0091  add	x8, x8, #3
0xfffffff009e9df0c: 09989052  mov	w9, #0x84c0
0xfffffff009e9df10: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9df14: c0ccfe90  adrp	x0, #0xfffffff007835000
0xfffffff009e9df18: 006c3691  add	x0, x0, #0xd9b
0xfffffff009e9df1c: 51657c97  bl	#0xfffffff007db7460
0xfffffff009e9df20: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff009e9df24: 010100b4  cbz	x1, #0xfffffff009e9df44
0xfffffff009e9df28: c0f4fed0  adrp	x0, #0xfffffff007d37000
0xfffffff009e9df2c: 00600591  add	x0, x0, #0x158
0xfffffff009e9df30: f7e19297  bl	#0xfffffff00835670c
0xfffffff009e9df34: a82900f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e9df38: 08212a91  add	x8, x8, #0xa88
0xfffffff009e9df3c: e9038092  mov	x9, #-0x20
0xfffffff009e9df40: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e9df44: e00316aa  mov	x0, x22
0xfffffff009e9df48: e1367c97  bl	#0xfffffff007dabacc
0xfffffff009e9df4c: a8008052  mov	w8, #5
0xfffffff009e9df50: 68ea1eb9  str	w8, [x19, #0x1ee8]
0xfffffff009e9df54: 7f7e0ff9  str	xzr, [x19, #0x1ef8]
0xfffffff009e9df58: e00316aa  mov	x0, x22
0xfffffff009e9df5c: f8397c97  bl	#0xfffffff007dac73c
0xfffffff009e9df60: f60f40f9  ldr	x22, [sp, #0x18]
0xfffffff009e9df64: c1ffff17  b	#0xfffffff009e9de68
0xfffffff009e9df68: 16008052  mov	w22, #0
0xfffffff009e9df6c: bfffff17  b	#0xfffffff009e9de68
0xfffffff009e9df70: 48979052  mov	w8, #0x84ba
0xfffffff009e9df74: a9ccfef0  adrp	x9, #0xfffffff007834000
0xfffffff009e9df78: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9df7c: caccfeb0  adrp	x10, #0xfffffff007836000
0xfffffff009e9df80: 4a3d0091  add	x10, x10, #0xf
0xfffffff009e9df84: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e9df88: ea0300f9  str	x10, [sp]
0xfffffff009e9df8c: 40cefe90  adrp	x0, #0xfffffff007865000
0xfffffff009e9df90: 00783091  add	x0, x0, #0xc1e
