; Candidate 5870
; ADRP+ADD at VM 0xfffffff008809eb4 (fileoff 0x1805eb4): page=0x1fe9e0000 add_imm=0xe80

0xfffffff008809e34: 2850fff0  adrp	x8, #0xfffffff007210000
0xfffffff008809e38: 08b92791  add	x8, x8, #0x9ee
0xfffffff008809e3c: c99c8052  mov	w9, #0x4e6
0xfffffff008809e40: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008809e44: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809e48: 08bd3491  add	x8, x8, #0xd2f
0xfffffff008809e4c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008809e50: 880e8052  mov	w8, #0x74
0xfffffff008809e54: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008809e58: f40300f9  str	x20, [sp]
0xfffffff008809e5c: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809e60: 00003a91  add	x0, x0, #0xe80
0xfffffff008809e64: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008809e68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809e6c: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809e70: 63a83691  add	x3, x3, #0xdaa
0xfffffff008809e74: 02008052  mov	w2, #0
0xfffffff008809e78: aea4ec97  bl	#0xfffffff008333130
0xfffffff008809e7c: 55000014  b	#0xfffffff008809fd0
0xfffffff008809e80: cba80294  bl	#0xfffffff0088b41ac
0xfffffff008809e84: f30300aa  mov	x19, x0
0xfffffff008809e88: 80008052  mov	w0, #4
0xfffffff008809e8c: 71c60194  bl	#0xfffffff00887b850
0xfffffff008809e90: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809e94: 081d3191  add	x8, x8, #0xc47
0xfffffff008809e98: 099c8052  mov	w9, #0x4e0
0xfffffff008809e9c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008809ea0: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809ea4: 08bd3491  add	x8, x8, #0xd2f
0xfffffff008809ea8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809eac: 880e8052  mov	w8, #0x74
0xfffffff008809eb0: f32300a9  stp	x19, x8, [sp]
0xfffffff008809eb4: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809eb8: 00003a91  add	x0, x0, #0xe80
0xfffffff008809ebc: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008809ec0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809ec4: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809ec8: 63d83591  add	x3, x3, #0xd76
0xfffffff008809ecc: 02008052  mov	w2, #0
0xfffffff008809ed0: 98a4ec97  bl	#0xfffffff008333130
0xfffffff008809ed4: 3f000014  b	#0xfffffff008809fd0
0xfffffff008809ed8: b5a80294  bl	#0xfffffff0088b41ac
0xfffffff008809edc: f40300aa  mov	x20, x0
0xfffffff008809ee0: 00018052  mov	w0, #8
0xfffffff008809ee4: 5bc60194  bl	#0xfffffff00887b850
0xfffffff008809ee8: 68c640b9  ldr	w8, [x19, #0xc4]
0xfffffff008809eec: e9de46b9  ldr	w9, [x23, #0x6dc]
0xfffffff008809ef0: 6a2a41b9  ldr	w10, [x19, #0x128]
0xfffffff008809ef4: eb7b45b9  ldr	w11, [sp, #0x578]
0xfffffff008809ef8: ec8b45b9  ldr	w12, [sp, #0x588]
0xfffffff008809efc: ed8f45b9  ldr	w13, [sp, #0x58c]
0xfffffff008809f00: ee9345b9  ldr	w14, [sp, #0x590]
0xfffffff008809f04: ef0346b9  ldr	w15, [sp, #0x600]
0xfffffff008809f08: f01346b9  ldr	w16, [sp, #0x610]
0xfffffff008809f0c: f11746b9  ldr	w17, [sp, #0x614]
0xfffffff008809f10: e11b46b9  ldr	w1, [sp, #0x618]
0xfffffff008809f14: f10707a9  stp	x17, x1, [sp, #0x70]
0xfffffff008809f18: ef4306a9  stp	x15, x16, [sp, #0x60]
0xfffffff008809f1c: ed3b05a9  stp	x13, x14, [sp, #0x50]
0xfffffff008809f20: eb3304a9  stp	x11, x12, [sp, #0x40]
0xfffffff008809f24: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff008809f28: 699d8052  mov	w9, #0x4eb
0xfffffff008809f2c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008809f30: 8850ffb0  adrp	x8, #0xfffffff00721a000
