; Candidate 5401
; ADRP+ADD at VM 0xfffffff0087ee7bc (fileoff 0x17ea7bc): page=0x1fe9fb000 add_imm=0xe80

0xfffffff0087ee73c: 638c0991  add	x3, x3, #0x263
0xfffffff0087ee740: 02008052  mov	w2, #0
0xfffffff0087ee744: 7b12ed97  bl	#0xfffffff008333130
0xfffffff0087ee748: e00318aa  mov	x0, x24
0xfffffff0087ee74c: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff0087ee750: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff0087ee754: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff0087ee758: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff0087ee75c: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff0087ee760: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff0087ee764: ff030591  add	sp, sp, #0x140
0xfffffff0087ee768: ff0f5fd6  retab	
0xfffffff0087ee76c: 90160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee770: f90300aa  mov	x25, x0
0xfffffff0087ee774: 80008052  mov	w0, #4
0xfffffff0087ee778: 36340294  bl	#0xfffffff00887b850
0xfffffff0087ee77c: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff0087ee780: 695b40b9  ldr	w9, [x27, #0x58]
0xfffffff0087ee784: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087ee788: e8ef03a9  stp	x8, x27, [sp, #0x38]
0xfffffff0087ee78c: 0851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087ee790: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087ee794: c9218052  mov	w9, #0x10e
0xfffffff0087ee798: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff0087ee79c: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee7a0: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee7a4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ee7a8: 080f8052  mov	w8, #0x78
0xfffffff0087ee7ac: 8352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ee7b0: 63840791  add	x3, x3, #0x1e1
0xfffffff0087ee7b4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ee7b8: f90300f9  str	x25, [sp]
0xfffffff0087ee7bc: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee7c0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ee7c4: c190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ee7c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ee7cc: 02008052  mov	w2, #0
0xfffffff0087ee7d0: 5812ed97  bl	#0xfffffff008333130
0xfffffff0087ee7d4: aeffff17  b	#0xfffffff0087ee68c
0xfffffff0087ee7d8: 75160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee7dc: f80300aa  mov	x24, x0
0xfffffff0087ee7e0: c0008052  mov	w0, #6
0xfffffff0087ee7e4: 1b340294  bl	#0xfffffff00887b850
0xfffffff0087ee7e8: 68024039  ldrb	w8, [x19]
0xfffffff0087ee7ec: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff0087ee7f0: 6a5b40b9  ldr	w10, [x27, #0x58]
0xfffffff0087ee7f4: eb1a40b9  ldr	w11, [x23, #0x18]
0xfffffff0087ee7f8: ec2240b9  ldr	w12, [x23, #0x20]
0xfffffff0087ee7fc: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff0087ee800: e83706a9  stp	x8, x13, [sp, #0x60]
0xfffffff0087ee804: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0087ee808: ea5f04a9  stp	x10, x23, [sp, #0x40]
0xfffffff0087ee80c: e96f03a9  stp	x9, x27, [sp, #0x30]
0xfffffff0087ee810: 28268052  mov	w8, #0x131
0xfffffff0087ee814: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0087ee818: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee81c: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee820: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ee824: 080f8052  mov	w8, #0x78
0xfffffff0087ee828: 8352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ee82c: 63b00891  add	x3, x3, #0x22c
0xfffffff0087ee830: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ee834: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee838: 00003a91  add	x0, x0, #0xe80
