; Candidate 985
; ADRP+ADD at VM 0xfffffff00814c604 (fileoff 0x1148604): page=0x1fef32000 add_imm=0xd01

0xfffffff00814c584: 62af8052  mov	w2, #0x57b
0xfffffff00814c588: a34c0d94  bl	#0xfffffff00849f814
0xfffffff00814c58c: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c590: 00003c91  add	x0, x0, #0xf00
0xfffffff00814c594: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c598: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c59c: 82ad8052  mov	w2, #0x56c
0xfffffff00814c5a0: 9d4c0d94  bl	#0xfffffff00849f814
0xfffffff00814c5a4: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c5a8: 00f83d91  add	x0, x0, #0xf7e
0xfffffff00814c5ac: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c5b0: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c5b4: 02ae8052  mov	w2, #0x570
0xfffffff00814c5b8: 974c0d94  bl	#0xfffffff00849f814
0xfffffff00814c5bc: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c5c0: 00743e91  add	x0, x0, #0xf9d
0xfffffff00814c5c4: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c5c8: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c5cc: a2ae8052  mov	w2, #0x575
0xfffffff00814c5d0: 914c0d94  bl	#0xfffffff00849f814
0xfffffff00814c5d4: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c5d8: 00dc3c91  add	x0, x0, #0xf37
0xfffffff00814c5dc: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c5e0: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c5e4: 02ac8052  mov	w2, #0x560
0xfffffff00814c5e8: 8b4c0d94  bl	#0xfffffff00849f814
0xfffffff00814c5ec: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c5f0: 00643d91  add	x0, x0, #0xf59
0xfffffff00814c5f4: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c5f8: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c5fc: 42ac8052  mov	w2, #0x562
0xfffffff00814c600: 854c0d94  bl	#0xfffffff00849f814
0xfffffff00814c604: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c608: 00043491  add	x0, x0, #0xd01
0xfffffff00814c60c: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c610: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c614: 22aa8052  mov	w2, #0x551
0xfffffff00814c618: 7f4c0d94  bl	#0xfffffff00849f814
0xfffffff00814c61c: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c620: 00043491  add	x0, x0, #0xd01
0xfffffff00814c624: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c628: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c62c: a2868052  mov	w2, #0x435
0xfffffff00814c630: 794c0d94  bl	#0xfffffff00849f814
0xfffffff00814c634: 7f2303d5  pacibsp	
0xfffffff00814c638: ff8304d1  sub	sp, sp, #0x120
0xfffffff00814c63c: fc6f0ca9  stp	x28, x27, [sp, #0xc0]
0xfffffff00814c640: fa670da9  stp	x26, x25, [sp, #0xd0]
0xfffffff00814c644: f85f0ea9  stp	x24, x23, [sp, #0xe0]
0xfffffff00814c648: f6570fa9  stp	x22, x21, [sp, #0xf0]
0xfffffff00814c64c: f44f10a9  stp	x20, x19, [sp, #0x100]
0xfffffff00814c650: fd7b11a9  stp	x29, x30, [sp, #0x110]
0xfffffff00814c654: fd430491  add	x29, sp, #0x110
0xfffffff00814c658: e44f00b9  str	w4, [sp, #0x4c]
0xfffffff00814c65c: f50303aa  mov	x21, x3
0xfffffff00814c660: e20305a9  stp	x2, x0, [sp, #0x50]
0xfffffff00814c664: e12300f9  str	x1, [sp, #0x40]
0xfffffff00814c668: 080080d2  mov	x8, #0
0xfffffff00814c66c: ff7f06a9  stp	xzr, xzr, [sp, #0x60]
0xfffffff00814c670: 1a704179  ldrh	w26, [x0, #0xb8]
0xfffffff00814c674: 93d038d5  mrs	x19, tpidr_el1
0xfffffff00814c678: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff00814c67c: 16060190  adrp	x22, #0xfffffff00a20c000
0xfffffff00814c680: d6c22691  add	x22, x22, #0x9b0
