; Candidate 3756
; ADRP+ADD at VM 0xfffffff0087595f8 (fileoff 0x17555f8): page=0x1fe9d8000 add_imm=0xd90

0xfffffff008759578: 69420091  add	x9, x19, #0x10
0xfffffff00875957c: 6a620191  add	x10, x19, #0x58
0xfffffff008759580: 0b058052  mov	w11, #0x28
0xfffffff008759584: 0c008012  mov	w12, #-1
0xfffffff008759588: 0d068052  mov	w13, #0x30
0xfffffff00875958c: 0e0080d2  mov	x14, #0
0xfffffff008759590: 6f0e088b  add	x15, x19, x8, lsl #3
0xfffffff008759594: ff5900f9  str	xzr, [x15, #0xb0]
0xfffffff008759598: 0f4d0b9b  madd	x15, x8, x11, x19
0xfffffff00875959c: ec0100b9  str	w12, [x15]
0xfffffff0087595a0: ff0500f9  str	xzr, [x15, #8]
0xfffffff0087595a4: 3f692ef8  str	xzr, [x9, x14]
0xfffffff0087595a8: ce210091  add	x14, x14, #8
0xfffffff0087595ac: df6100f1  cmp	x14, #0x18
0xfffffff0087595b0: a1ffff54  b.ne	#0xfffffff0087595a4
0xfffffff0087595b4: 0e0080d2  mov	x14, #0
0xfffffff0087595b8: 0f4d0d9b  madd	x15, x8, x13, x19
0xfffffff0087595bc: ff5100b9  str	wzr, [x15, #0x50]
0xfffffff0087595c0: 5f692ef8  str	xzr, [x10, x14]
0xfffffff0087595c4: ce210091  add	x14, x14, #8
0xfffffff0087595c8: dfa100f1  cmp	x14, #0x28
0xfffffff0087595cc: a1ffff54  b.ne	#0xfffffff0087595c0
0xfffffff0087595d0: 08050091  add	x8, x8, #1
0xfffffff0087595d4: 29a10091  add	x9, x9, #0x28
0xfffffff0087595d8: 4ac10091  add	x10, x10, #0x30
0xfffffff0087595dc: 1f0900f1  cmp	x8, #2
0xfffffff0087595e0: 61fdff54  b.ne	#0xfffffff00875958c
0xfffffff0087595e4: 00008052  mov	w0, #0
0xfffffff0087595e8: 0e000014  b	#0xfffffff008759620
0xfffffff0087595ec: a84fffb0  adrp	x8, #0xfffffff00714e000
0xfffffff0087595f0: 08e93f91  add	x8, x8, #0xffa
0xfffffff0087595f4: e80300f9  str	x8, [sp]
0xfffffff0087595f8: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff0087595fc: 00403691  add	x0, x0, #0xd90
0xfffffff008759600: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008759604: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008759608: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff00875960c: 63b42291  add	x3, x3, #0x8ad
0xfffffff008759610: 02008052  mov	w2, #0
0xfffffff008759614: c766ef97  bl	#0xfffffff008333130
0xfffffff008759618: 80578052  mov	w0, #0x2bc
0xfffffff00875961c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008759620: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008759624: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008759628: ff030191  add	sp, sp, #0x40
0xfffffff00875962c: ff0f5fd6  retab	
0xfffffff008759630: 7f2303d5  pacibsp	
0xfffffff008759634: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008759638: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875963c: fd430091  add	x29, sp, #0x10
0xfffffff008759640: f30300aa  mov	x19, x0
0xfffffff008759644: 006040f9  ldr	x0, [x0, #0xc0]
0xfffffff008759648: 600000b4  cbz	x0, #0xfffffff008759654
0xfffffff00875964c: 18f8ef97  bl	#0xfffffff0083576ac
0xfffffff008759650: 7f6200f9  str	xzr, [x19, #0xc0]
0xfffffff008759654: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008759658: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00875965c: ff0f5fd6  retab	
0xfffffff008759660: 7f2303d5  pacibsp	
0xfffffff008759664: ff8300d1  sub	sp, sp, #0x20
0xfffffff008759668: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875966c: fd430091  add	x29, sp, #0x10
0xfffffff008759670: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff008759674: e0030091  mov	x0, sp
