; Candidate 2680
; ADRP+ADD at VM 0xfffffff0086de000 (fileoff 0x16da000): page=0x1fea53000 add_imm=0xd90

0xfffffff0086ddf80: 48db4039  ldrb	w8, [x26, #0x36]
0xfffffff0086ddf84: ec2340f9  ldr	x12, [sp, #0x40]
0xfffffff0086ddf88: 88061836  tbz	w8, #3, #0xfffffff0086de058
0xfffffff0086ddf8c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0086ddf90: 083146f9  ldr	x8, [x8, #0xc60]
0xfffffff0086ddf94: 1f1d40f2  tst	x8, #0xff
0xfffffff0086ddf98: 60040054  b.eq	#0xfffffff0086de024
0xfffffff0086ddf9c: 8953ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086ddfa0: 29bd1991  add	x9, x9, #0x66f
0xfffffff0086ddfa4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086ddfa8: a052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ddfac: 00403691  add	x0, x0, #0xd90
0xfffffff0086ddfb0: 0199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ddfb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ddfb8: a352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086ddfbc: 63341291  add	x3, x3, #0x48d
0xfffffff0086ddfc0: 02008052  mov	w2, #0
0xfffffff0086ddfc4: 5b54f197  bl	#0xfffffff008333130
0xfffffff0086ddfc8: 18030014  b	#0xfffffff0086dec28
0xfffffff0086ddfcc: 3f090071  cmp	w9, #2
0xfffffff0086ddfd0: 61000054  b.ne	#0xfffffff0086ddfdc
0xfffffff0086ddfd4: 7f210071  cmp	w11, #8
0xfffffff0086ddfd8: c0000054  b.eq	#0xfffffff0086ddff0
0xfffffff0086ddfdc: 3f0d0071  cmp	w9, #3
0xfffffff0086ddfe0: e1e4ff54  b.ne	#0xfffffff0086ddc7c
0xfffffff0086ddfe4: 6c250051  sub	w12, w11, #9
0xfffffff0086ddfe8: 9f050071  cmp	w12, #1
0xfffffff0086ddfec: 88e4ff54  b.hi	#0xfffffff0086ddc7c
0xfffffff0086ddff0: eba700a9  stp	x11, x9, [sp, #8]
0xfffffff0086ddff4: 8853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086ddff8: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086ddffc: e80300f9  str	x8, [sp]
0xfffffff0086de000: 8052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086de004: 00403691  add	x0, x0, #0xd90
0xfffffff0086de008: e198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086de00c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086de010: a352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086de014: 63a40f91  add	x3, x3, #0x3e9
0xfffffff0086de018: 02008052  mov	w2, #0
0xfffffff0086de01c: 4554f197  bl	#0xfffffff008333130
0xfffffff0086de020: 02030014  b	#0xfffffff0086dec28
0xfffffff0086de024: 095d1812  and	w9, w8, #0xffffff00
0xfffffff0086de028: ca0240f9  ldr	x10, [x22]
0xfffffff0086de02c: 4b514239  ldrb	w11, [x10, #0x94]
0xfffffff0086de030: 6901092a  orr	w9, w11, w9
0xfffffff0086de034: 499500b9  str	w9, [x10, #0x94]
0xfffffff0086de038: c90240f9  ldr	x9, [x22]
0xfffffff0086de03c: 3f3902b9  str	wzr, [x9, #0x238]
0xfffffff0086de040: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0086de044: c90240f9  ldr	x9, [x22]
0xfffffff0086de048: 2a3942b9  ldr	w10, [x9, #0x238]
0xfffffff0086de04c: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff0086de050: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff0086de054: 283902b9  str	w8, [x9, #0x238]
0xfffffff0086de058: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0086de05c: 1f9900b9  str	wzr, [x8, #0x98]
0xfffffff0086de060: 682a6bb9  ldr	w8, [x19, #0x2b28]
0xfffffff0086de064: 085d1812  and	w8, w8, #0xffffff00
0xfffffff0086de068: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0086de06c: 2a614239  ldrb	w10, [x9, #0x98]
0xfffffff0086de070: 4801082a  orr	w8, w10, w8
0xfffffff0086de074: 289900b9  str	w8, [x9, #0x98]
0xfffffff0086de078: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0086de07c: 1f3d02b9  str	wzr, [x8, #0x23c]
