; Candidate 6916
; ADRP+ADD at VM 0xfffffff008849d18 (fileoff 0x1845d18): page=0x1fe9a0000 add_imm=0xe80

0xfffffff008849c98: ef3b08a9  stp	x15, x14, [sp, #0x80]
0xfffffff008849c9c: eb3707a9  stp	x11, x13, [sp, #0x70]
0xfffffff008849ca0: ec2306a9  stp	x12, x8, [sp, #0x60]
0xfffffff008849ca4: e96305a9  stp	x9, x24, [sp, #0x50]
0xfffffff008849ca8: f72b04a9  stp	x23, x10, [sp, #0x40]
0xfffffff008849cac: f04703a9  stp	x16, x17, [sp, #0x30]
0xfffffff008849cb0: 48218052  mov	w8, #0x10a
0xfffffff008849cb4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008849cb8: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849cbc: 08ad1a91  add	x8, x8, #0x6ab
0xfffffff008849cc0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849cc4: 28098052  mov	w8, #0x49
0xfffffff008849cc8: e04eff90  adrp	x0, #0xfffffff007225000
0xfffffff008849ccc: 00941b91  add	x0, x0, #0x6e5
0xfffffff008849cd0: f42300a9  stp	x20, x8, [sp]
0xfffffff008849cd4: e3b5d597  bl	#0xfffffff007db7460
0xfffffff008849cd8: 00008052  mov	w0, #0
0xfffffff008849cdc: 30000014  b	#0xfffffff008849d9c
0xfffffff008849ce0: 33a90194  bl	#0xfffffff0088b41ac
0xfffffff008849ce4: f30300aa  mov	x19, x0
0xfffffff008849ce8: 80008052  mov	w0, #4
0xfffffff008849cec: d9c60094  bl	#0xfffffff00887b850
0xfffffff008849cf0: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849cf4: 08f11791  add	x8, x8, #0x5fc
0xfffffff008849cf8: a91d8052  mov	w9, #0xed
0xfffffff008849cfc: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008849d00: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d04: 08ad1a91  add	x8, x8, #0x6ab
0xfffffff008849d08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008849d0c: 28098052  mov	w8, #0x49
0xfffffff008849d10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849d14: f30300f9  str	x19, [sp]
0xfffffff008849d18: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849d1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849d20: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849d24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849d28: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849d2c: 63e41491  add	x3, x3, #0x539
0xfffffff008849d30: 02008052  mov	w2, #0
0xfffffff008849d34: ffa4eb97  bl	#0xfffffff008333130
0xfffffff008849d38: 007d8012  mov	w0, #-0x3e9
0xfffffff008849d3c: 18000014  b	#0xfffffff008849d9c
0xfffffff008849d40: 1ba90194  bl	#0xfffffff0088b41ac
0xfffffff008849d44: f40300aa  mov	x20, x0
0xfffffff008849d48: 80008052  mov	w0, #4
0xfffffff008849d4c: c1c60094  bl	#0xfffffff00887b850
0xfffffff008849d50: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d54: 08c11691  add	x8, x8, #0x5b0
0xfffffff008849d58: 091e8052  mov	w9, #0xf0
0xfffffff008849d5c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008849d60: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d64: 08ad1a91  add	x8, x8, #0x6ab
0xfffffff008849d68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008849d6c: 28098052  mov	w8, #0x49
0xfffffff008849d70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849d74: f40300f9  str	x20, [sp]
0xfffffff008849d78: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849d7c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849d80: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849d84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849d88: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849d8c: 63a01591  add	x3, x3, #0x568
0xfffffff008849d90: 02008052  mov	w2, #0
0xfffffff008849d94: e7a4eb97  bl	#0xfffffff008333130
