; Candidate 3974
; ADRP+ADD at VM 0xfffffff00877d4ac (fileoff 0x17794ac): page=0x1fe9b4000 add_imm=0xd90

0xfffffff00877d42c: 14210091  add	x20, x8, #8
0xfffffff00877d430: 08410091  add	x8, x8, #0x10
0xfffffff00877d434: 491540b9  ldr	w9, [x10, #0x14]
0xfffffff00877d438: ea1b40f9  ldr	x10, [sp, #0x30]
0xfffffff00877d43c: 4901098b  add	x9, x10, x9
0xfffffff00877d440: 080140f9  ldr	x8, [x8]
0xfffffff00877d444: 3a0108cb  sub	x26, x9, x8
0xfffffff00877d448: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff00877d44c: 58ff60d3  lsr	x24, x26, #0x20
0xfffffff00877d450: b80100b4  cbz	x24, #0xfffffff00877d484
0xfffffff00877d454: c9898052  mov	w9, #0x44e
0xfffffff00877d458: 884effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00877d45c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00877d460: e82700a9  stp	x8, x9, [sp]
0xfffffff00877d464: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d468: 00403691  add	x0, x0, #0xd90
0xfffffff00877d46c: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d470: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d474: 02008052  mov	w2, #0
0xfffffff00877d478: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d47c: 63603591  add	x3, x3, #0xd58
0xfffffff00877d480: 2cd7ee97  bl	#0xfffffff008333130
0xfffffff00877d484: 68423aab  adds	x8, x19, w26, uxtw
0xfffffff00877d488: 42090054  b.hs	#0xfffffff00877d5b0
0xfffffff00877d48c: 08a560d3  ubfx	x8, x8, #0x20, #0xa
0xfffffff00877d490: c8260079  strh	w8, [x22, #0x12]
0xfffffff00877d494: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff00877d498: b80100b4  cbz	x24, #0xfffffff00877d4cc
0xfffffff00877d49c: e9898052  mov	w9, #0x44f
0xfffffff00877d4a0: 884effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00877d4a4: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00877d4a8: e82700a9  stp	x8, x9, [sp]
0xfffffff00877d4ac: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d4b0: 00403691  add	x0, x0, #0xd90
0xfffffff00877d4b4: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d4b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d4bc: 02008052  mov	w2, #0
0xfffffff00877d4c0: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d4c4: 63303691  add	x3, x3, #0xd8c
0xfffffff00877d4c8: 1ad7ee97  bl	#0xfffffff008333130
0xfffffff00877d4cc: 487f4092  and	x8, x26, #0xffffffff
0xfffffff00877d4d0: 680208ab  adds	x8, x19, x8
0xfffffff00877d4d4: e2060054  b.hs	#0xfffffff00877d5b0
0xfffffff00877d4d8: 8903178b  add	x9, x28, x23
0xfffffff00877d4dc: 2a1140b9  ldr	w10, [x9, #0x10]
0xfffffff00877d4e0: c8aa0229  stp	w8, w10, [x22, #0x14]
0xfffffff00877d4e4: 28294029  ldp	w8, w10, [x9]
0xfffffff00877d4e8: 0b1d0011  add	w11, w8, #7
0xfffffff00877d4ec: 1f010071  cmp	w8, #0
0xfffffff00877d4f0: 6bb1881a  csel	w11, w11, w8, lt
0xfffffff00877d4f4: 6b491353  lsl	w11, w11, #0xd
0xfffffff00877d4f8: 6b3d1012  and	w11, w11, #0xffff0000
0xfffffff00877d4fc: 2c254129  ldp	w12, w9, [x9, #8]
0xfffffff00877d500: 8d1d0011  add	w13, w12, #7
0xfffffff00877d504: 9f010071  cmp	w12, #0
0xfffffff00877d508: adb18c1a  csel	w13, w13, w12, lt
0xfffffff00877d50c: 6b0d8d2a  orr	w11, w11, w13, asr #3
0xfffffff00877d510: 4d050051  sub	w13, w10, #1
0xfffffff00877d514: 4a190011  add	w10, w10, #6
0xfffffff00877d518: bf010071  cmp	w13, #0
0xfffffff00877d51c: 4ab18d1a  csel	w10, w10, w13, lt
0xfffffff00877d520: 2d050051  sub	w13, w9, #1
0xfffffff00877d524: 29190011  add	w9, w9, #6
0xfffffff00877d528: bf010071  cmp	w13, #0
